classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,ROS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,RUS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,Borderline-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,SVM-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,ADASYN,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,0,G-SMOTE,0.991109,0.848921,0.651934,0.827869,0.695418
GNB,0,CiFRUS (train),0.935260,0.914729,0.817175,0.909836,0.831184
GNB,0,CiFRUS (train/test),0.981384,0.933333,0.866704,0.933593,0.867185
GNB,0,CiFRUS (balanced-train/test),0.978883,0.916667,0.833380,0.916921,0.833843
GNB,1,Baseline,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,ROS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,RUS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,Borderline-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,SVM-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,ADASYN,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,1,G-SMOTE,0.990831,0.848921,0.651934,0.827869,0.695418
GNB,1,CiFRUS (train),0.968325,0.893939,0.767506,0.885246,0.789130
GNB,1,CiFRUS (train/test),0.985829,0.928000,0.850250,0.925952,0.856076
GNB,1,CiFRUS (balanced-train/test),0.990553,0.950820,0.900083,0.950542,0.902087
GNB,2,Baseline,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,ROS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,RUS,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,Borderline-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,SVM-SMOTE,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,ADASYN,1.000000,0.848921,0.651934,0.827869,0.695418
GNB,2,G-SMOTE,0.995554,0.848921,0.651934,0.827869,0.695418
GNB,2,CiFRUS (train),0.944707,0.887218,0.750968,0.877049,0.775397
GNB,2,CiFRUS (train/test),0.978327,0.918033,0.833472,0.917199,0.835327
