classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,0,ROS,1.0,0.9583333333333334,0.930635838150289,0.96,0.932882774130957
GNB,0,RUS,1.0,0.9583333333333334,0.930635838150289,0.96,0.932882774130957
GNB,0,SMOTE,1.0,0.9583333333333334,0.930635838150289,0.96,0.932882774130957
GNB,0,Borderline-SMOTE,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,0,SVM-SMOTE,1.0,0.9583333333333334,0.930635838150289,0.96,0.932882774130957
GNB,0,ADASYN,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,0,G-SMOTE,1.0,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
GNB,0,CiFRUS (train),1.0,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
GNB,0,CiFRUS (train/test),0.9994285714285714,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
GNB,0,CiFRUS (balanced-train/test),0.9971428571428571,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
GNB,1,Organic,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,ROS,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,RUS,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,SMOTE,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,Borderline-SMOTE,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,SVM-SMOTE,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,ADASYN,1.0,0.9473684210526316,0.9130434782608696,0.95,0.916515138991168
GNB,1,G-SMOTE,1.0,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
GNB,1,CiFRUS (train),1.0,0.7341772151898733,0.6170212765957446,0.79,0.6679474875720741
