classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.822005,0.421974,0.316427,0.629687,0.349446
GNB,0,ROS,0.822253,0.420691,0.312693,0.628817,0.343216
GNB,0,RUS,0.820510,0.420582,0.312927,0.628805,0.343813
GNB,0,SMOTE,0.816843,0.420980,0.313218,0.628979,0.343962
GNB,0,Borderline-SMOTE,0.816523,0.418740,0.309036,0.627708,0.337994
GNB,0,SVM-SMOTE,0.818904,0.419142,0.309877,0.627947,0.339239
GNB,0,ADASYN,0.816815,0.418354,0.308442,0.627502,0.337224
GNB,0,G-SMOTE,0.645392,0.375746,0.301546,0.613866,0.386396
GNB,0,CiFRUS (train),0.823425,0.419845,0.320780,0.629418,0.361623
GNB,0,CiFRUS (train/test),0.823104,0.419665,0.321021,0.629382,0.362418
GNB,0,CiFRUS (balanced-train/test),0.823377,0.421319,0.317867,0.629613,0.353280
GNB,1,Baseline,0.822025,0.421947,0.316486,0.629684,0.349602
GNB,1,ROS,0.822049,0.420619,0.312561,0.628776,0.343030
GNB,1,RUS,0.820509,0.420038,0.312374,0.628550,0.343290
GNB,1,SMOTE,0.817043,0.421053,0.313349,0.629019,0.344149
GNB,1,Borderline-SMOTE,0.816414,0.418676,0.309028,0.627684,0.338046
GNB,1,SVM-SMOTE,0.819005,0.419394,0.310335,0.628089,0.339883
GNB,1,ADASYN,0.817017,0.418354,0.308442,0.627502,0.337224
GNB,1,G-SMOTE,0.645665,0.376230,0.302000,0.614057,0.386803
GNB,1,CiFRUS (train),0.823767,0.419826,0.320971,0.629432,0.362085
GNB,1,CiFRUS (train/test),0.823337,0.419945,0.321752,0.629558,0.363719
GNB,1,CiFRUS (balanced-train/test),0.822820,0.420776,0.317436,0.629375,0.353018
GNB,2,Baseline,0.822178,0.421910,0.316420,0.629664,0.349507
GNB,2,ROS,0.822530,0.420727,0.312758,0.628837,0.343310
GNB,2,RUS,0.818403,0.419535,0.311025,0.628218,0.341114
GNB,2,SMOTE,0.817169,0.421016,0.313283,0.628999,0.344056
GNB,2,Borderline-SMOTE,0.816540,0.418533,0.308768,0.627603,0.337681
GNB,2,SVM-SMOTE,0.819025,0.419286,0.310138,0.628028,0.339606
GNB,2,ADASYN,0.817017,0.418426,0.308572,0.627543,0.337406
GNB,2,G-SMOTE,0.645344,0.376763,0.302393,0.614252,0.386898
GNB,2,CiFRUS (train),0.824161,0.420012,0.321308,0.629533,0.362604
GNB,2,CiFRUS (train/test),0.823743,0.420517,0.322446,0.629830,0.364531
GNB,2,CiFRUS (balanced-train/test),0.823372,0.421154,0.317787,0.629546,0.353312
GNB,3,Baseline,0.821998,0.422220,0.316764,0.629811,0.349864
GNB,3,ROS,0.821957,0.420799,0.312889,0.628878,0.343496
GNB,3,RUS,0.820715,0.421034,0.313965,0.629082,0.345427
GNB,3,SMOTE,0.816940,0.421053,0.313349,0.629019,0.344149
GNB,3,Borderline-SMOTE,0.815815,0.418525,0.308645,0.627586,0.337446
GNB,3,SVM-SMOTE,0.818484,0.419294,0.310262,0.628045,0.339844
GNB,3,ADASYN,0.816693,0.418247,0.308246,0.627442,0.336950
GNB,3,G-SMOTE,0.647339,0.371175,0.297227,0.612060,0.382433
GNB,3,CiFRUS (train),0.823355,0.419920,0.320915,0.629458,0.361830
GNB,3,CiFRUS (train/test),0.822991,0.420011,0.321758,0.629582,0.363641
GNB,3,CiFRUS (balanced-train/test),0.822432,0.420860,0.317255,0.629384,0.352528
GNB,4,Baseline,0.822271,0.421837,0.316288,0.629623,0.349315
GNB,4,ROS,0.822465,0.420546,0.312430,0.628736,0.342844
GNB,4,RUS,0.820711,0.421089,0.313847,0.629088,0.345125
GNB,4,SMOTE,0.817150,0.421125,0.313480,0.629060,0.344336
GNB,4,Borderline-SMOTE,0.816829,0.418712,0.309094,0.627704,0.338138
GNB,4,SVM-SMOTE,0.818961,0.419429,0.310400,0.628109,0.339975
GNB,4,ADASYN,0.817095,0.418354,0.308442,0.627502,0.337224
GNB,4,G-SMOTE,0.645291,0.378507,0.303853,0.614916,0.387780
GNB,4,CiFRUS (train),0.823989,0.419564,0.320498,0.629291,0.361360
GNB,4,CiFRUS (train/test),0.823610,0.419852,0.321358,0.629484,0.362938
GNB,4,CiFRUS (balanced-train/test),0.823546,0.421650,0.318025,0.629747,0.353216
GNB,5,Baseline,0.822111,0.421847,0.316414,0.629640,0.349567
GNB,5,ROS,0.822281,0.420555,0.312554,0.628753,0.343086
GNB,5,RUS,0.818996,0.419438,0.310523,0.628126,0.340213
GNB,5,SMOTE,0.817094,0.420709,0.312941,0.628851,0.343701
GNB,5,Borderline-SMOTE,0.816570,0.418462,0.308637,0.627563,0.337498
GNB,5,SVM-SMOTE,0.818859,0.419043,0.309804,0.627904,0.339200
GNB,5,ADASYN,0.817090,0.418319,0.308376,0.627482,0.337132
GNB,5,G-SMOTE,0.646222,0.378260,0.303693,0.614828,0.387806
GNB,5,CiFRUS (train),0.823549,0.419320,0.320284,0.629183,0.361201
GNB,5,CiFRUS (train/test),0.823181,0.419683,0.321279,0.629417,0.362988
GNB,5,CiFRUS (balanced-train/test),0.822938,0.421724,0.318158,0.629787,0.353411
GNB,6,Baseline,0.822196,0.422457,0.316975,0.629919,0.350029
GNB,6,ROS,0.822579,0.420763,0.312824,0.628857,0.343403
GNB,6,RUS,0.820887,0.420881,0.313145,0.628935,0.343925
GNB,6,SMOTE,0.817196,0.421089,0.313415,0.629039,0.344242
GNB,6,Borderline-SMOTE,0.816480,0.418569,0.308833,0.627624,0.337772
GNB,6,SVM-SMOTE,0.818700,0.419286,0.310138,0.628028,0.339606
GNB,6,ADASYN,0.816958,0.418319,0.308376,0.627482,0.337132
GNB,6,G-SMOTE,0.646012,0.377085,0.302696,0.614379,0.387169
GNB,6,CiFRUS (train),0.823985,0.419648,0.320762,0.629348,0.361850
GNB,6,CiFRUS (train/test),0.823613,0.420161,0.322029,0.629662,0.364059
GNB,6,CiFRUS (balanced-train/test),0.823246,0.421493,0.317632,0.629649,0.352565
GNB,7,Baseline,0.821897,0.422330,0.316962,0.629872,0.350151
GNB,7,ROS,0.821506,0.420483,0.312423,0.628713,0.342899
GNB,7,RUS,0.819585,0.418963,0.309551,0.627846,0.338780
GNB,7,SMOTE,0.816949,0.421125,0.313480,0.629060,0.344336
GNB,7,Borderline-SMOTE,0.816353,0.418676,0.309028,0.627684,0.338046
GNB,7,SVM-SMOTE,0.818882,0.419501,0.310531,0.628149,0.340159
GNB,7,ADASYN,0.816729,0.418354,0.308442,0.627502,0.337224
GNB,7,G-SMOTE,0.646382,0.374789,0.300505,0.613466,0.385120
GNB,7,CiFRUS (train),0.823292,0.419349,0.320223,0.629186,0.361022
GNB,7,CiFRUS (train/test),0.822918,0.419879,0.321747,0.629535,0.363796
GNB,7,CiFRUS (balanced-train/test),0.823045,0.421871,0.318424,0.629868,0.353803
GNB,8,Baseline,0.822153,0.421983,0.316552,0.629704,0.349698
GNB,8,ROS,0.822298,0.420402,0.312168,0.628655,0.342472
GNB,8,RUS,0.820724,0.420526,0.313477,0.628847,0.344999
GNB,8,SMOTE,0.816919,0.420944,0.313152,0.628959,0.343869
GNB,8,Borderline-SMOTE,0.816753,0.418676,0.309028,0.627684,0.338046
GNB,8,SVM-SMOTE,0.819122,0.419186,0.310066,0.627985,0.339568
GNB,8,ADASYN,0.816913,0.418462,0.308637,0.627563,0.337498
GNB,8,G-SMOTE,0.647464,0.374652,0.300556,0.613440,0.385595
GNB,8,CiFRUS (train),0.823796,0.420256,0.321522,0.629641,0.362763
GNB,8,CiFRUS (train/test),0.823382,0.420330,0.322108,0.629729,0.364008
GNB,8,CiFRUS (balanced-train/test),0.823107,0.421402,0.317686,0.629622,0.352792
GNB,9,Baseline,0.822125,0.421683,0.316334,0.629574,0.349594
GNB,9,ROS,0.821983,0.420727,0.312758,0.628837,0.343310
GNB,9,RUS,0.821127,0.420438,0.312233,0.628675,0.342565
GNB,9,SMOTE,0.817115,0.421089,0.313415,0.629039,0.344242
GNB,9,Borderline-SMOTE,0.816813,0.418390,0.308507,0.627522,0.337315
GNB,9,SVM-SMOTE,0.818645,0.419394,0.310335,0.628089,0.339883
GNB,9,ADASYN,0.817139,0.418033,0.307855,0.627320,0.336403
GNB,9,G-SMOTE,0.647231,0.374217,0.300040,0.613251,0.384874
GNB,9,CiFRUS (train),0.823323,0.420099,0.320674,0.629494,0.361041
GNB,9,CiFRUS (train/test),0.823006,0.419834,0.321100,0.629449,0.362369
GNB,9,CiFRUS (balanced-train/test),0.822952,0.421623,0.318085,0.629744,0.353379
KNN,0,Baseline,0.676122,0.412502,0.285110,0.622469,0.300548
KNN,0,ROS,0.670275,0.441438,0.197238,0.622678,0.213075
KNN,0,RUS,0.654106,0.425940,0.171259,0.607936,0.186741
KNN,0,SMOTE,0.674105,0.446572,0.216864,0.629078,0.227988
KNN,0,Borderline-SMOTE,0.669628,0.444604,0.205392,0.626086,0.219959
KNN,0,SVM-SMOTE,0.674000,0.445768,0.229341,0.630278,0.235722
KNN,0,ADASYN,0.671741,0.442638,0.188807,0.621951,0.209771
