classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.938546,0.818259,0.680763,0.838322,0.681793
GNB,0,ROS,0.938553,0.825186,0.687934,0.843236,0.688062
GNB,0,RUS,0.938581,0.825871,0.689363,0.843892,0.689510
GNB,0,SMOTE,0.938796,0.825186,0.687934,0.843236,0.688062
GNB,0,Borderline-SMOTE,0.938546,0.818259,0.680763,0.838322,0.681793
GNB,0,SVM-SMOTE,0.937976,0.814442,0.672285,0.834549,0.672908
GNB,0,ADASYN,0.938546,0.818259,0.680763,0.838322,0.681793
GNB,0,G-SMOTE,0.938766,0.824212,0.686404,0.842416,0.686551
GNB,0,CiFRUS (train),0.938439,0.815254,0.676149,0.835863,0.677346
GNB,0,CiFRUS (train/test),0.938172,0.817259,0.679226,0.837503,0.680310
GNB,0,CiFRUS (balanced-train/test),0.938109,0.827415,0.691095,0.845039,0.691156
GNB,1,Baseline,0.938107,0.814503,0.673500,0.834878,0.674359
GNB,1,ROS,0.938202,0.827243,0.692220,0.845205,0.692414
GNB,1,RUS,0.937587,0.826556,0.690791,0.844548,0.690961
GNB,1,SMOTE,0.938030,0.826556,0.690791,0.844548,0.690961
GNB,1,Borderline-SMOTE,0.938206,0.821849,0.685580,0.841108,0.686259
GNB,1,SVM-SMOTE,0.937518,0.822055,0.684459,0.840943,0.684857
GNB,1,ADASYN,0.938107,0.814503,0.673500,0.834878,0.674359
GNB,1,G-SMOTE,0.937920,0.826556,0.690791,0.844548,0.690961
GNB,1,CiFRUS (train),0.937922,0.812500,0.670424,0.833239,0.671383
GNB,1,CiFRUS (train/test),0.937856,0.814249,0.674610,0.835044,0.675865
GNB,1,CiFRUS (balanced-train/test),0.937847,0.828666,0.692724,0.846022,0.692751
GNB,2,Baseline,0.938929,0.816568,0.677793,0.836847,0.678819
GNB,2,ROS,0.939140,0.824313,0.687627,0.842746,0.687900
GNB,2,RUS,0.939637,0.825000,0.689057,0.843402,0.689359
GNB,2,SMOTE,0.939200,0.822943,0.684770,0.841433,0.684987
GNB,2,Borderline-SMOTE,0.939577,0.824222,0.689978,0.843240,0.690709
GNB,2,SVM-SMOTE,0.938344,0.822742,0.685889,0.841599,0.686323
GNB,2,ADASYN,0.938929,0.816568,0.677793,0.836847,0.678819
GNB,2,G-SMOTE,0.939172,0.821963,0.683238,0.840614,0.683481
GNB,2,CiFRUS (train),0.938744,0.815567,0.676255,0.836027,0.677335
GNB,2,CiFRUS (train/test),0.938667,0.818259,0.680763,0.838322,0.681793
GNB,2,CiFRUS (balanced-train/test),0.938632,0.824793,0.686609,0.842743,0.686685
GNB,3,Baseline,0.938770,0.813502,0.671962,0.834058,0.672871
GNB,3,ROS,0.938475,0.821963,0.683238,0.840614,0.683481
GNB,3,RUS,0.939118,0.824503,0.686507,0.842580,0.686615
GNB,3,SMOTE,0.939146,0.827815,0.692422,0.845532,0.692531
GNB,3,Borderline-SMOTE,0.939886,0.820556,0.683941,0.840125,0.684762
GNB,3,SVM-SMOTE,0.939142,0.822742,0.685889,0.841599,0.686323
GNB,3,ADASYN,0.938770,0.813502,0.671962,0.834058,0.672871
GNB,3,G-SMOTE,0.939045,0.827815,0.692422,0.845532,0.692531
GNB,3,CiFRUS (train),0.938660,0.812500,0.670424,0.833239,0.671383
GNB,3,CiFRUS (train/test),0.938251,0.813875,0.673285,0.834551,0.674360
GNB,3,CiFRUS (balanced-train/test),0.938241,0.827984,0.691297,0.845366,0.691316
GNB,4,Baseline,0.938787,0.813502,0.671962,0.834058,0.672871
GNB,4,ROS,0.939075,0.828784,0.693951,0.846351,0.694042
GNB,4,RUS,0.939706,0.829876,0.696709,0.847500,0.696881
GNB,4,SMOTE,0.938892,0.827529,0.692321,0.845368,0.692469
GNB,4,Borderline-SMOTE,0.939097,0.820556,0.683941,0.840125,0.684762
GNB,4,SVM-SMOTE,0.938109,0.821070,0.682926,0.840123,0.683358
GNB,4,ADASYN,0.938787,0.813502,0.671962,0.834058,0.672871
GNB,4,G-SMOTE,0.938744,0.827529,0.692321,0.845368,0.692469
GNB,4,CiFRUS (train),0.938608,0.813875,0.673285,0.834551,0.674360
GNB,4,CiFRUS (train/test),0.938277,0.814877,0.674824,0.835371,0.675845
GNB,4,CiFRUS (balanced-train/test),0.938228,0.831276,0.697205,0.848318,0.697224
GNB,5,Baseline,0.938679,0.815878,0.676362,0.836190,0.677330
GNB,5,ROS,0.938628,0.827815,0.692422,0.845532,0.692531
GNB,5,RUS,0.938060,0.829187,0.695279,0.846844,0.695429
GNB,5,SMOTE,0.939207,0.826159,0.689464,0.844056,0.689573
GNB,5,Borderline-SMOTE,0.939159,0.821549,0.685476,0.840945,0.686250
GNB,5,SVM-SMOTE,0.938340,0.822742,0.685889,0.841599,0.686323
GNB,5,ADASYN,0.938679,0.815878,0.676362,0.836190,0.677330
GNB,5,G-SMOTE,0.939121,0.826159,0.689464,0.844056,0.689573
GNB,5,CiFRUS (train),0.938583,0.815878,0.676362,0.836190,0.677330
GNB,5,CiFRUS (train/test),0.938198,0.813875,0.673285,0.834551,0.674360
GNB,5,CiFRUS (balanced-train/test),0.938036,0.827984,0.691297,0.845366,0.691316
GNB,6,Baseline,0.939002,0.813816,0.672070,0.834222,0.672877
GNB,6,ROS,0.939185,0.826159,0.689464,0.844056,0.689573
GNB,6,RUS,0.938888,0.826955,0.692119,0.845041,0.692365
GNB,6,SMOTE,0.938877,0.824503,0.686507,0.842580,0.686615
GNB,6,Borderline-SMOTE,0.939237,0.821757,0.684356,0.840779,0.684826
GNB,6,SVM-SMOTE,0.938443,0.824605,0.687730,0.842909,0.687948
GNB,6,ADASYN,0.939002,0.813816,0.672070,0.834222,0.672877
GNB,6,G-SMOTE,0.938794,0.824503,0.686507,0.842580,0.686615
GNB,6,CiFRUS (train),0.938781,0.814503,0.673500,0.834878,0.674359
GNB,6,CiFRUS (train/test),0.938355,0.814503,0.673500,0.834878,0.674359
GNB,6,CiFRUS (balanced-train/test),0.938217,0.827984,0.691297,0.845366,0.691316
GNB,7,Baseline,0.937989,0.812816,0.670532,0.833402,0.671387
GNB,7,ROS,0.938344,0.825476,0.688037,0.843400,0.688128
GNB,7,RUS,0.938028,0.826955,0.692119,0.845041,0.692365
GNB,7,SMOTE,0.938606,0.826051,0.688241,0.843727,0.688278
GNB,7,Borderline-SMOTE,0.938888,0.816498,0.676575,0.836517,0.677338
GNB,7,SVM-SMOTE,0.937840,0.821070,0.682926,0.840123,0.683358
GNB,7,ADASYN,0.938888,0.816498,0.676575,0.836517,0.677338
GNB,7,G-SMOTE,0.938544,0.826051,0.688241,0.843727,0.688278
GNB,7,CiFRUS (train),0.937780,0.813875,0.673285,0.834551,0.674360
GNB,7,CiFRUS (train/test),0.937636,0.814189,0.673393,0.834715,0.674357
GNB,7,CiFRUS (balanced-train/test),0.937625,0.826907,0.688547,0.844217,0.688548
GNB,8,Baseline,0.938725,0.814189,0.673393,0.834715,0.674357
GNB,8,ROS,0.939273,0.827415,0.691095,0.845039,0.691156
GNB,8,RUS,0.938871,0.824212,0.686404,0.842416,0.686551
GNB,8,SMOTE,0.938946,0.830438,0.696908,0.847827,0.697000
GNB,8,Borderline-SMOTE,0.938725,0.814189,0.673393,0.834715,0.674357
GNB,8,SVM-SMOTE,0.937606,0.814381,0.671073,0.834220,0.671497
GNB,8,ADASYN,0.938725,0.814189,0.673393,0.834715,0.674357
GNB,8,G-SMOTE,0.938798,0.830438,0.696908,0.847827,0.697000
GNB,8,CiFRUS (train),0.938537,0.816257,0.677687,0.836683,0.678827
GNB,8,CiFRUS (train/test),0.938241,0.817259,0.679226,0.837503,0.680310
GNB,8,CiFRUS (balanced-train/test),0.938281,0.827018,0.689769,0.844546,0.689796
GNB,9,Baseline,0.938946,0.815190,0.674931,0.835534,0.675843
GNB,9,ROS,0.938927,0.826159,0.689464,0.844056,0.689573
GNB,9,RUS,0.939146,0.824896,0.687832,0.843073,0.688002
GNB,9,SMOTE,0.939209,0.825764,0.688139,0.843563,0.688200
GNB,9,Borderline-SMOTE,0.939529,0.823926,0.689876,0.843077,0.690705
GNB,9,SVM-SMOTE,0.938492,0.822446,0.685786,0.841435,0.686296
GNB,9,ADASYN,0.938946,0.815190,0.674931,0.835534,0.675843
