classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.627510,0.423963,0.097723,0.556658,0.103884
GNB,0,ROS,0.625929,0.446429,0.122916,0.572725,0.133000
GNB,0,RUS,0.624554,0.228070,0.090554,0.536670,0.111040
GNB,0,SMOTE,0.613696,0.455696,0.120357,0.573866,0.135303
GNB,0,Borderline-SMOTE,0.612584,0.459016,0.116995,0.573193,0.134650
GNB,0,SVM-SMOTE,0.620105,0.431925,0.116247,0.566608,0.122442
GNB,0,ADASYN,0.604448,0.435146,0.084507,0.552151,0.095621
GNB,0,G-SMOTE,0.646971,0.220183,0.102753,0.540737,0.134300
GNB,0,CiFRUS (train),0.632104,0.475336,0.170048,0.600322,0.183511
GNB,0,CiFRUS (train/test),0.597308,0.414747,0.083287,0.548288,0.088538
GNB,0,CiFRUS (balanced-train/test),0.604624,0.452991,0.119873,0.572959,0.133494
GNB,1,Baseline,0.638104,0.462963,0.160229,0.592625,0.169928
GNB,1,ROS,0.636055,0.464286,0.151209,0.589464,0.163615
GNB,1,RUS,0.630904,0.273504,0.132467,0.554317,0.157499
GNB,1,SMOTE,0.639772,0.505929,0.183753,0.617764,0.218653
GNB,1,Borderline-SMOTE,0.628300,0.513208,0.183580,0.621393,0.229743
GNB,1,SVM-SMOTE,0.638162,0.485149,0.214825,0.619081,0.221383
GNB,1,ADASYN,0.632016,0.480620,0.136419,0.588586,0.165631
GNB,1,G-SMOTE,0.672695,0.214286,0.082866,0.533275,0.104021
GNB,1,CiFRUS (train),0.640299,0.488688,0.193783,0.613667,0.208045
GNB,1,CiFRUS (train/test),0.623705,0.464286,0.151209,0.589464,0.163615
GNB,1,CiFRUS (balanced-train/test),0.619959,0.471545,0.135067,0.584958,0.156557
GNB,2,Baseline,0.621188,0.447761,0.159403,0.588089,0.163986
GNB,2,ROS,0.612028,0.454106,0.159742,0.589903,0.166154
GNB,2,RUS,0.618788,0.245614,0.111224,0.545040,0.136385
GNB,2,SMOTE,0.616828,0.486726,0.184183,0.609599,0.200378
GNB,2,Borderline-SMOTE,0.593181,0.462810,0.125629,0.578168,0.143589
GNB,2,SVM-SMOTE,0.599239,0.432161,0.138967,0.576324,0.142490
GNB,2,ADASYN,0.596634,0.466960,0.151439,0.590372,0.165213
GNB,2,G-SMOTE,0.639596,0.256410,0.112055,0.545947,0.133229
GNB,2,CiFRUS (train),0.631753,0.484581,0.179491,0.607112,0.195816
GNB,2,CiFRUS (train/test),0.590547,0.456311,0.164659,0.592391,0.170936
