classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.75,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,0,ROS,0.7334735576923077,0.5106382978723405,0.24462061155152892,0.6298076923076923,0.2948575351093023
GNB,0,RUS,0.7376802884615385,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,0,SMOTE,0.7358774038461539,0.5567010309278351,0.29026750142287994,0.6532451923076923,0.3378411111686269
GNB,0,Borderline-SMOTE,0.7496995192307692,0.5567010309278351,0.29026750142287994,0.6532451923076923,0.3378411111686269
GNB,0,SVM-SMOTE,0.7385817307692308,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,0,ADASYN,0.75,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,0,G-SMOTE,0.7268629807692308,0.5742574257425742,0.2853868194842406,0.6496394230769231,0.3193399639557793
GNB,0,CiFRUS (train),0.7717848557692307,0.4888888888888889,0.24971878515185597,0.6334134615384616,0.31820967372112396
GNB,0,CiFRUS (train/test),0.7521033653846154,0.6336633663366337,0.38510028653295125,0.7019230769230769,0.4309165778680395
GNB,0,CiFRUS (balanced-train/test),0.7433894230769231,0.606060606060606,0.35408338092518565,0.6862980769230769,0.4036951155303711
GNB,1,Organic,0.7493990384615384,0.5656565656565656,0.28783552255853795,0.6514423076923077,0.3281650616569468
GNB,1,ROS,0.7545072115384616,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,1,RUS,0.7487980769230769,0.58,0.3032036613272312,0.6592548076923077,0.34238754860562753
GNB,1,SMOTE,0.7415865384615385,0.5454545454545455,0.2547115933752142,0.6340144230769231,0.2904000347202347
GNB,1,Borderline-SMOTE,0.74609375,0.5510204081632654,0.2725199543899658,0.6436298076923077,0.31384834926608884
GNB,1,SVM-SMOTE,0.7487980769230769,0.5714285714285714,0.3055872291904218,0.6610576923076923,0.35193036654105364
GNB,1,ADASYN,0.7493990384615384,0.5656565656565656,0.28783552255853795,0.6514423076923077,0.3281650616569468
GNB,1,G-SMOTE,0.7176983173076923,0.6111111111111112,0.2935034802784223,0.6520432692307692,0.31167090871924563
GNB,1,CiFRUS (train),0.7530048076923078,0.47191011235955066,0.23469960696238057,0.6256009615384616,0.30382528791895574
GNB,1,CiFRUS (train/test),0.748798076923077,0.62,0.36956521739130443,0.6941105769230769,0.41732520075327434
GNB,1,CiFRUS (balanced-train/test),0.7530048076923076,0.6336633663366337,0.38510028653295125,0.7019230769230769,0.4309165778680395
GNB,2,Organic,0.7662259615384617,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,2,ROS,0.7684795673076923,0.4946236559139785,0.2295081967213115,0.6219951923076923,0.2802242691589025
GNB,2,RUS,0.7647235576923077,0.5263157894736842,0.2597844583096993,0.6376201923076923,0.30932391986928326
GNB,2,SMOTE,0.7557091346153846,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,2,Borderline-SMOTE,0.764873798076923,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,2,SVM-SMOTE,0.7624699519230769,0.5263157894736842,0.2597844583096993,0.6376201923076923,0.30932391986928326
GNB,2,ADASYN,0.7662259615384617,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,2,G-SMOTE,0.7483473557692307,0.6213592233009708,0.3496262219666476,0.6826923076923077,0.3846486832072496
GNB,2,CiFRUS (train),0.788311298076923,0.47191011235955066,0.23469960696238057,0.6256009615384616,0.30382528791895574
GNB,2,CiFRUS (train/test),0.7623197115384616,0.6476190476190476,0.38084246970571267,0.6983173076923077,0.4126289667062932
GNB,2,CiFRUS (balanced-train/test),0.7692307692307693,0.6,0.33638443935926776,0.6766826923076923,0.37985637467945094
GNB,3,Organic,0.7271634615384616,0.5416666666666666,0.275,0.6454326923076923,0.3236451224613779
GNB,3,ROS,0.713641826923077,0.5052631578947367,0.22688598979013042,0.6201923076923077,0.2701518950823435
GNB,3,RUS,0.7367788461538461,0.5106382978723405,0.24462061155152892,0.6298076923076923,0.2948575351093023
GNB,3,SMOTE,0.7163461538461537,0.5567010309278351,0.29026750142287994,0.6532451923076923,0.3378411111686269
GNB,3,Borderline-SMOTE,0.7256610576923076,0.5263157894736842,0.2597844583096993,0.6376201923076923,0.30932391986928326
