classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.652490,0.684211,0.217867,0.612736,0.219742
GNB,0,ROS,0.647877,0.695402,0.223622,0.614413,0.224491
GNB,0,RUS,0.645676,0.682779,0.254950,0.634644,0.260525
GNB,0,SMOTE,0.623637,0.707521,0.214573,0.607495,0.214579
GNB,0,Borderline-SMOTE,0.627411,0.703911,0.208625,0.604717,0.208648
GNB,0,SVM-SMOTE,0.640121,0.704225,0.220607,0.611373,0.220759
GNB,0,ADASYN,0.644313,0.715493,0.250298,0.626363,0.250471
GNB,0,G-SMOTE,0.490566,0.754386,-0.031427,0.487212,-0.067247
GNB,0,CiFRUS (train),0.654979,0.686217,0.226558,0.617453,0.228726
GNB,0,CiFRUS (train/test),0.658464,0.682353,0.220787,0.614675,0.223122
GNB,0,CiFRUS (balanced-train/test),0.652856,0.670623,0.203602,0.606342,0.206433
GNB,1,Baseline,0.655477,0.693878,0.238165,0.623008,0.239998
GNB,1,ROS,0.660404,0.722063,0.288192,0.647170,0.289136
GNB,1,RUS,0.647013,0.688822,0.269141,0.642138,0.275027
GNB,1,SMOTE,0.632259,0.727273,0.253677,0.626101,0.253742
GNB,1,Borderline-SMOTE,0.642767,0.724796,0.232613,0.614727,0.232942
GNB,1,SVM-SMOTE,0.646226,0.707865,0.226545,0.614151,0.226645
GNB,1,ADASYN,0.654665,0.720222,0.241559,0.620545,0.241565
GNB,1,G-SMOTE,0.486426,0.756044,-0.019788,0.491929,-0.040541
GNB,1,CiFRUS (train),0.655215,0.684211,0.217867,0.612736,0.219742
GNB,1,CiFRUS (train/test),0.661268,0.676558,0.217952,0.613836,0.220982
GNB,1,CiFRUS (balanced-train/test),0.662264,0.678571,0.226562,0.618553,0.229985
GNB,2,Baseline,0.672275,0.684366,0.229440,0.619392,0.232110
GNB,2,ROS,0.661950,0.695906,0.246835,0.627725,0.248959
GNB,2,RUS,0.668789,0.705167,0.314233,0.666562,0.322063
GNB,2,SMOTE,0.650812,0.739726,0.281027,0.639151,0.281228
GNB,2,Borderline-SMOTE,0.646436,0.712707,0.217510,0.608333,0.217535
GNB,2,SVM-SMOTE,0.652935,0.686047,0.214925,0.610797,0.216393
GNB,2,ADASYN,0.647510,0.715084,0.238488,0.619706,0.238515
GNB,2,G-SMOTE,0.502961,0.759825,-0.017859,0.492767,-0.042369
GNB,2,CiFRUS (train),0.669366,0.676558,0.217952,0.613836,0.220982
GNB,2,CiFRUS (train/test),0.677044,0.686391,0.238062,0.624109,0.241095
GNB,2,CiFRUS (balanced-train/test),0.673375,0.672673,0.223716,0.617715,0.227971
GNB,3,Baseline,0.666693,0.697947,0.255472,0.632442,0.257916
GNB,3,ROS,0.653014,0.697674,0.244002,0.625786,0.245669
GNB,3,RUS,0.668291,0.694611,0.272228,0.642977,0.277037
GNB,3,SMOTE,0.650000,0.726257,0.268351,0.634696,0.268381
GNB,3,Borderline-SMOTE,0.651651,0.705882,0.217602,0.609434,0.217656
GNB,3,SVM-SMOTE,0.657049,0.726257,0.268351,0.634696,0.268381
GNB,3,ADASYN,0.668239,0.726257,0.268351,0.634696,0.268381
GNB,3,G-SMOTE,0.503826,0.761488,-0.006197,0.497484,-0.013919
GNB,3,CiFRUS (train),0.664780,0.684524,0.240885,0.626048,0.244524
GNB,3,CiFRUS (train/test),0.666064,0.696165,0.258246,0.634382,0.261251
GNB,3,CiFRUS (balanced-train/test),0.666667,0.692308,0.252438,0.631604,0.255655
GNB,4,Baseline,0.661792,0.689855,0.220728,0.613574,0.222057
