classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.987461,0.913462,0.863629,0.928505,0.864026
GNB,0,ROS,0.987501,0.911271,0.859976,0.927105,0.860278
GNB,0,RUS,0.988637,0.914286,0.864154,0.930421,0.864252
GNB,0,SMOTE,0.989311,0.918269,0.871205,0.932264,0.871606
GNB,0,Borderline-SMOTE,0.985307,0.919540,0.869805,0.939485,0.870534
GNB,0,SVM-SMOTE,0.982975,0.903529,0.846026,0.923418,0.846032
GNB,0,ADASYN,0.989311,0.925926,0.880625,0.943687,0.881018
GNB,0,G-SMOTE,0.982579,0.902613,0.845435,0.921503,0.845489
GNB,0,CiFRUS (train),0.981846,0.908213,0.855774,0.923788,0.856392
GNB,0,CiFRUS (train/test),0.980736,0.900000,0.841513,0.919144,0.841608
GNB,0,CiFRUS (balanced-train/test),0.980670,0.897862,0.837895,0.917744,0.837949
GNB,1,Baseline,0.986430,0.911271,0.859976,0.927105,0.860278
GNB,1,ROS,0.984653,0.904762,0.849060,0.922903,0.849156
GNB,1,RUS,0.986417,0.911695,0.860246,0.928063,0.860399
GNB,1,SMOTE,0.985347,0.911271,0.859976,0.927105,0.860278
GNB,1,Borderline-SMOTE,0.983695,0.925926,0.880625,0.943687,0.881018
GNB,1,SVM-SMOTE,0.982031,0.896714,0.834918,0.918259,0.834942
GNB,1,ADASYN,0.985334,0.921659,0.873405,0.940886,0.874011
GNB,1,G-SMOTE,0.981694,0.905213,0.849349,0.923861,0.849373
GNB,1,CiFRUS (train),0.982552,0.906475,0.852407,0.923346,0.852707
GNB,1,CiFRUS (train/test),0.981621,0.900000,0.841513,0.919144,0.841608
GNB,1,CiFRUS (balanced-train/test),0.981628,0.900000,0.841513,0.919144,0.841608
GNB,2,Baseline,0.986404,0.906921,0.852691,0.924304,0.852844
GNB,2,ROS,0.985380,0.904762,0.849060,0.922903,0.849156
GNB,2,RUS,0.986226,0.909953,0.856882,0.927620,0.856906
GNB,2,SMOTE,0.987699,0.909524,0.856607,0.926662,0.856704
GNB,2,Borderline-SMOTE,0.985360,0.919908,0.870051,0.940443,0.871067
GNB,2,SVM-SMOTE,0.981304,0.901408,0.842422,0.922018,0.842445
GNB,2,ADASYN,0.989218,0.923788,0.877012,0.942286,0.877505
GNB,2,G-SMOTE,0.981898,0.902613,0.845435,0.921503,0.845489
GNB,2,CiFRUS (train),0.981542,0.906475,0.852407,0.923346,0.852707
GNB,2,CiFRUS (train/test),0.980234,0.897862,0.837895,0.917744,0.837949
GNB,2,CiFRUS (balanced-train/test),0.980115,0.898345,0.838206,0.918701,0.838212
GNB,3,Baseline,0.985955,0.904762,0.849060,0.922903,0.849156
GNB,3,ROS,0.984171,0.904306,0.848769,0.921945,0.848987
GNB,3,RUS,0.986054,0.908654,0.856053,0.924746,0.856446
GNB,3,SMOTE,0.987236,0.920482,0.874873,0.933665,0.875382
GNB,3,Borderline-SMOTE,0.989549,0.924138,0.877245,0.943244,0.877980
GNB,3,SVM-SMOTE,0.982691,0.901869,0.842723,0.922976,0.842817
GNB,3,ADASYN,0.989549,0.921659,0.873405,0.940886,0.874011
GNB,3,G-SMOTE,0.982374,0.900474,0.841817,0.920102,0.841841
GNB,3,CiFRUS (train),0.982698,0.908654,0.856053,0.924746,0.856446
GNB,3,CiFRUS (train/test),0.981832,0.897862,0.837895,0.917744,0.837949
GNB,3,CiFRUS (balanced-train/test),0.980709,0.897862,0.837895,0.917744,0.837949
GNB,4,Baseline,0.986919,0.911695,0.860246,0.928063,0.860399
GNB,4,ROS,0.987210,0.913876,0.863892,0.929463,0.864114
GNB,4,RUS,0.988069,0.911271,0.859976,0.927105,0.860278
GNB,4,SMOTE,0.988095,0.918269,0.871205,0.932264,0.871606
