classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.634916,0.450450,0.243328,0.636818,0.248926
GNB,0,ROS,0.628857,0.406250,0.151269,0.594477,0.163514
GNB,0,RUS,0.617162,0.390625,0.128934,0.580527,0.139371
GNB,0,SMOTE,0.646611,0.368000,0.101963,0.562562,0.108953
GNB,0,Borderline-SMOTE,0.662393,0.409449,0.157495,0.597788,0.169577
GNB,0,SVM-SMOTE,0.654079,0.407767,0.201718,0.607510,0.203132
GNB,0,ADASYN,0.647457,0.434783,0.177198,0.617162,0.200052
GNB,0,G-SMOTE,0.594899,0.350877,0.099668,0.557137,0.102757
GNB,0,CiFRUS (train),0.633225,0.431034,0.207135,0.620262,0.214772
GNB,0,CiFRUS (train/test),0.628435,0.425926,0.215591,0.618853,0.219055
GNB,0,CiFRUS (balanced-train/test),0.624912,0.410256,0.176293,0.603001,0.183339
GNB,1,Baseline,0.652247,0.428571,0.211254,0.619558,0.216652
GNB,1,ROS,0.662674,0.396825,0.141194,0.587149,0.151442
GNB,1,RUS,0.630266,0.394366,0.112478,0.576018,0.129480
GNB,1,SMOTE,0.647457,0.369748,0.115756,0.568480,0.121137
GNB,1,Borderline-SMOTE,0.668170,0.440945,0.202428,0.625687,0.217957
GNB,1,SVM-SMOTE,0.660984,0.404040,0.206062,0.606806,0.206530
GNB,1,ADASYN,0.644779,0.414815,0.152563,0.599197,0.169874
GNB,1,G-SMOTE,0.640271,0.400000,0.175936,0.598281,0.179556
GNB,1,CiFRUS (train),0.665211,0.410256,0.176293,0.603001,0.183339
GNB,1,CiFRUS (train/test),0.653093,0.425926,0.215591,0.618853,0.219055
GNB,1,CiFRUS (balanced-train/test),0.647034,0.406780,0.169563,0.599690,0.176884
GNB,2,Baseline,0.658729,0.403670,0.183065,0.601592,0.186407
GNB,2,ROS,0.664647,0.455285,0.229169,0.638932,0.243099
GNB,2,RUS,0.640130,0.377953,0.112561,0.569889,0.121196
GNB,2,SMOTE,0.643652,0.382609,0.141653,0.581725,0.146452
GNB,2,Borderline-SMOTE,0.676483,0.432000,0.192904,0.618360,0.206127
GNB,2,SVM-SMOTE,0.646893,0.354167,0.147618,0.574891,0.147674
GNB,2,ADASYN,0.651543,0.409449,0.157495,0.597788,0.169577
GNB,2,G-SMOTE,0.622939,0.381818,0.150965,0.584331,0.154071
GNB,2,CiFRUS (train),0.662674,0.424779,0.204082,0.616246,0.209840
GNB,2,CiFRUS (train/test),0.653797,0.407407,0.190288,0.604903,0.193345
GNB,2,CiFRUS (balanced-train/test),0.654220,0.444444,0.224044,0.630900,0.232999
GNB,3,Baseline,0.656897,0.425926,0.215591,0.618853,0.219055
GNB,3,ROS,0.662252,0.432000,0.192904,0.618360,0.206127
GNB,3,RUS,0.623644,0.390977,0.121205,0.577920,0.133770
GNB,3,SMOTE,0.677188,0.396694,0.149865,0.589756,0.157872
GNB,3,Borderline-SMOTE,0.671410,0.453125,0.218274,0.636325,0.235944
GNB,3,SVM-SMOTE,0.656756,0.408163,0.213963,0.610117,0.214278
GNB,3,ADASYN,0.654502,0.414815,0.152563,0.599197,0.169874
GNB,3,G-SMOTE,0.635480,0.403509,0.172668,0.598985,0.178019
GNB,3,CiFRUS (train),0.654079,0.417391,0.190011,0.609624,0.196447
GNB,3,CiFRUS (train/test),0.645202,0.407767,0.201718,0.607510,0.203132
GNB,3,CiFRUS (balanced-train/test),0.645484,0.400000,0.165832,0.595674,0.171450
GNB,4,Baseline,0.659011,0.400000,0.175936,0.598281,0.179556
GNB,4,ROS,0.655066,0.409836,0.166608,0.600395,0.176114
GNB,4,RUS,0.637030,0.390244,0.137130,0.583134,0.145465
GNB,4,SMOTE,0.672256,0.413223,0.173156,0.603706,0.182408
GNB,4,Borderline-SMOTE,0.679442,0.430769,0.183187,0.615753,0.199624
GNB,4,SVM-SMOTE,0.661970,0.411765,0.209370,0.610821,0.210544
GNB,4,ADASYN,0.664365,0.400000,0.131108,0.585247,0.145986
GNB,4,G-SMOTE,0.641539,0.434783,0.214190,0.623573,0.221445
GNB,4,CiFRUS (train),0.662674,0.431034,0.207135,0.620262,0.214772
GNB,4,CiFRUS (train/test),0.655066,0.419048,0.212544,0.614837,0.214720
GNB,4,CiFRUS (balanced-train/test),0.658870,0.444444,0.224044,0.630900,0.232999
GNB,5,Baseline,0.657743,0.428571,0.211254,0.619558,0.216652
GNB,5,ROS,0.651261,0.419355,0.176620,0.607722,0.188032
GNB,5,RUS,0.669720,0.460317,0.231595,0.642948,0.248403
GNB,5,SMOTE,0.656193,0.370968,0.108005,0.565873,0.114984
GNB,5,Borderline-SMOTE,0.676765,0.412214,0.154972,0.598492,0.169581
GNB,5,SVM-SMOTE,0.667324,0.384615,0.168176,0.590249,0.169615
GNB,5,ADASYN,0.634775,0.400000,0.131108,0.585247,0.145986
GNB,5,G-SMOTE,0.629985,0.355932,0.098382,0.557841,0.102630
GNB,5,CiFRUS (train),0.664224,0.424779,0.204082,0.616246,0.209840
GNB,5,CiFRUS (train/test),0.659715,0.480769,0.298149,0.659997,0.300700
GNB,5,CiFRUS (balanced-train/test),0.660561,0.440678,0.217016,0.627589,0.226386
GNB,6,Baseline,0.647175,0.388889,0.164984,0.590954,0.167635
GNB,6,ROS,0.658025,0.409836,0.166608,0.600395,0.176114
GNB,6,RUS,0.659786,0.432000,0.192904,0.618360,0.206127
GNB,6,SMOTE,0.663520,0.406780,0.169563,0.599690,0.176884
GNB,6,Borderline-SMOTE,0.661265,0.425197,0.179961,0.611737,0.193767
GNB,6,SVM-SMOTE,0.651684,0.388350,0.175545,0.593561,0.176776
GNB,6,ADASYN,0.645907,0.393939,0.127080,0.581232,0.139651
GNB,6,G-SMOTE,0.618149,0.385321,0.157928,0.587643,0.160812
GNB,6,CiFRUS (train),0.650979,0.417391,0.190011,0.609624,0.196447
GNB,6,CiFRUS (train/test),0.641257,0.392157,0.183016,0.596872,0.184042
GNB,6,CiFRUS (balanced-train/test),0.643511,0.403509,0.172668,0.598985,0.178019
GNB,7,Baseline,0.648161,0.410714,0.186605,0.605608,0.191373
GNB,7,ROS,0.657602,0.406504,0.160139,0.597083,0.169873
GNB,7,RUS,0.639284,0.365079,0.095994,0.559250,0.102961
GNB,7,SMOTE,0.666479,0.389831,0.145836,0.585740,0.152133
GNB,7,Borderline-SMOTE,0.671129,0.403101,0.145116,0.591165,0.157493
GNB,7,SVM-SMOTE,0.639989,0.407767,0.201718,0.607510,0.203132
GNB,7,ADASYN,0.657461,0.412214,0.154972,0.598492,0.169581
GNB,7,G-SMOTE,0.612512,0.377049,0.120309,0.572495,0.127173
GNB,7,CiFRUS (train),0.657884,0.427350,0.200169,0.616951,0.208169
GNB,7,CiFRUS (train/test),0.643934,0.438095,0.238362,0.628787,0.240802
GNB,7,CiFRUS (balanced-train/test),0.642384,0.400000,0.147434,0.590461,0.157540
GNB,8,Baseline,0.643230,0.381818,0.150965,0.584331,0.154071
GNB,8,ROS,0.628998,0.384000,0.124699,0.576511,0.133246
GNB,8,RUS,0.602438,0.400000,0.139034,0.587854,0.151510
GNB,8,SMOTE,0.662533,0.413223,0.173156,0.603706,0.182408
GNB,8,Borderline-SMOTE,0.646189,0.373984,0.114120,0.569184,0.121056
GNB,8,SVM-SMOTE,0.634071,0.383838,0.179149,0.592856,0.179556
GNB,8,ADASYN,0.645061,0.417910,0.158549,0.602508,0.175754
GNB,8,G-SMOTE,0.619417,0.400000,0.156350,0.593067,0.164153
GNB,8,CiFRUS (train),0.650134,0.407080,0.179592,0.602297,0.184659
GNB,8,CiFRUS (train/test),0.640693,0.392523,0.172134,0.594265,0.174543
GNB,8,CiFRUS (balanced-train/test),0.645202,0.413223,0.173156,0.603706,0.182408
GNB,9,Baseline,0.656475,0.407080,0.179592,0.602297,0.184659
GNB,9,ROS,0.662815,0.396825,0.141194,0.587149,0.151442
GNB,9,RUS,0.610117,0.367647,0.082642,0.554037,0.092438
GNB,9,SMOTE,0.669720,0.434109,0.189526,0.619064,0.205690
GNB,9,Borderline-SMOTE,0.681415,0.444444,0.208994,0.628998,0.224163
GNB,9,SVM-SMOTE,0.654502,0.411765,0.209370,0.610821,0.210544
GNB,9,ADASYN,0.648725,0.408759,0.140791,0.592574,0.158207
GNB,9,G-SMOTE,0.643511,0.393162,0.152418,0.589052,0.158510
GNB,9,CiFRUS (train),0.660420,0.421053,0.197001,0.612935,0.203106
GNB,9,CiFRUS (train/test),0.644779,0.429907,0.223080,0.622164,0.226202
GNB,9,CiFRUS (balanced-train/test),0.644779,0.409836,0.166608,0.600395,0.176114
KNN,0,Baseline,0.616599,0.368421,0.228697,0.599267,0.238908
KNN,0,ROS,0.591024,0.368421,0.060220,0.542905,0.073155
KNN,0,RUS,0.668451,0.447552,0.189114,0.628505,0.218802
KNN,0,SMOTE,0.621812,0.400000,0.109801,0.577427,0.131880
KNN,0,Borderline-SMOTE,0.622376,0.384615,0.079159,0.557560,0.098464
KNN,0,SVM-SMOTE,0.629491,0.400000,0.131108,0.585247,0.145986
KNN,0,ADASYN,0.562773,0.359281,0.027541,0.521136,0.036808
KNN,0,G-SMOTE,0.625264,0.425532,0.246724,0.623362,0.246724
KNN,0,CiFRUS (train),0.624419,0.400000,0.198272,0.603494,0.198913
KNN,0,CiFRUS (train/test),0.590249,0.387755,0.186858,0.596167,0.187133
KNN,0,CiFRUS (balanced-train/test),0.602226,0.400000,0.165832,0.595674,0.171450
KNN,1,Baseline,0.630900,0.366197,0.245043,0.601874,0.265614
KNN,1,ROS,0.602438,0.426471,0.167978,0.609835,0.187889
KNN,1,RUS,0.629280,0.383562,0.090909,0.562773,0.106833
