classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.986823,0.945455,0.915586,0.963643,0.916343
GNB,0,ROS,0.986854,0.949698,0.921990,0.967792,0.923002
GNB,0,RUS,0.984979,0.947791,0.918949,0.966701,0.920094
GNB,0,SMOTE,0.986872,0.949698,0.921990,0.967792,0.923002
GNB,0,Borderline-SMOTE,0.986841,0.946322,0.916237,0.967575,0.918187
GNB,0,SVM-SMOTE,0.986732,0.948207,0.919261,0.968667,0.921039
GNB,0,ADASYN,0.986859,0.948207,0.919261,0.968667,0.921039
GNB,0,G-SMOTE,0.986800,0.949698,0.921990,0.967792,0.923002
GNB,0,CiFRUS (train),0.983552,0.944444,0.913218,0.966483,0.915348
GNB,0,CiFRUS (train/test),0.988281,0.949698,0.921990,0.967792,0.923002
GNB,0,CiFRUS (balanced-train/test),0.988349,0.949698,0.921990,0.967792,0.923002
GNB,1,Baseline,0.987733,0.947581,0.918791,0.965718,0.919671
GNB,1,ROS,0.986804,0.949698,0.921990,0.967792,0.923002
GNB,1,RUS,0.982859,0.952000,0.925328,0.970850,0.926782
GNB,1,SMOTE,0.986813,0.949698,0.921990,0.967792,0.923002
GNB,1,Borderline-SMOTE,0.986773,0.946322,0.916237,0.967575,0.918187
GNB,1,SVM-SMOTE,0.986755,0.948207,0.919261,0.968667,0.921039
GNB,1,ADASYN,0.986746,0.952000,0.925328,0.970850,0.926782
GNB,1,G-SMOTE,0.986782,0.947791,0.918949,0.966701,0.920094
GNB,1,CiFRUS (train),0.983425,0.946322,0.916237,0.967575,0.918187
GNB,1,CiFRUS (train/test),0.988168,0.945674,0.915750,0.964626,0.916754
GNB,1,CiFRUS (balanced-train/test),0.988168,0.947791,0.918949,0.966701,0.920094
GNB,2,Baseline,0.986555,0.949698,0.921990,0.967792,0.923002
GNB,2,ROS,0.985636,0.949698,0.921990,0.967792,0.923002
GNB,2,RUS,0.984689,0.945674,0.915750,0.964626,0.916754
GNB,2,SMOTE,0.985631,0.949698,0.921990,0.967792,0.923002
GNB,2,Borderline-SMOTE,0.984798,0.942574,0.910205,0.965392,0.912522
GNB,2,SVM-SMOTE,0.984680,0.952000,0.925328,0.970850,0.926782
GNB,2,ADASYN,0.984666,0.951807,0.925183,0.969867,0.926336
GNB,2,G-SMOTE,0.985704,0.949698,0.921990,0.967792,0.923002
GNB,2,CiFRUS (train),0.983312,0.942574,0.910205,0.965392,0.912522
GNB,2,CiFRUS (train/test),0.987217,0.943775,0.912714,0.963534,0.913851
GNB,2,CiFRUS (balanced-train/test),0.987208,0.943775,0.912714,0.963534,0.913851
GNB,3,Baseline,0.986886,0.947368,0.918634,0.964735,0.919282
GNB,3,ROS,0.986877,0.949698,0.921990,0.967792,0.923002
GNB,3,RUS,0.986202,0.947791,0.918949,0.966701,0.920094
GNB,3,SMOTE,0.986913,0.945455,0.915586,0.963643,0.916343
GNB,3,Borderline-SMOTE,0.986931,0.944444,0.913218,0.966483,0.915348
GNB,3,SVM-SMOTE,0.986886,0.948207,0.919261,0.968667,0.921039
GNB,3,ADASYN,0.986931,0.948207,0.919261,0.968667,0.921039
GNB,3,G-SMOTE,0.986823,0.949698,0.921990,0.967792,0.923002
GNB,3,CiFRUS (train),0.983584,0.944444,0.913218,0.966483,0.915348
GNB,3,CiFRUS (train/test),0.988453,0.951613,0.925038,0.968884,0.925924
GNB,3,CiFRUS (balanced-train/test),0.988422,0.949698,0.921990,0.967792,0.923002
GNB,4,Baseline,0.984743,0.947368,0.918634,0.964735,0.919282
