classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.565896,0.374449,0.007361,0.507932,0.043606
GNB,0,ROS,0.554903,0.369061,-0.000735,0.499211,-0.004025
GNB,0,RUS,0.600895,0.368121,0.087764,0.560327,0.101431
GNB,0,SMOTE,0.528535,0.369878,0.000866,0.500929,0.004534
GNB,0,Borderline-SMOTE,0.528515,0.373068,0.005471,0.505884,0.030730
GNB,0,SVM-SMOTE,0.559059,0.373481,0.006276,0.506743,0.034391
GNB,0,ADASYN,0.527621,0.369469,0.000065,0.500070,0.000349
GNB,0,G-SMOTE,0.623726,0.270742,0.177318,0.567780,0.215179
GNB,0,CiFRUS (train),0.588698,0.368996,-0.002494,0.497293,-0.019860
GNB,0,CiFRUS (train/test),0.578453,0.370774,0.000184,0.500200,0.001544
GNB,0,CiFRUS (balanced-train/test),0.560422,0.370370,-0.000606,0.499341,-0.005400
GNB,1,Baseline,0.576875,0.374037,0.006558,0.507073,0.039983
GNB,1,ROS,0.571371,0.374449,0.007361,0.507932,0.043606
GNB,1,RUS,0.613942,0.384146,0.071655,0.558719,0.102785
GNB,1,SMOTE,0.540338,0.372657,0.004668,0.505025,0.026906
GNB,1,Borderline-SMOTE,0.532376,0.372247,0.003866,0.504166,0.022902
GNB,1,SVM-SMOTE,0.568179,0.372657,0.004668,0.505025,0.026906
GNB,1,ADASYN,0.543959,0.374449,0.007361,0.507932,0.043606
GNB,1,G-SMOTE,0.630969,0.260090,0.173893,0.565402,0.218567
GNB,1,CiFRUS (train),0.619271,0.371179,0.000975,0.501059,0.007768
GNB,1,CiFRUS (train/test),0.597234,0.370774,0.000184,0.500200,0.001544
GNB,1,CiFRUS (balanced-train/test),0.584652,0.370774,0.000184,0.500200,0.001544
GNB,2,Baseline,0.573519,0.373216,0.004955,0.505354,0.032181
GNB,2,ROS,0.564248,0.373216,0.004955,0.505354,0.032181
GNB,2,RUS,0.606659,0.386029,0.107623,0.575851,0.127325
GNB,2,SMOTE,0.539424,0.374862,0.008166,0.508791,0.047072
GNB,2,Borderline-SMOTE,0.532246,0.372247,0.003866,0.504166,0.022902
GNB,2,SVM-SMOTE,0.572734,0.371429,0.002267,0.502447,0.014252
GNB,2,ADASYN,0.533600,0.374449,0.007361,0.507932,0.043606
GNB,2,G-SMOTE,0.613332,0.265487,0.175620,0.566591,0.216732
GNB,2,CiFRUS (train),0.617812,0.370370,-0.000606,0.499341,-0.005400
GNB,2,CiFRUS (train/test),0.608187,0.370774,0.000184,0.500200,0.001544
GNB,2,CiFRUS (balanced-train/test),0.587539,0.370774,0.000184,0.500200,0.001544
GNB,3,Baseline,0.582644,0.377193,0.011120,0.512027,0.074774
GNB,3,ROS,0.582324,0.377607,0.011926,0.512887,0.077451
GNB,3,RUS,0.618202,0.377358,0.082147,0.561176,0.103103
GNB,3,SMOTE,0.542456,0.376652,0.010856,0.511698,0.064311
GNB,3,Borderline-SMOTE,0.543954,0.378022,0.012733,0.513746,0.080045
GNB,3,SVM-SMOTE,0.578423,0.376652,0.010856,0.511698,0.064311
GNB,3,ADASYN,0.541996,0.376238,0.010050,0.510839,0.061274
GNB,3,G-SMOTE,0.645119,0.274336,0.185552,0.570357,0.228990
GNB,3,CiFRUS (train),0.632332,0.374320,0.005523,0.506014,0.052625
GNB,3,CiFRUS (train/test),0.590281,0.372399,0.003359,0.503636,0.023444
GNB,3,CiFRUS (balanced-train/test),0.582789,0.371585,0.001768,0.501918,0.013425
GNB,4,Baseline,0.602433,0.377607,0.011926,0.512887,0.077451
GNB,4,ROS,0.601285,0.378022,0.012733,0.513746,0.080045
GNB,4,RUS,0.617857,0.383775,0.074999,0.560307,0.104380
GNB,4,SMOTE,0.554653,0.378438,0.013541,0.514605,0.082565
GNB,4,Borderline-SMOTE,0.550253,0.374037,0.006558,0.507073,0.039983
GNB,4,SVM-SMOTE,0.577499,0.374449,0.007361,0.507932,0.043606
GNB,4,ADASYN,0.558444,0.376238,0.010050,0.510839,0.061274
GNB,4,G-SMOTE,0.646812,0.290749,0.202604,0.577030,0.248597
GNB,4,CiFRUS (train),0.627038,0.374320,0.005523,0.506014,0.052625
GNB,4,CiFRUS (train/test),0.619256,0.374320,0.005523,0.506014,0.052625
GNB,4,CiFRUS (balanced-train/test),0.608837,0.374320,0.005523,0.506014,0.052625
GNB,5,Baseline,0.602214,0.377193,0.011120,0.512027,0.074774
GNB,5,ROS,0.582439,0.377607,0.011926,0.512887,0.077451
GNB,5,RUS,0.639630,0.395604,0.072384,0.564653,0.123303
GNB,5,SMOTE,0.572160,0.378855,0.014352,0.515464,0.085016
GNB,5,Borderline-SMOTE,0.567475,0.377607,0.011926,0.512887,0.077451
GNB,5,SVM-SMOTE,0.602753,0.377067,0.011665,0.512557,0.067239
GNB,5,ADASYN,0.560737,0.378022,0.012733,0.513746,0.080045
GNB,5,G-SMOTE,0.645713,0.271930,0.180048,0.568639,0.219686
GNB,5,CiFRUS (train),0.637447,0.373913,0.004730,0.505155,0.048689
GNB,5,CiFRUS (train/test),0.603992,0.374320,0.005523,0.506014,0.052625
GNB,5,CiFRUS (balanced-train/test),0.598028,0.374320,0.005523,0.506014,0.052625
GNB,6,Baseline,0.609851,0.377193,0.011120,0.512027,0.074774
GNB,6,ROS,0.606230,0.377193,0.011120,0.512027,0.074774
GNB,6,RUS,0.631398,0.382060,0.083337,0.563684,0.107964
GNB,6,SMOTE,0.566980,0.376652,0.010856,0.511698,0.064311
GNB,6,Borderline-SMOTE,0.558574,0.376238,0.010050,0.510839,0.061274
GNB,6,SVM-SMOTE,0.577325,0.373481,0.006276,0.506743,0.034391
GNB,6,ADASYN,0.560058,0.377067,0.011665,0.512557,0.067239
GNB,6,G-SMOTE,0.649879,0.280702,0.189927,0.572405,0.231740
GNB,6,CiFRUS (train),0.636268,0.374320,0.005523,0.506014,0.052625
GNB,6,CiFRUS (train/test),0.625979,0.373362,0.004444,0.504825,0.035397
GNB,6,CiFRUS (balanced-train/test),0.616354,0.375136,0.007115,0.507732,0.059751
