classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.965642,0.964176,0.871870,0.944112,0.872577
GNB,0,ROS,0.964916,0.922912,0.754115,0.911778,0.767275
GNB,0,RUS,0.964047,0.919957,0.742665,0.903626,0.754303
GNB,0,SMOTE,0.962298,0.934737,0.782840,0.916784,0.789868
GNB,0,Borderline-SMOTE,0.949063,0.926829,0.761002,0.909699,0.770418
GNB,0,SVM-SMOTE,0.964432,0.911063,0.725115,0.903362,0.743542
GNB,0,ADASYN,0.963387,0.928799,0.768662,0.915134,0.778988
GNB,0,G-SMOTE,0.964795,0.914779,0.733127,0.904693,0.749206
GNB,0,CiFRUS (train),0.965653,0.964176,0.871870,0.944112,0.872577
GNB,0,CiFRUS (train/test),0.965422,0.965235,0.875322,0.945124,0.875911
GNB,0,CiFRUS (balanced-train/test),0.965488,0.922258,0.748738,0.905650,0.759620
GNB,1,Baseline,0.965147,0.963115,0.868429,0.943100,0.869265
GNB,1,ROS,0.965697,0.923241,0.752570,0.908368,0.763932
GNB,1,RUS,0.964388,0.924388,0.755622,0.909380,0.766604
GNB,1,SMOTE,0.962496,0.938090,0.792351,0.919820,0.798431
GNB,1,Borderline-SMOTE,0.948535,0.924370,0.747004,0.896431,0.753054
GNB,1,SVM-SMOTE,0.965059,0.911255,0.724270,0.901657,0.741647
GNB,1,ADASYN,0.963541,0.932203,0.777969,0.918170,0.787194
GNB,1,G-SMOTE,0.967655,0.918103,0.742864,0.909435,0.758661
GNB,1,CiFRUS (train),0.965015,0.962051,0.865000,0.942088,0.865975
GNB,1,CiFRUS (train/test),0.964905,0.964176,0.871870,0.944112,0.872577
GNB,1,CiFRUS (balanced-train/test),0.964949,0.926829,0.761002,0.909699,0.770418
GNB,2,Baseline,0.966038,0.963115,0.868429,0.943100,0.869265
GNB,2,ROS,0.965697,0.924388,0.755622,0.909380,0.766604
GNB,2,RUS,0.963739,0.921109,0.745697,0.904638,0.756955
GNB,2,SMOTE,0.963772,0.936975,0.789170,0.918808,0.795561
GNB,2,Borderline-SMOTE,0.949668,0.907725,0.707219,0.887377,0.720432
GNB,2,SVM-SMOTE,0.965719,0.916757,0.740684,0.910128,0.757940
GNB,2,ADASYN,0.964366,0.930777,0.776274,0.920569,0.787556
GNB,2,G-SMOTE,0.966764,0.912052,0.728883,0.906079,0.747933
GNB,2,CiFRUS (train),0.966005,0.962051,0.865000,0.942088,0.865975
GNB,2,CiFRUS (train/test),0.965994,0.963115,0.868429,0.943100,0.869265
GNB,2,CiFRUS (balanced-train/test),0.965950,0.924388,0.755622,0.909380,0.766604
GNB,3,Baseline,0.964124,0.963115,0.868429,0.943100,0.869265
GNB,3,ROS,0.963948,0.927505,0.766316,0.915827,0.777885
GNB,3,RUS,0.962617,0.918803,0.739642,0.902614,0.751665
GNB,3,SMOTE,0.960284,0.935586,0.787365,0.921207,0.795531
GNB,3,Borderline-SMOTE,0.945619,0.922423,0.747945,0.903945,0.757993
GNB,3,SVM-SMOTE,0.959965,0.918103,0.742864,0.909435,0.758661
GNB,3,ADASYN,0.963090,0.928799,0.768662,0.915134,0.778988
GNB,3,G-SMOTE,0.964674,0.907709,0.715495,0.898620,0.734194
GNB,3,CiFRUS (train),0.963937,0.963115,0.868429,0.943100,0.869265
GNB,3,CiFRUS (train/test),0.963838,0.963115,0.868429,0.943100,0.869265
GNB,3,CiFRUS (balanced-train/test),0.963827,0.924388,0.755622,0.909380,0.766604
GNB,4,Baseline,0.965334,0.962051,0.865000,0.942088,0.865975
GNB,4,ROS,0.965389,0.920940,0.746493,0.906344,0.758627
GNB,4,RUS,0.962463,0.915327,0.730630,0.899578,0.743828
GNB,4,SMOTE,0.961483,0.933614,0.779691,0.915772,0.787045
GNB,4,Borderline-SMOTE,0.948062,0.916488,0.733625,0.900590,0.746427
GNB,4,SVM-SMOTE,0.964707,0.911063,0.725115,0.903362,0.743542
GNB,4,ADASYN,0.964168,0.926203,0.763992,0.916520,0.776864
GNB,4,G-SMOTE,0.966643,0.915948,0.736097,0.905705,0.751750
GNB,4,CiFRUS (train),0.965345,0.962051,0.865000,0.942088,0.865975
GNB,4,CiFRUS (train/test),0.965158,0.963115,0.868429,0.943100,0.869265
GNB,4,CiFRUS (balanced-train/test),0.965191,0.919957,0.742665,0.903626,0.754303
GNB,5,Baseline,0.965488,0.966292,0.878786,0.946136,0.879266
GNB,5,ROS,0.965367,0.925532,0.758685,0.910392,0.769290
GNB,5,RUS,0.963871,0.917647,0.736629,0.901602,0.749039
GNB,5,SMOTE,0.962617,0.936975,0.789170,0.918808,0.795561
GNB,5,Borderline-SMOTE,0.949635,0.918172,0.734134,0.896486,0.743996
GNB,5,SVM-SMOTE,0.965829,0.911063,0.725115,0.903362,0.743542
GNB,5,ADASYN,0.963552,0.933192,0.781784,0.920888,0.791458
GNB,5,G-SMOTE,0.966126,0.914595,0.733949,0.906399,0.751047
GNB,5,CiFRUS (train),0.965400,0.966292,0.878786,0.946136,0.879266
GNB,5,CiFRUS (train/test),0.965312,0.965235,0.875322,0.945124,0.875911
GNB,5,CiFRUS (balanced-train/test),0.965411,0.922092,0.749527,0.907356,0.761273
GNB,6,Baseline,0.965081,0.963115,0.868429,0.943100,0.869265
GNB,6,ROS,0.964245,0.920771,0.747285,0.908049,0.760326
GNB,6,RUS,0.964883,0.924226,0.756389,0.911085,0.768243
GNB,6,SMOTE,0.961648,0.937960,0.793017,0.921526,0.799783
GNB,6,Borderline-SMOTE,0.948700,0.915327,0.730630,0.899578,0.743828
GNB,6,SVM-SMOTE,0.964234,0.912052,0.728883,0.906079,0.747933
GNB,6,ADASYN,0.963838,0.929787,0.772474,0.917851,0.783272
GNB,6,G-SMOTE,0.966225,0.915767,0.736911,0.907411,0.753573
GNB,6,CiFRUS (train),0.965081,0.964176,0.871870,0.944112,0.872577
GNB,6,CiFRUS (train/test),0.964806,0.965235,0.875322,0.945124,0.875911
GNB,6,CiFRUS (balanced-train/test),0.964883,0.924226,0.756389,0.911085,0.768243
GNB,7,Baseline,0.964311,0.962051,0.865000,0.942088,0.865975
GNB,7,ROS,0.962408,0.926674,0.761756,0.911404,0.771990
GNB,7,RUS,0.962881,0.918630,0.740455,0.904319,0.753376
GNB,7,SMOTE,0.961825,0.935857,0.786000,0.917796,0.792707
GNB,7,Borderline-SMOTE,0.948920,0.922587,0.747147,0.902240,0.756392
GNB,7,SVM-SMOTE,0.961957,0.913978,0.728490,0.900271,0.743028
GNB,7,ADASYN,0.963387,0.927813,0.764838,0.912416,0.774703
GNB,7,G-SMOTE,0.966434,0.913043,0.732639,0.908797,0.752324
GNB,7,CiFRUS (train),0.964454,0.963115,0.868429,0.943100,0.869265
GNB,7,CiFRUS (train/test),0.964454,0.964176,0.871870,0.944112,0.872577
GNB,7,CiFRUS (balanced-train/test),0.964388,0.923241,0.752570,0.908368,0.763932
GNB,8,Baseline,0.966159,0.963115,0.868429,0.943100,0.869265
GNB,8,ROS,0.965015,0.923241,0.752570,0.908368,0.763932
GNB,8,RUS,0.965180,0.919786,0.743469,0.905331,0.755995
GNB,8,SMOTE,0.962760,0.938090,0.792351,0.919820,0.798431
GNB,8,Borderline-SMOTE,0.944805,0.913319,0.714617,0.882899,0.722376
GNB,8,SVM-SMOTE,0.963266,0.919094,0.746639,0.912152,0.763015
GNB,8,ADASYN,0.965873,0.930925,0.775568,0.918863,0.785986
GNB,8,G-SMOTE,0.966896,0.912243,0.728051,0.904374,0.746032
GNB,8,CiFRUS (train),0.966192,0.963115,0.868429,0.943100,0.869265
GNB,8,CiFRUS (train/test),0.966060,0.963115,0.868429,0.943100,0.869265
GNB,8,CiFRUS (balanced-train/test),0.966159,0.923077,0.753345,0.910073,0.765590
GNB,9,Baseline,0.965147,0.963115,0.868429,0.943100,0.869265
GNB,9,ROS,0.963904,0.929936,0.771754,0.916146,0.781709
GNB,9,RUS,0.964069,0.922092,0.749527,0.907356,0.761273
GNB,9,SMOTE,0.960900,0.933893,0.778273,0.912361,0.784245
GNB,9,Borderline-SMOTE,0.953001,0.928270,0.762585,0.907301,0.770133
GNB,9,SVM-SMOTE,0.964179,0.925214,0.760196,0.913803,0.772553
GNB,9,ADASYN,0.964289,0.929638,0.773189,0.919556,0.784862
GNB,9,G-SMOTE,0.967182,0.918103,0.742864,0.909435,0.758661
