classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.672796,0.844244,0.318946,0.651180,0.320843
GNB,0,ROS,0.667547,0.833713,0.293556,0.641921,0.294232
GNB,0,RUS,0.665134,0.819444,0.270149,0.635074,0.270149
GNB,0,SMOTE,0.648148,0.809302,0.239907,0.621088,0.239948
GNB,0,Borderline-SMOTE,0.623794,0.761671,0.188296,0.605275,0.192557
GNB,0,SVM-SMOTE,0.638009,0.850780,0.318290,0.646355,0.323161
GNB,0,ADASYN,0.650039,0.813239,0.290959,0.651669,0.291913
GNB,0,G-SMOTE,0.702400,0.852608,0.364763,0.674622,0.366182
GNB,0,CiFRUS (train),0.666145,0.848758,0.338687,0.660537,0.340701
GNB,0,CiFRUS (train/test),0.699465,0.825175,0.308034,0.656201,0.308152
GNB,0,CiFRUS (balanced-train/test),0.695944,0.807601,0.279543,0.647040,0.280890
GNB,1,Baseline,0.685446,0.860987,0.378745,0.676839,0.382527
GNB,1,ROS,0.656299,0.838269,0.312911,0.651278,0.313631
GNB,1,RUS,0.686881,0.814118,0.284470,0.646942,0.285043
GNB,1,SMOTE,0.642214,0.822171,0.276083,0.637389,0.276096
GNB,1,Borderline-SMOTE,0.647366,0.761671,0.188296,0.605275,0.192557
GNB,1,SVM-SMOTE,0.654734,0.855234,0.338639,0.655712,0.343822
GNB,1,ADASYN,0.664515,0.803783,0.255058,0.632955,0.255895
GNB,1,G-SMOTE,0.689489,0.846847,0.325453,0.653495,0.327783
GNB,1,CiFRUS (train),0.674231,0.846847,0.325453,0.653495,0.327783
GNB,1,CiFRUS (train/test),0.702204,0.829837,0.326486,0.665558,0.326611
GNB,1,CiFRUS (balanced-train/test),0.697574,0.814286,0.309330,0.663439,0.311091
GNB,2,Baseline,0.674394,0.838269,0.312911,0.651278,0.313631
GNB,2,ROS,0.652126,0.833713,0.293556,0.641921,0.294232
GNB,2,RUS,0.662396,0.821596,0.308478,0.658614,0.308938
GNB,2,SMOTE,0.654408,0.807512,0.253884,0.630543,0.254263
