classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.784062,0.696035,0.347518,0.677487,0.365784
GNB,0,ROS,0.780997,0.690265,0.337640,0.672332,0.354271
GNB,0,RUS,0.785456,0.699115,0.356564,0.681991,0.374127
GNB,0,SMOTE,0.779419,0.704846,0.366430,0.687146,0.385690
GNB,0,Borderline-SMOTE,0.782855,0.707424,0.367236,0.687796,0.389108
GNB,0,SVM-SMOTE,0.782391,0.698690,0.348347,0.678137,0.369094
GNB,0,ADASYN,0.783041,0.696035,0.347518,0.677487,0.365784
GNB,0,G-SMOTE,0.792886,0.701754,0.357383,0.682641,0.377395
GNB,0,CiFRUS (train),0.791307,0.692308,0.322169,0.665274,0.347769
GNB,0,CiFRUS (train/test),0.765394,0.678899,0.334248,0.669732,0.343311
GNB,0,CiFRUS (balanced-train/test),0.765023,0.678899,0.334248,0.669732,0.343311
GNB,1,Baseline,0.794557,0.693694,0.354921,0.680691,0.368146
GNB,1,ROS,0.789821,0.678733,0.326031,0.665877,0.337298
GNB,1,RUS,0.799201,0.696035,0.347518,0.677487,0.365784
GNB,1,SMOTE,0.792143,0.699552,0.364813,0.685846,0.379435
GNB,1,Borderline-SMOTE,0.795951,0.707424,0.367236,0.687796,0.389108
GNB,1,SVM-SMOTE,0.793071,0.693333,0.346686,0.676837,0.362660
GNB,1,ADASYN,0.794836,0.693694,0.354921,0.680691,0.368146
GNB,1,G-SMOTE,0.805517,0.705882,0.382986,0.694855,0.396221
GNB,1,CiFRUS (train),0.803102,0.715517,0.377866,0.693601,0.404721
GNB,1,CiFRUS (train/test),0.779976,0.682243,0.351609,0.678090,0.358183
GNB,1,CiFRUS (balanced-train/test),0.777468,0.682028,0.343338,0.674236,0.351871
GNB,2,Baseline,0.797065,0.699552,0.364813,0.685846,0.379435
GNB,2,ROS,0.790378,0.690583,0.345852,0.676186,0.359714
GNB,2,RUS,0.795951,0.702222,0.365623,0.686496,0.382469
GNB,2,SMOTE,0.788985,0.696035,0.347518,0.677487,0.365784
GNB,2,Borderline-SMOTE,0.801709,0.707424,0.367236,0.687796,0.389108
GNB,2,SVM-SMOTE,0.796322,0.710526,0.376284,0.692301,0.397353
GNB,2,ADASYN,0.798830,0.702703,0.373894,0.690350,0.387826
GNB,2,G-SMOTE,0.803474,0.723214,0.412590,0.710319,0.430339
GNB,2,CiFRUS (train),0.809418,0.706383,0.350823,0.680087,0.380252
GNB,2,CiFRUS (train/test),0.778211,0.685446,0.360734,0.682595,0.366812
GNB,2,CiFRUS (balanced-train/test),0.778118,0.672811,0.324305,0.664577,0.332364
GNB,3,Baseline,0.795022,0.699115,0.356564,0.681991,0.374127
GNB,3,ROS,0.789356,0.693333,0.346686,0.676837,0.362660
GNB,3,RUS,0.794186,0.701754,0.357383,0.682641,0.377395
GNB,3,SMOTE,0.789542,0.690265,0.337640,0.672332,0.354271
GNB,3,Borderline-SMOTE,0.799016,0.718615,0.386904,0.698105,0.412862
GNB,3,SVM-SMOTE,0.797065,0.713656,0.385343,0.696805,0.405597
GNB,3,ADASYN,0.795022,0.699115,0.356564,0.681991,0.374127
GNB,3,G-SMOTE,0.807096,0.713043,0.377076,0.692951,0.400929
GNB,3,CiFRUS (train),0.808860,0.717300,0.370437,0.690397,0.404965
GNB,3,CiFRUS (train/test),0.780347,0.684932,0.344178,0.674886,0.354327
GNB,3,CiFRUS (balanced-train/test),0.779047,0.688073,0.353269,0.679391,0.362848
GNB,4,Baseline,0.791585,0.705357,0.374693,0.691000,0.390811
GNB,4,ROS,0.786756,0.684444,0.327749,0.667177,0.342851
GNB,4,RUS,0.793071,0.710526,0.376284,0.692301,0.397353
GNB,4,SMOTE,0.786291,0.716814,0.394414,0.701310,0.413841
GNB,4,Borderline-SMOTE,0.790285,0.710526,0.376284,0.692301,0.397353
GNB,4,SVM-SMOTE,0.788428,0.722467,0.404255,0.706464,0.425503
GNB,4,ADASYN,0.790750,0.705357,0.374693,0.691000,0.390811
GNB,4,G-SMOTE,0.802080,0.725664,0.413338,0.710969,0.433698
GNB,4,CiFRUS (train),0.799851,0.725738,0.389230,0.700056,0.425510
GNB,4,CiFRUS (train/test),0.778397,0.685185,0.352440,0.678741,0.360439
GNB,4,CiFRUS (balanced-train/test),0.774310,0.682028,0.343338,0.674236,0.351871
GNB,5,Baseline,0.799480,0.711111,0.384559,0.696155,0.402278
GNB,5,ROS,0.795393,0.693694,0.354921,0.680691,0.368146
GNB,5,RUS,0.799573,0.716814,0.394414,0.701310,0.413841
GNB,5,SMOTE,0.794000,0.699115,0.356564,0.681991,0.374127
GNB,5,Borderline-SMOTE,0.796322,0.704846,0.366430,0.687146,0.385690
GNB,5,SVM-SMOTE,0.799573,0.704846,0.366430,0.687146,0.385690
GNB,5,ADASYN,0.801152,0.711111,0.384559,0.696155,0.402278
GNB,5,G-SMOTE,0.805238,0.713656,0.385343,0.696805,0.405597
GNB,5,CiFRUS (train),0.808210,0.708861,0.351644,0.680737,0.384421
GNB,5,CiFRUS (train/test),0.785734,0.685185,0.352440,0.678741,0.360439
GNB,5,CiFRUS (balanced-train/test),0.785548,0.675926,0.333394,0.669081,0.340961
GNB,6,Baseline,0.800780,0.711111,0.384559,0.696155,0.402278
GNB,6,ROS,0.800502,0.699552,0.364813,0.685846,0.379435
GNB,6,RUS,0.800223,0.716814,0.394414,0.701310,0.413841
GNB,6,SMOTE,0.795486,0.705357,0.374693,0.691000,0.390811
GNB,6,Borderline-SMOTE,0.803474,0.724891,0.405013,0.707114,0.429135
GNB,6,SVM-SMOTE,0.800409,0.711111,0.384559,0.696155,0.402278
GNB,6,ADASYN,0.802545,0.711111,0.384559,0.696155,0.402278
GNB,6,G-SMOTE,0.806538,0.714286,0.393641,0.700659,0.410575
GNB,6,CiFRUS (train),0.810161,0.735043,0.416312,0.713569,0.449393
GNB,6,CiFRUS (train/test),0.788799,0.675926,0.333394,0.669081,0.340961
GNB,6,CiFRUS (balanced-train/test),0.788706,0.675926,0.333394,0.669081,0.340961
GNB,7,Baseline,0.790750,0.707424,0.367236,0.687796,0.389108
GNB,7,ROS,0.786849,0.687500,0.336795,0.671682,0.351283
GNB,7,RUS,0.795672,0.716157,0.386124,0.697455,0.409121
GNB,7,SMOTE,0.784620,0.704846,0.366430,0.687146,0.385690
GNB,7,Borderline-SMOTE,0.793814,0.709957,0.368039,0.688446,0.392732
GNB,7,SVM-SMOTE,0.791028,0.707424,0.367236,0.687796,0.389108
GNB,7,ADASYN,0.792607,0.707424,0.367236,0.687796,0.389108
GNB,7,G-SMOTE,0.794836,0.716157,0.386124,0.697455,0.409121
GNB,7,CiFRUS (train),0.803195,0.714286,0.361445,0.685892,0.396909
