classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.8837992532807171,0.8187134502923978,0.5317384565539103,0.7582219916483106,0.5520679698392426
GNB,0,ROS,0.8853386176338015,0.8252080856123662,0.5579660248755786,0.7722208520084026,0.5727211584516831
GNB,0,RUS,0.8837822437298544,0.8266033254156769,0.5608276006382256,0.7735263350371233,0.5760834305220447
GNB,0,SMOTE,0.8858999328122741,0.8256227758007116,0.5576730190571715,0.7718976705420093,0.5732726508567644
GNB,0,Borderline-SMOTE,0.8826936324746345,0.8236686390532545,0.5513575786138821,0.7686403415517813,0.5676509775250204
GNB,0,SVM-SMOTE,0.8835356052423436,0.8192488262910798,0.5352234653976362,0.7601738376098179,0.5542167345004178
GNB,0,ADASYN,0.8810777251426676,0.8178613396004699,0.5323608888422489,0.7588683545810972,0.5507799469507022
GNB,0,G-SMOTE,0.8858659137105485,0.8188235294117647,0.535532262717569,0.7604970190762113,0.5535928298847169
GNB,0,CiFRUS (train),0.8979682091494373,0.8078175895765473,0.45326839226079096,0.715281380495148,0.5162880919404959
GNB,0,CiFRUS (train/test),0.8694772114542314,0.7912087912087912,0.4153011801015084,0.6979869196553865,0.46327190078656405
GNB,0,CiFRUS (balanced-train/test),0.8704637654042745,0.7932584269662921,0.4375780772399862,0.7100211768908242,0.472859516313849
GNB,1,Organic,0.8841139299716791,0.8163742690058479,0.5256963721223478,0.7552878441244759,0.5457948834287775
GNB,1,ROS,0.8846157117221319,0.8256227758007116,0.5576730190571715,0.7718976705420093,0.5732726508567644
GNB,1,RUS,0.8837312150772658,0.821301775147929,0.5453355326892362,0.7657061940279466,0.5614509715970711
GNB,1,SMOTE,0.8861210569734905,0.8266033254156769,0.5608276006382256,0.7735263350371233,0.5760834305220447
GNB,1,Borderline-SMOTE,0.8822343746013386,0.8170011806375443,0.5329816686025693,0.7595147175138841,0.5496007959169507
GNB,1,SVM-SMOTE,0.8841904729505617,0.812206572769953,0.5171152887248169,0.7513713950383141,0.5354659599320595
GNB,1,ADASYN,0.880371828781861,0.813599062133646,0.5199737475388317,0.7526768780670346,0.538894564761298
GNB,1,G-SMOTE,0.8880686505472822,0.8164705882352942,0.5295002141814336,0.7575628715523767,0.5473573534221489
GNB,1,CiFRUS (train),0.8987761628154208,0.8047722342733188,0.4438125263091901,0.7107185684761994,0.5065455697665415
GNB,1,CiFRUS (train/test),0.869256087293015,0.7973568281938327,0.4341489503944378,0.7071125436932837,0.48259559019809406
GNB,1,CiFRUS (balanced-train/test),0.8678953232239903,0.8026755852842808,0.45769650897400593,0.7191595580918686,0.4997135123920136
GNB,2,Organic,0.8861380665243532,0.8192488262910798,0.5352234653976362,0.7601738376098179,0.5542167345004178
GNB,2,ROS,0.8869034963131799,0.8295589988081049,0.5702788157516527,0.7784123285224653,0.5845163759095046
GNB,2,RUS,0.8868949915377484,0.8267622461170848,0.5645569840620457,0.7758013624650241,0.5778445875258073
GNB,2,SMOTE,0.8860615235454707,0.8277511961722488,0.5677030307776647,0.7774300269601381,0.5806691595796364
GNB,2,Borderline-SMOTE,0.8833399954074213,0.8218527315914489,0.5487954801077659,0.767658039989454,0.563724008011894
GNB,2,SVM-SMOTE,0.881987736113828,0.8175355450236966,0.5364561975972151,0.7614665634753914,0.5518823760247735
GNB,2,ADASYN,0.8839098153613253,0.817432273262662,0.532671484876821,0.7591915360474907,0.5501769841135002
GNB,2,G-SMOTE,0.8849048740867997,0.8226950354609928,0.5481967155865586,0.7670116770566673,0.5648399433451752
GNB,2,CiFRUS (train),0.9028074263699067,0.8021739130434784,0.4380151974867761,0.7081076024187581,0.49791322071697375
GNB,2,CiFRUS (train/test),0.8725304258341058,0.7889502762430939,0.4132182833328881,0.6973277995594527,0.45697974504643507
GNB,2,CiFRUS (balanced-train/test),0.869400668475349,0.7995495495495495,0.4562840320509982,0.7191468009287214,0.49170220108737556
GNB,3,Organic,0.8855342274687237,0.82063305978898,0.5380879457449136,0.7614793206385386,0.5576679028470585
GNB,3,ROS,0.8867419055799832,0.8299643281807372,0.5699941602531138,0.778089147056072,0.5850673718774412
GNB,3,RUS,0.8866228387239434,0.8319427890345649,0.5762889022446367,0.7813464760463,0.5906765100031257
GNB,3,SMOTE,0.8853981510618212,0.8266033254156769,0.5608276006382256,0.7735263350371233,0.5760834305220447
GNB,3,Borderline-SMOTE,0.88635919068557,0.8279952550415184,0.563691073219659,0.774831818065844,0.5794590463696072
GNB,3,SVM-SMOTE,0.886257133380393,0.8264462809917356,0.5570858405456626,0.7712513076092226,0.5744565702620182
GNB,3,ADASYN,0.8829998043901651,0.8207547169811321,0.5418686934870922,0.7637543480664393,0.5592171253946794
GNB,3,G-SMOTE,0.8857638564053717,0.8221436984687869,0.5447315755896773,0.76505983109516,0.562633412747124
GNB,3,CiFRUS (train),0.8983764383701447,0.803921568627451,0.4445686686641921,0.7113649314089862,0.5033716627179785
GNB,3,CiFRUS (train/test),0.8733894081526777,0.7969094922737306,0.43453202804179547,0.7074357251596772,0.4813633758906358
GNB,3,CiFRUS (balanced-train/test),0.8753029826247437,0.8026755852842808,0.45769650897400593,0.7191595580918686,0.4997135123920136
GNB,4,Organic,0.8885279084205783,0.8202115158636899,0.5383949418894456,0.761802502104932,0.5570227711079396
GNB,4,ROS,0.8882642603822046,0.8275862068965517,0.5639800925643462,0.7751549995322373,0.5788942651645622
GNB,4,RUS,0.8875243449196724,0.8325358851674641,0.5797112799227295,0.7832983220078074,0.5929516727265822
GNB,4,SMOTE,0.8888766042132656,0.830952380952381,0.5731425733429759,0.779717811551186,0.5878718052263486
GNB,4,Borderline-SMOTE,0.8859679710157252,0.8193624557260921,0.5390077115883427,0.7624488650377187,0.5558147395032176
GNB,4,SVM-SMOTE,0.8876264022248492,0.8197879858657242,0.5387015302332492,0.7621256835713253,0.5564051984303121
GNB,4,ADASYN,0.8851940364514674,0.8188235294117647,0.535532262717569,0.7604970190762113,0.5535928298847169
