classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.700321,0.739521,0.256807,0.623333,0.261466
GNB,0,ROS,0.706026,0.746627,0.278837,0.634038,0.283653
GNB,0,RUS,0.648125,0.735931,0.199672,0.593654,0.209435
GNB,0,SMOTE,0.711178,0.733858,0.299754,0.648397,0.300066
GNB,0,Borderline-SMOTE,0.698910,0.681661,0.275055,0.643205,0.279687
GNB,0,SVM-SMOTE,0.711370,0.748844,0.315934,0.654423,0.317688
GNB,0,ADASYN,0.702460,0.676007,0.275486,0.644295,0.281620
GNB,0,G-SMOTE,0.598822,0.769433,0.183078,0.580449,0.235793
GNB,0,CiFRUS (train),0.730128,0.743802,0.374764,0.690577,0.375869
GNB,0,CiFRUS (train/test),0.718654,0.729299,0.300051,0.649487,0.300092
GNB,0,CiFRUS (balanced-train/test),0.729006,0.709677,0.319826,0.664936,0.322971
GNB,1,Baseline,0.696987,0.721109,0.240393,0.617500,0.241728
GNB,1,ROS,0.701114,0.743119,0.291700,0.641923,0.294061
GNB,1,RUS,0.671290,0.728636,0.227630,0.609423,0.231562
GNB,1,SMOTE,0.691250,0.702614,0.261289,0.632051,0.261599
GNB,1,Borderline-SMOTE,0.688005,0.658537,0.230429,0.620385,0.235003
GNB,1,SVM-SMOTE,0.692332,0.711538,0.261538,0.630769,0.261538
GNB,1,ADASYN,0.693670,0.670139,0.252704,0.631795,0.257332
GNB,1,G-SMOTE,0.601122,0.771466,0.194060,0.585449,0.247235
GNB,1,CiFRUS (train),0.723550,0.726094,0.310995,0.656474,0.311122
GNB,1,CiFRUS (train/test),0.692011,0.700997,0.275836,0.640641,0.276923
GNB,1,CiFRUS (balanced-train/test),0.696170,0.681898,0.292364,0.653397,0.299367
GNB,2,Baseline,0.711018,0.745814,0.293962,0.642628,0.296866
GNB,2,ROS,0.718838,0.750000,0.307286,0.649231,0.310132
GNB,2,RUS,0.635208,0.754768,0.180654,0.581410,0.208701
GNB,2,SMOTE,0.706923,0.716129,0.280531,0.640769,0.280569
GNB,2,Borderline-SMOTE,0.711683,0.692967,0.291703,0.651218,0.295619
GNB,2,SVM-SMOTE,0.713526,0.729002,0.294027,0.646090,0.294149
GNB,2,ADASYN,0.709503,0.683938,0.278373,0.644808,0.282862
GNB,2,G-SMOTE,0.606947,0.760526,0.149533,0.565641,0.193673
GNB,2,CiFRUS (train),0.740176,0.735294,0.342466,0.673077,0.342873
GNB,2,CiFRUS (train/test),0.714030,0.707641,0.291929,0.648846,0.293079
GNB,2,CiFRUS (balanced-train/test),0.708686,0.687392,0.286260,0.648910,0.290876
GNB,3,Baseline,0.715457,0.746313,0.258421,0.622949,0.265723
GNB,3,ROS,0.713245,0.745156,0.267568,0.628141,0.273160
GNB,3,RUS,0.644014,0.735795,0.177901,0.582564,0.190187
GNB,3,SMOTE,0.717676,0.743307,0.324615,0.660705,0.324952
GNB,3,Borderline-SMOTE,0.716162,0.712375,0.310449,0.658846,0.312149
GNB,3,SVM-SMOTE,0.713125,0.741784,0.313840,0.654808,0.314453
GNB,3,ADASYN,0.711298,0.718802,0.320688,0.663654,0.322068
GNB,3,G-SMOTE,0.601779,0.768421,0.177570,0.577949,0.229986
GNB,3,CiFRUS (train),0.732067,0.750000,0.385238,0.695385,0.386047
GNB,3,CiFRUS (train/test),0.726811,0.759375,0.359001,0.676923,0.359800
GNB,3,CiFRUS (balanced-train/test),0.723133,0.716667,0.317269,0.662051,0.318753
GNB,4,Baseline,0.692821,0.722054,0.218476,0.605513,0.221379
GNB,4,ROS,0.685761,0.717325,0.212907,0.603205,0.215145
GNB,4,RUS,0.633510,0.759837,0.191896,0.586218,0.224009
GNB,4,SMOTE,0.692139,0.715625,0.242456,0.619487,0.242995
GNB,4,Borderline-SMOTE,0.691699,0.706271,0.281353,0.642949,0.282098
GNB,4,SVM-SMOTE,0.693518,0.712500,0.234131,0.615385,0.234652
GNB,4,ADASYN,0.694591,0.702970,0.273278,0.638846,0.274002
GNB,4,G-SMOTE,0.609111,0.767810,0.179248,0.578846,0.229596
GNB,4,CiFRUS (train),0.704343,0.706076,0.275395,0.639551,0.275904
GNB,4,CiFRUS (train/test),0.682171,0.693548,0.223301,0.612051,0.223331
GNB,4,CiFRUS (balanced-train/test),0.686979,0.694943,0.240320,0.621346,0.240560
GNB,5,Baseline,0.713029,0.749621,0.301125,0.645833,0.304490
GNB,5,ROS,0.706186,0.733129,0.267754,0.630513,0.269632
GNB,5,RUS,0.648590,0.768802,0.256231,0.617308,0.282509
GNB,5,SMOTE,0.707540,0.721154,0.286154,0.643077,0.286154
GNB,5,Borderline-SMOTE,0.701987,0.689189,0.266201,0.636923,0.268396
GNB,5,SVM-SMOTE,0.707123,0.715421,0.262331,0.630577,0.262387
GNB,5,ADASYN,0.708782,0.685026,0.277126,0.643910,0.281213
GNB,5,G-SMOTE,0.605537,0.767411,0.172051,0.575449,0.224120
GNB,5,CiFRUS (train),0.731130,0.724590,0.319321,0.661667,0.319836
GNB,5,CiFRUS (train/test),0.714327,0.704508,0.289781,0.648141,0.291250
GNB,5,CiFRUS (balanced-train/test),0.713814,0.685315,0.294463,0.654103,0.300777
GNB,6,Baseline,0.704375,0.733945,0.266403,0.629615,0.268560
GNB,6,ROS,0.710689,0.740516,0.275711,0.633526,0.278792
GNB,6,RUS,0.638886,0.761236,0.242762,0.611795,0.263879
GNB,6,SMOTE,0.705264,0.715891,0.274497,0.637372,0.274500
GNB,6,Borderline-SMOTE,0.707460,0.690476,0.276701,0.642821,0.279578
GNB,6,SVM-SMOTE,0.707861,0.723810,0.282289,0.640385,0.282376
GNB,6,ADASYN,0.708285,0.701518,0.293501,0.650833,0.295774
GNB,6,G-SMOTE,0.590224,0.767810,0.179248,0.578846,0.229596
GNB,6,CiFRUS (train),0.734087,0.735099,0.355164,0.680769,0.356323
