classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.936966,0.938650,0.742572,0.871286,0.742572
GNB,0,ROS,0.940695,0.938650,0.742572,0.871286,0.742572
GNB,0,RUS,0.945146,0.934985,0.735055,0.874955,0.735582
GNB,0,SMOTE,0.942500,0.944444,0.771395,0.890894,0.771644
GNB,0,Borderline-SMOTE,0.920245,0.944444,0.771395,0.890894,0.771644
GNB,0,SVM-SMOTE,0.919403,0.938272,0.745994,0.878022,0.746235
GNB,0,ADASYN,0.936605,0.944099,0.774394,0.897630,0.775369
GNB,0,G-SMOTE,0.943221,0.938272,0.745994,0.878022,0.746235
GNB,0,CiFRUS (train),0.938410,0.941896,0.753785,0.874353,0.753848
GNB,0,CiFRUS (train/test),0.950680,0.934985,0.735055,0.874955,0.735582
GNB,0,CiFRUS (balanced-train/test),0.952604,0.937888,0.749326,0.884759,0.750270
GNB,1,Baseline,0.935282,0.938650,0.742572,0.871286,0.742572
GNB,1,ROS,0.924817,0.941538,0.757080,0.881090,0.757142
GNB,1,RUS,0.925057,0.932099,0.720593,0.865151,0.720826
GNB,1,SMOTE,0.939853,0.944785,0.768315,0.884157,0.768315
GNB,1,Borderline-SMOTE,0.915915,0.940810,0.763412,0.894563,0.764896
GNB,1,SVM-SMOTE,0.917719,0.925466,0.699192,0.859016,0.700072
GNB,1,ADASYN,0.931673,0.937888,0.749326,0.884759,0.750270
GNB,1,G-SMOTE,0.931192,0.938272,0.745994,0.878022,0.746235
GNB,1,CiFRUS (train),0.942500,0.941896,0.753785,0.874353,0.753848
GNB,1,CiFRUS (train/test),0.958378,0.931677,0.724259,0.871887,0.725171
GNB,1,CiFRUS (balanced-train/test),0.953446,0.934579,0.738508,0.881691,0.739944
GNB,2,Baseline,0.940214,0.935780,0.727867,0.861482,0.727928
GNB,2,ROS,0.942861,0.938650,0.742572,0.871286,0.742572
GNB,2,RUS,0.947191,0.937107,0.755736,0.898232,0.759369
GNB,2,SMOTE,0.944785,0.944785,0.768315,0.884157,0.768315
GNB,2,Borderline-SMOTE,0.924456,0.938272,0.745994,0.878022,0.746235
GNB,2,SVM-SMOTE,0.925177,0.935385,0.731509,0.868218,0.731569
GNB,2,ADASYN,0.940695,0.947040,0.788316,0.907434,0.789848
GNB,2,G-SMOTE,0.937688,0.941538,0.757080,0.881090,0.757142
GNB,2,CiFRUS (train),0.943582,0.941896,0.753785,0.874353,0.753848
GNB,2,CiFRUS (train/test),0.959100,0.935385,0.731509,0.868218,0.731569
GNB,2,CiFRUS (balanced-train/test),0.959702,0.941176,0.760288,0.887826,0.760833
GNB,3,Baseline,0.941537,0.935780,0.727867,0.861482,0.727928
GNB,3,ROS,0.946469,0.938650,0.742572,0.871286,0.742572
GNB,3,RUS,0.942199,0.922601,0.684589,0.849212,0.685080
GNB,3,SMOTE,0.945146,0.944444,0.771395,0.890894,0.771644
GNB,3,Borderline-SMOTE,0.930109,0.944099,0.774394,0.897630,0.775369
GNB,3,SVM-SMOTE,0.928185,0.944444,0.771395,0.890894,0.771644
GNB,3,ADASYN,0.939974,0.943750,0.777315,0.904367,0.779466
GNB,3,G-SMOTE,0.945988,0.938650,0.742572,0.871286,0.742572
GNB,3,CiFRUS (train),0.942861,0.939024,0.739056,0.864550,0.739308
GNB,3,CiFRUS (train/test),0.955371,0.934985,0.735055,0.874955,0.735582
GNB,3,CiFRUS (balanced-train/test),0.952123,0.931677,0.724259,0.871887,0.725171
GNB,4,Baseline,0.939613,0.938650,0.742572,0.871286,0.742572
GNB,4,ROS,0.930350,0.938650,0.742572,0.871286,0.742572
GNB,4,RUS,0.928064,0.932099,0.720593,0.865151,0.720826
GNB,4,SMOTE,0.945928,0.947692,0.782650,0.893961,0.782714
