classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.641207,0.280374,0.174132,0.568148,0.215651
GNB,0,ROS,0.645377,0.414815,0.257601,0.615062,0.266316
GNB,0,RUS,0.657064,0.466165,0.326827,0.644691,0.339929
GNB,0,SMOTE,0.635501,0.436090,0.288901,0.627901,0.300483
GNB,0,Borderline-SMOTE,0.653772,0.434783,0.276596,0.625185,0.283713
GNB,0,SVM-SMOTE,0.639726,0.424242,0.276190,0.621728,0.288204
GNB,0,ADASYN,0.631605,0.457143,0.301244,0.637531,0.307602
GNB,0,G-SMOTE,0.640878,0.409091,0.257143,0.613333,0.268328
GNB,0,CiFRUS (train),0.629410,0.266667,0.165711,0.564198,0.210694
GNB,0,CiFRUS (train/test),0.632428,0.245283,0.137603,0.553580,0.172602
GNB,0,CiFRUS (balanced-train/test),0.633416,0.425197,0.288825,0.624444,0.307237
GNB,1,Baseline,0.616571,0.311927,0.203623,0.580494,0.246334
GNB,1,ROS,0.626008,0.414286,0.246079,0.612346,0.251273
GNB,1,RUS,0.621893,0.434109,0.295287,0.628395,0.311517
GNB,1,SMOTE,0.639122,0.423358,0.264110,0.619012,0.271576
GNB,1,Borderline-SMOTE,0.634842,0.442857,0.282856,0.629136,0.288826
GNB,1,SVM-SMOTE,0.638519,0.418605,0.275980,0.620000,0.291148
GNB,1,ADASYN,0.620466,0.423358,0.264110,0.619012,0.271576
GNB,1,G-SMOTE,0.627380,0.429630,0.276396,0.623457,0.285747
GNB,1,CiFRUS (train),0.614102,0.233010,0.135222,0.551852,0.177116
GNB,1,CiFRUS (train/test),0.610480,0.264151,0.159163,0.561975,0.199645
GNB,1,CiFRUS (balanced-train/test),0.604225,0.416000,0.282244,0.620494,0.303006
GNB,2,Baseline,0.626337,0.306306,0.190476,0.576049,0.225655
GNB,2,ROS,0.625185,0.423358,0.264110,0.619012,0.271576
GNB,2,RUS,0.615857,0.455882,0.307650,0.638025,0.317177
GNB,2,SMOTE,0.619698,0.429630,0.276396,0.623457,0.285747
GNB,2,Borderline-SMOTE,0.606914,0.423358,0.264110,0.619012,0.271576
GNB,2,SVM-SMOTE,0.624582,0.417910,0.263742,0.617284,0.273467
GNB,2,ADASYN,0.623265,0.429630,0.276396,0.623457,0.285747
GNB,2,G-SMOTE,0.608011,0.429630,0.276396,0.623457,0.285747
GNB,2,CiFRUS (train),0.618436,0.252427,0.157115,0.560247,0.205792
GNB,2,CiFRUS (train/test),0.617284,0.261682,0.152681,0.559753,0.189086
GNB,2,CiFRUS (balanced-train/test),0.609877,0.412698,0.275763,0.618272,0.294658
GNB,3,Baseline,0.622058,0.293578,0.182386,0.572099,0.220643
GNB,3,ROS,0.631440,0.420290,0.258047,0.616790,0.264687
GNB,3,RUS,0.663210,0.449275,0.295145,0.633580,0.302739
GNB,3,SMOTE,0.637202,0.420290,0.258047,0.616790,0.264687
GNB,3,Borderline-SMOTE,0.625789,0.430556,0.258905,0.620247,0.262400
GNB,3,SVM-SMOTE,0.650919,0.409091,0.257143,0.613333,0.268328
GNB,3,ADASYN,0.621838,0.449275,0.295145,0.633580,0.302739
GNB,3,G-SMOTE,0.630508,0.429630,0.276396,0.623457,0.285747
GNB,3,CiFRUS (train),0.610261,0.235294,0.141748,0.554074,0.188721
GNB,3,CiFRUS (train/test),0.607243,0.245283,0.137603,0.553580,0.172602
GNB,3,CiFRUS (balanced-train/test),0.603786,0.412698,0.275763,0.618272,0.294658
GNB,4,Baseline,0.651962,0.290909,0.175886,0.569877,0.210502
GNB,4,ROS,0.642085,0.437956,0.282740,0.627407,0.290733
GNB,4,RUS,0.632647,0.436090,0.288901,0.627901,0.300483
GNB,4,SMOTE,0.653882,0.441176,0.288938,0.629630,0.297886
GNB,4,Borderline-SMOTE,0.633306,0.452555,0.301370,0.635802,0.309890
GNB,4,SVM-SMOTE,0.654102,0.424242,0.276190,0.621728,0.288204
