classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.855982,0.741784,0.595122,0.798173,0.595139
GNB,0,ROS,0.857086,0.728972,0.573913,0.788137,0.573975
GNB,0,RUS,0.847852,0.738739,0.580785,0.796367,0.582308
GNB,0,SMOTE,0.855680,0.742857,0.600020,0.798776,0.600086
GNB,0,Borderline-SMOTE,0.858139,0.739726,0.585506,0.796969,0.586266
GNB,0,SVM-SMOTE,0.856634,0.746544,0.598421,0.802288,0.598820
GNB,0,ADASYN,0.856534,0.740741,0.590285,0.797571,0.590538
GNB,0,G-SMOTE,0.854878,0.750000,0.604917,0.804948,0.605177
GNB,0,CiFRUS (train),0.845720,0.745455,0.593602,0.801686,0.594605
GNB,0,CiFRUS (train/test),0.846347,0.706468,0.554706,0.771076,0.556627
GNB,0,CiFRUS (balanced-train/test),0.842684,0.723810,0.570392,0.784022,0.570455
GNB,1,Baseline,0.856182,0.741784,0.595122,0.798173,0.595139
GNB,1,ROS,0.855279,0.735849,0.586913,0.793456,0.586913
GNB,1,RUS,0.852870,0.733945,0.577377,0.792252,0.577929
GNB,1,SMOTE,0.855480,0.735849,0.586913,0.793456,0.586913
GNB,1,Borderline-SMOTE,0.848053,0.737327,0.583818,0.794912,0.584207
GNB,1,SVM-SMOTE,0.854075,0.746544,0.598421,0.802288,0.598820
GNB,1,ADASYN,0.852017,0.739726,0.585506,0.796969,0.586266
GNB,1,G-SMOTE,0.851867,0.744186,0.596778,0.800231,0.596923
GNB,1,CiFRUS (train),0.843687,0.745455,0.593602,0.801686,0.594605
GNB,1,CiFRUS (train/test),0.850813,0.705314,0.545353,0.769872,0.545732
GNB,1,CiFRUS (balanced-train/test),0.848756,0.712963,0.546387,0.775442,0.546621
GNB,2,Baseline,0.848856,0.728972,0.573913,0.788137,0.573975
GNB,2,ROS,0.843737,0.723005,0.565677,0.783420,0.565692
GNB,2,RUS,0.850562,0.730594,0.570962,0.789593,0.571703
GNB,2,SMOTE,0.845594,0.719626,0.559220,0.780761,0.559281
GNB,2,Borderline-SMOTE,0.843286,0.722222,0.561019,0.782818,0.561260
GNB,2,SVM-SMOTE,0.839372,0.723005,0.565677,0.783420,0.565692
GNB,2,ADASYN,0.846297,0.733945,0.577377,0.792252,0.577929
GNB,2,G-SMOTE,0.844490,0.746544,0.598421,0.802288,0.598820
GNB,2,CiFRUS (train),0.840752,0.745455,0.593602,0.801686,0.594605
GNB,2,CiFRUS (train/test),0.847049,0.727273,0.576925,0.786682,0.577068
GNB,2,CiFRUS (balanced-train/test),0.845594,0.719626,0.559220,0.780761,0.559281
GNB,3,Baseline,0.853623,0.741784,0.595122,0.798173,0.595139
GNB,3,ROS,0.860648,0.738318,0.588606,0.795514,0.588669
GNB,3,RUS,0.859043,0.748858,0.600049,0.804346,0.600828
GNB,3,SMOTE,0.850411,0.732394,0.580400,0.790797,0.580415
GNB,3,Borderline-SMOTE,0.848153,0.730594,0.570962,0.789593,0.571703
