classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.843496,0.641711,0.215694,0.681402,0.298257
GNB,0,ROS,0.848577,0.618785,0.224269,0.696392,0.328535
GNB,0,RUS,0.840574,0.738916,0.302927,0.726753,0.367312
GNB,0,SMOTE,0.836890,0.736318,0.313529,0.738313,0.385845
GNB,0,Borderline-SMOTE,0.838542,0.742574,0.321320,0.742378,0.392492
GNB,0,SVM-SMOTE,0.820376,0.754902,0.337267,0.750508,0.405995
GNB,0,ADASYN,0.837398,0.630435,0.220068,0.688897,0.313007
GNB,0,G-SMOTE,0.858994,0.892704,0.572060,0.829014,0.586772
GNB,0,CiFRUS (train),0.879573,0.691099,0.289819,0.737043,0.386696
GNB,0,CiFRUS (train/test),0.886179,0.430380,0.121537,0.622586,0.237342
GNB,0,CiFRUS (balanced-train/test),0.884400,0.400000,0.107596,0.610391,0.220783
GNB,1,Baseline,0.838161,0.648936,0.222053,0.685467,0.304262
GNB,1,ROS,0.841209,0.645161,0.232673,0.697027,0.324728
GNB,1,RUS,0.845783,0.680628,0.265745,0.717353,0.354575
GNB,1,SMOTE,0.825457,0.720000,0.280146,0.714558,0.347384
GNB,1,Borderline-SMOTE,0.857088,0.730000,0.305855,0.734248,0.379263
GNB,1,SVM-SMOTE,0.833079,0.760976,0.345428,0.754573,0.412859
GNB,1,ADASYN,0.831809,0.630435,0.220068,0.688897,0.313007
GNB,1,G-SMOTE,0.855691,0.876596,0.493407,0.778074,0.502777
GNB,1,CiFRUS (train),0.869665,0.670213,0.269202,0.724848,0.368865
GNB,1,CiFRUS (train/test),0.890244,0.433121,0.136247,0.638211,0.270377
GNB,1,CiFRUS (balanced-train/test),0.887703,0.370861,0.108494,0.613821,0.239497
GNB,2,Baseline,0.842734,0.663158,0.235040,0.693598,0.316358
GNB,2,ROS,0.852134,0.595506,0.206259,0.684197,0.311644
GNB,2,RUS,0.862678,0.701031,0.286734,0.729548,0.372960
GNB,2,SMOTE,0.839177,0.754902,0.337267,0.750508,0.405995
GNB,2,Borderline-SMOTE,0.845528,0.717172,0.290850,0.726118,0.366283
GNB,2,SVM-SMOTE,0.839431,0.730000,0.305855,0.734248,0.379263
GNB,2,ADASYN,0.816819,0.616216,0.180139,0.653582,0.253782
GNB,2,G-SMOTE,0.867124,0.902128,0.598219,0.837144,0.609579
GNB,2,CiFRUS (train),0.876016,0.691099,0.289819,0.737043,0.386696
GNB,2,CiFRUS (train/test),0.890244,0.459627,0.135965,0.634782,0.253631
GNB,2,CiFRUS (balanced-train/test),0.885163,0.392157,0.117539,0.621951,0.249878
GNB,3,Baseline,0.845020,0.641711,0.215694,0.681402,0.298257
GNB,3,ROS,0.849466,0.614525,0.234376,0.707952,0.350437
GNB,3,RUS,0.836890,0.732673,0.295217,0.722688,0.360607
GNB,3,SMOTE,0.835366,0.723618,0.298296,0.730183,0.372744
GNB,3,Borderline-SMOTE,0.854167,0.717172,0.290850,0.726118,0.366283
GNB,3,SVM-SMOTE,0.830539,0.760976,0.345428,0.754573,0.412859
GNB,3,ADASYN,0.839939,0.622951,0.213892,0.684832,0.307184
GNB,3,G-SMOTE,0.863567,0.897436,0.585007,0.833079,0.598022
GNB,3,CiFRUS (train),0.884654,0.670213,0.269202,0.724848,0.368865
GNB,3,CiFRUS (train/test),0.892785,0.400000,0.107596,0.610391,0.220783
GNB,3,CiFRUS (balanced-train/test),0.887195,0.357616,0.089726,0.594131,0.198066
GNB,4,Baseline,0.836636,0.648936,0.222053,0.685467,0.304262
GNB,4,ROS,0.845783,0.611111,0.218187,0.692327,0.322885
GNB,4,RUS,0.853659,0.780952,0.360423,0.755208,0.416331
GNB,4,SMOTE,0.828506,0.754902,0.337267,0.750508,0.405995
GNB,4,Borderline-SMOTE,0.824695,0.707071,0.265523,0.706428,0.334388
