classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.500188,0.165266,0.016502,0.508251,0.028960
GNB,0,ROS,0.500594,0.165266,0.016502,0.508251,0.028960
GNB,0,RUS,0.500414,0.165266,0.016502,0.508251,0.028960
GNB,0,SMOTE,0.500583,0.165266,0.016502,0.508251,0.028960
GNB,0,Borderline-SMOTE,0.500749,0.165266,0.016502,0.508251,0.028960
GNB,0,SVM-SMOTE,0.500749,0.165266,0.016502,0.508251,0.028960
GNB,0,ADASYN,0.500188,0.165266,0.016502,0.508251,0.028960
GNB,0,G-SMOTE,0.500583,0.165266,0.016502,0.508251,0.028960
GNB,0,CiFRUS (train),0.499104,0.160338,0.014851,0.507426,0.026398
GNB,0,CiFRUS (train/test),0.499867,0.160338,0.014851,0.507426,0.026398
GNB,0,CiFRUS (balanced-train/test),0.499695,0.160338,0.014851,0.507426,0.026398
GNB,1,Baseline,0.490698,0.165266,0.016502,0.508251,0.028960
GNB,1,ROS,0.490803,0.165266,0.016502,0.508251,0.028960
GNB,1,RUS,0.491650,0.165266,0.016502,0.508251,0.028960
GNB,1,SMOTE,0.490701,0.165266,0.016502,0.508251,0.028960
GNB,1,Borderline-SMOTE,0.490701,0.165266,0.016502,0.508251,0.028960
GNB,1,SVM-SMOTE,0.490701,0.165266,0.016502,0.508251,0.028960
GNB,1,ADASYN,0.490698,0.165266,0.016502,0.508251,0.028960
GNB,1,G-SMOTE,0.490701,0.165266,0.016502,0.508251,0.028960
GNB,1,CiFRUS (train),0.490537,0.157746,0.013201,0.506601,0.023567
GNB,1,CiFRUS (train/test),0.491692,0.155148,0.011551,0.505776,0.020712
GNB,1,CiFRUS (balanced-train/test),0.491420,0.155148,0.011551,0.505776,0.020712
GNB,2,Baseline,0.501261,0.165498,0.018152,0.509076,0.031990
GNB,2,ROS,0.501340,0.165498,0.018152,0.509076,0.031990
GNB,2,RUS,0.502511,0.165498,0.018152,0.509076,0.031990
GNB,2,SMOTE,0.501351,0.165498,0.018152,0.509076,0.031990
GNB,2,Borderline-SMOTE,0.501351,0.165498,0.018152,0.509076,0.031990
GNB,2,SVM-SMOTE,0.501351,0.165498,0.018152,0.509076,0.031990
GNB,2,ADASYN,0.501261,0.165498,0.018152,0.509076,0.031990
GNB,2,G-SMOTE,0.501351,0.165498,0.018152,0.509076,0.031990
GNB,2,CiFRUS (train),0.501097,0.162921,0.016502,0.508251,0.029206
GNB,2,CiFRUS (train/test),0.502157,0.162921,0.016502,0.508251,0.029206
GNB,2,CiFRUS (balanced-train/test),0.501423,0.165498,0.018152,0.509076,0.031990
GNB,3,Baseline,0.496459,0.165266,0.016502,0.508251,0.028960
GNB,3,ROS,0.495830,0.165266,0.016502,0.508251,0.028960
GNB,3,RUS,0.495933,0.165266,0.016502,0.508251,0.028960
GNB,3,SMOTE,0.495830,0.165266,0.016502,0.508251,0.028960
GNB,3,Borderline-SMOTE,0.495830,0.165266,0.016502,0.508251,0.028960
GNB,3,SVM-SMOTE,0.495830,0.165266,0.016502,0.508251,0.028960
GNB,3,ADASYN,0.496459,0.165266,0.016502,0.508251,0.028960
GNB,3,G-SMOTE,0.495830,0.165266,0.016502,0.508251,0.028960
GNB,3,CiFRUS (train),0.493702,0.160338,0.014851,0.507426,0.026398
GNB,3,CiFRUS (train/test),0.492727,0.160338,0.014851,0.507426,0.026398
GNB,3,CiFRUS (balanced-train/test),0.492926,0.160338,0.014851,0.507426,0.026398
GNB,4,Baseline,0.492614,0.165266,0.016502,0.508251,0.028960
GNB,4,ROS,0.492829,0.165266,0.016502,0.508251,0.028960
GNB,4,RUS,0.492951,0.165266,0.016502,0.508251,0.028960
GNB,4,SMOTE,0.492813,0.165266,0.016502,0.508251,0.028960
GNB,4,Borderline-SMOTE,0.492813,0.165266,0.016502,0.508251,0.028960
GNB,4,SVM-SMOTE,0.492813,0.165266,0.016502,0.508251,0.028960
GNB,4,ADASYN,0.492614,0.165266,0.016502,0.508251,0.028960
