classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.731906,0.552083,0.244917,0.675567,0.346930
GNB,0,ROS,0.728437,0.550775,0.240882,0.673753,0.346278
GNB,0,RUS,0.726969,0.550775,0.240882,0.673753,0.346278
GNB,0,SMOTE,0.731647,0.561279,0.265170,0.686996,0.362242
GNB,0,Borderline-SMOTE,0.730913,0.553415,0.249004,0.677381,0.347716
GNB,0,SVM-SMOTE,0.731345,0.561717,0.267396,0.687608,0.361432
GNB,0,ADASYN,0.729099,0.554007,0.248893,0.677971,0.350534
GNB,0,G-SMOTE,0.731662,0.539629,0.217642,0.659330,0.324772
GNB,0,CiFRUS (train),0.734123,0.539629,0.217642,0.659330,0.324772
GNB,0,CiFRUS (train/test),0.731806,0.548885,0.236960,0.671350,0.342699
GNB,0,CiFRUS (balanced-train/test),0.730712,0.547009,0.233058,0.668946,0.339119
GNB,1,Baseline,0.728077,0.550173,0.240961,0.673163,0.343325
GNB,1,ROS,0.734584,0.550173,0.240961,0.673163,0.343325
GNB,1,RUS,0.723702,0.550173,0.240961,0.673163,0.343325
GNB,1,SMOTE,0.731561,0.554386,0.251007,0.678583,0.349531
GNB,1,Borderline-SMOTE,0.724349,0.553415,0.249004,0.677381,0.347716
GNB,1,SVM-SMOTE,0.727977,0.562278,0.267214,0.688198,0.364060
GNB,1,ADASYN,0.732727,0.551127,0.242937,0.674365,0.345128
GNB,1,G-SMOTE,0.731921,0.538462,0.213856,0.657517,0.324415
GNB,1,CiFRUS (train),0.728812,0.535117,0.208159,0.653321,0.315773
GNB,1,CiFRUS (train/test),0.726163,0.547945,0.235007,0.670148,0.340909
GNB,1,CiFRUS (balanced-train/test),0.726523,0.546075,0.231115,0.667744,0.337328
GNB,2,Baseline,0.731863,0.552677,0.244822,0.676157,0.349856
GNB,2,ROS,0.730093,0.550775,0.240882,0.673753,0.346278
GNB,2,RUS,0.728984,0.549828,0.238919,0.672552,0.344489
GNB,2,SMOTE,0.733792,0.556738,0.257189,0.681598,0.352286
GNB,2,Borderline-SMOTE,0.731863,0.563380,0.266853,0.689378,0.369537
