classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.933757,0.918239,0.746627,0.855714,0.758385
GNB,0,ROS,0.934074,0.924051,0.767396,0.867619,0.776792
GNB,0,RUS,0.934286,0.927350,0.782694,0.879048,0.787926
GNB,0,SMOTE,0.938095,0.937901,0.814984,0.895397,0.819820
GNB,0,Borderline-SMOTE,0.940141,0.926004,0.774268,0.871587,0.782930
GNB,0,SVM-SMOTE,0.937919,0.931915,0.794737,0.883492,0.801359
GNB,0,ADASYN,0.940882,0.927966,0.781116,0.875556,0.789070
GNB,0,G-SMOTE,0.929171,0.914046,0.733633,0.849524,0.745187
GNB,0,CiFRUS (train),0.931852,0.869159,0.666157,0.845873,0.671961
GNB,0,CiFRUS (train/test),0.926772,0.830097,0.593629,0.816508,0.608623
GNB,0,CiFRUS (balanced-train/test),0.926702,0.817734,0.574587,0.809365,0.593901
GNB,1,Baseline,0.936473,0.918580,0.745695,0.853968,0.759396
GNB,1,ROS,0.936473,0.922105,0.760498,0.863651,0.770656
GNB,1,RUS,0.935520,0.911392,0.728628,0.849048,0.737550
GNB,1,SMOTE,0.940882,0.933902,0.801510,0.887460,0.807508
GNB,1,Borderline-SMOTE,0.946102,0.926004,0.774268,0.871587,0.782930
GNB,1,SVM-SMOTE,0.940317,0.923729,0.768240,0.869365,0.776063
GNB,1,ADASYN,0.944621,0.927660,0.781908,0.877302,0.788423
GNB,1,G-SMOTE,0.930194,0.912500,0.725628,0.843810,0.739978
GNB,1,CiFRUS (train),0.934180,0.863850,0.655393,0.841429,0.662160
GNB,1,CiFRUS (train/test),0.932205,0.840580,0.615591,0.827143,0.629587
GNB,1,CiFRUS (balanced-train/test),0.931499,0.834951,0.605240,0.822698,0.620527
GNB,2,Baseline,0.934109,0.914405,0.732653,0.847778,0.746115
GNB,2,ROS,0.934497,0.917895,0.747552,0.857460,0.757537
GNB,2,RUS,0.939189,0.921776,0.761369,0.865397,0.769887
GNB,2,SMOTE,0.937249,0.927660,0.781908,0.877302,0.788423
GNB,2,Borderline-SMOTE,0.941940,0.923729,0.768240,0.869365,0.776063
GNB,2,SVM-SMOTE,0.937178,0.931915,0.794737,0.883492,0.801359
GNB,2,ADASYN,0.942046,0.929936,0.787939,0.879524,0.795213
GNB,2,G-SMOTE,0.927690,0.914046,0.733633,0.849524,0.745187
GNB,2,CiFRUS (train),0.931570,0.877030,0.682440,0.852540,0.686905
GNB,2,CiFRUS (train/test),0.928713,0.837772,0.610407,0.824921,0.625045
GNB,2,CiFRUS (balanced-train/test),0.928254,0.814815,0.569536,0.807143,0.589539
GNB,3,Baseline,0.936437,0.917012,0.737727,0.848254,0.754522
GNB,3,ROS,0.937919,0.926625,0.772614,0.868095,0.784782
GNB,3,RUS,0.938272,0.928270,0.780318,0.873810,0.789873
GNB,3,SMOTE,0.940917,0.932203,0.793991,0.881746,0.802077
GNB,3,Borderline-SMOTE,0.944868,0.932489,0.793241,0.880000,0.802953
GNB,3,SVM-SMOTE,0.940423,0.938166,0.814316,0.893651,0.820410
GNB,3,ADASYN,0.944586,0.928270,0.780318,0.873810,0.789873
GNB,3,G-SMOTE,0.930159,0.908333,0.712563,0.837619,0.726654
GNB,3,CiFRUS (train),0.934462,0.863850,0.655393,0.841429,0.662160
GNB,3,CiFRUS (train/test),0.932416,0.832930,0.598777,0.818730,0.613136
GNB,3,CiFRUS (balanced-train/test),0.932346,0.825553,0.591171,0.817778,0.610170
GNB,4,Baseline,0.935273,0.918580,0.745695,0.853968,0.759396
GNB,4,ROS,0.936190,0.915966,0.740605,0.853492,0.751362
GNB,4,RUS,0.933898,0.911828,0.739364,0.860000,0.742749
GNB,4,SMOTE,0.938201,0.933902,0.801510,0.887460,0.807508
GNB,4,Borderline-SMOTE,0.943704,0.926316,0.773444,0.869841,0.783775
GNB,4,SVM-SMOTE,0.938871,0.931915,0.794737,0.883492,0.801359
GNB,4,ADASYN,0.942822,0.926004,0.774268,0.871587,0.782930
GNB,4,G-SMOTE,0.928854,0.912500,0.725628,0.843810,0.739978
GNB,4,CiFRUS (train),0.932981,0.858491,0.644701,0.836984,0.652481
GNB,4,CiFRUS (train/test),0.930370,0.837772,0.610407,0.824921,0.625045
GNB,4,CiFRUS (balanced-train/test),0.930053,0.820639,0.579655,0.811587,0.598284
GNB,5,Baseline,0.934709,0.914405,0.732653,0.847778,0.746115
GNB,5,ROS,0.935203,0.919831,0.754473,0.861429,0.763711
GNB,5,RUS,0.939224,0.928270,0.780318,0.873810,0.789873
GNB,5,SMOTE,0.938589,0.925690,0.775087,0.873333,0.782242
GNB,5,Borderline-SMOTE,0.943704,0.919831,0.754473,0.861429,0.763711
GNB,5,SVM-SMOTE,0.938765,0.929638,0.788705,0.881270,0.794607
GNB,5,ADASYN,0.943139,0.925690,0.775087,0.873333,0.782242
GNB,5,G-SMOTE,0.928042,0.914405,0.732653,0.847778,0.746115
GNB,5,CiFRUS (train),0.932310,0.869159,0.666157,0.845873,0.671961
GNB,5,CiFRUS (train/test),0.929453,0.832930,0.598777,0.818730,0.613136
GNB,5,CiFRUS (balanced-train/test),0.929171,0.827251,0.588498,0.814286,0.604133
GNB,6,Baseline,0.935414,0.918580,0.745695,0.853968,0.759396
GNB,6,ROS,0.935485,0.926004,0.774268,0.871587,0.782930
GNB,6,RUS,0.936226,0.923077,0.769912,0.872857,0.775058
GNB,6,SMOTE,0.938765,0.929936,0.787939,0.879524,0.795213
GNB,6,Borderline-SMOTE,0.943563,0.921776,0.761369,0.865397,0.769887
GNB,6,SVM-SMOTE,0.939612,0.931915,0.794737,0.883492,0.801359
GNB,6,ADASYN,0.943774,0.923729,0.768240,0.869365,0.776063
GNB,6,G-SMOTE,0.929083,0.910230,0.719612,0.841587,0.732834
GNB,6,CiFRUS (train),0.932557,0.866511,0.660766,0.843651,0.667045
GNB,6,CiFRUS (train/test),0.931711,0.843373,0.620793,0.829365,0.634153
GNB,6,CiFRUS (balanced-train/test),0.931534,0.823529,0.584738,0.813810,0.602688
GNB,7,Baseline,0.935732,0.916667,0.738693,0.850000,0.753302
GNB,7,ROS,0.936437,0.924051,0.767396,0.867619,0.776792
GNB,7,RUS,0.938377,0.920502,0.752670,0.857937,0.765489
GNB,7,SMOTE,0.938871,0.929936,0.787939,0.879524,0.795213
GNB,7,Borderline-SMOTE,0.944198,0.924051,0.767396,0.867619,0.776792
GNB,7,SVM-SMOTE,0.939295,0.937901,0.814984,0.895397,0.819820
GNB,7,ADASYN,0.942116,0.929936,0.787939,0.879524,0.795213
GNB,7,G-SMOTE,0.929912,0.910603,0.718577,0.839841,0.733839
GNB,7,CiFRUS (train),0.932945,0.874419,0.676994,0.850317,0.681891
GNB,7,CiFRUS (train/test),0.930899,0.830097,0.593629,0.816508,0.608623
GNB,7,CiFRUS (balanced-train/test),0.930899,0.825553,0.591171,0.817778,0.610170
GNB,8,Baseline,0.935944,0.915966,0.740605,0.853492,0.751362
GNB,8,ROS,0.936367,0.917895,0.747552,0.857460,0.757537
GNB,8,RUS,0.933474,0.916844,0.750287,0.862698,0.755902
GNB,8,SMOTE,0.940106,0.936170,0.807566,0.889683,0.814294
GNB,8,Borderline-SMOTE,0.943527,0.924051,0.767396,0.867619,0.776792
GNB,8,SVM-SMOTE,0.940212,0.923729,0.768240,0.869365,0.776063
GNB,8,ADASYN,0.944586,0.926004,0.774268,0.871587,0.782930
GNB,8,G-SMOTE,0.929929,0.912500,0.725628,0.843810,0.739978
GNB,8,CiFRUS (train),0.934250,0.866511,0.660766,0.843651,0.667045
GNB,8,CiFRUS (train/test),0.930441,0.843373,0.620793,0.829365,0.634153
GNB,8,CiFRUS (balanced-train/test),0.930123,0.829268,0.594955,0.818254,0.611562
GNB,9,Baseline,0.935168,0.918580,0.745695,0.853968,0.759396
GNB,9,ROS,0.935873,0.922105,0.760498,0.863651,0.770656
GNB,9,RUS,0.939788,0.924051,0.767396,0.867619,0.776792
GNB,9,SMOTE,0.939436,0.933902,0.801510,0.887460,0.807508
GNB,9,Borderline-SMOTE,0.943139,0.924051,0.767396,0.867619,0.776792
GNB,9,SVM-SMOTE,0.939894,0.931915,0.794737,0.883492,0.801359
GNB,9,ADASYN,0.943386,0.926004,0.774268,0.871587,0.782930
GNB,9,G-SMOTE,0.929965,0.910230,0.719612,0.841587,0.732834
GNB,9,CiFRUS (train),0.933016,0.869159,0.666157,0.845873,0.671961
GNB,9,CiFRUS (train/test),0.930370,0.837772,0.610407,0.824921,0.625045
GNB,9,CiFRUS (balanced-train/test),0.930018,0.826406,0.589839,0.816032,0.607114
KNN,0,Baseline,0.906543,0.890688,0.637895,0.794444,0.667616
KNN,0,ROS,0.908219,0.901639,0.681741,0.818254,0.704468
KNN,0,RUS,0.919718,0.907216,0.703297,0.830159,0.722806
KNN,0,SMOTE,0.926984,0.915966,0.740605,0.853492,0.751362
KNN,0,Borderline-SMOTE,0.912205,0.917548,0.748470,0.859206,0.756843
KNN,0,SVM-SMOTE,0.923280,0.911017,0.729614,0.850794,0.737043
KNN,0,ADASYN,0.934638,0.923729,0.768240,0.869365,0.776063
KNN,0,G-SMOTE,0.914568,0.897541,0.668480,0.812063,0.690765
KNN,0,CiFRUS (train),0.869630,0.902439,0.679342,0.814762,0.707772
KNN,0,CiFRUS (train/test),0.914727,0.897959,0.667235,0.810317,0.692214
KNN,0,CiFRUS (balanced-train/test),0.931940,0.910973,0.717534,0.838095,0.735012
