classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.904952,0.520703,0.380719,0.811282,0.462008
GNB,0,ROS,0.905566,0.483516,0.326726,0.787006,0.419951
GNB,0,RUS,0.906401,0.485039,0.328936,0.788136,0.421772
GNB,0,SMOTE,0.903580,0.494358,0.342733,0.794025,0.431843
GNB,0,Borderline-SMOTE,0.902569,0.494092,0.342349,0.793837,0.431530
GNB,0,SVM-SMOTE,0.905116,0.489883,0.336263,0.790823,0.426545
GNB,0,ADASYN,0.903202,0.494321,0.343148,0.792690,0.430338
GNB,0,G-SMOTE,0.903127,0.541608,0.493567,0.689796,0.548994
GNB,0,CiFRUS (train),0.904312,0.506428,0.361216,0.799195,0.442653
GNB,0,CiFRUS (train/test),0.868787,0.488984,0.335748,0.788033,0.423043
GNB,0,CiFRUS (balanced-train/test),0.864704,0.460770,0.293703,0.768858,0.391764
GNB,1,Baseline,0.904526,0.520999,0.381141,0.811471,0.462347
GNB,1,ROS,0.905090,0.484531,0.328198,0.787759,0.421164
GNB,1,RUS,0.908573,0.486515,0.331386,0.788375,0.422538
GNB,1,SMOTE,0.902664,0.493033,0.340819,0.793083,0.430278
GNB,1,Borderline-SMOTE,0.902768,0.495680,0.344798,0.794521,0.432914
GNB,1,SVM-SMOTE,0.905038,0.490928,0.337776,0.791577,0.427786
GNB,1,ADASYN,0.903221,0.497016,0.346881,0.795018,0.434001
GNB,1,G-SMOTE,0.902198,0.541608,0.493567,0.689796,0.548994
GNB,1,CiFRUS (train),0.903626,0.505863,0.360404,0.798819,0.441993
GNB,1,CiFRUS (train/test),0.867298,0.489201,0.336380,0.787331,0.422345
GNB,1,CiFRUS (balanced-train/test),0.863962,0.459459,0.292095,0.767026,0.389128
GNB,2,Baseline,0.903883,0.521887,0.382409,0.812036,0.463367
GNB,2,ROS,0.904990,0.484211,0.328044,0.786680,0.419785
GNB,2,RUS,0.910104,0.486287,0.330900,0.788632,0.422762
GNB,2,SMOTE,0.903026,0.491453,0.338535,0.791953,0.428408
GNB,2,Borderline-SMOTE,0.901166,0.492489,0.340189,0.792262,0.429144
GNB,2,SVM-SMOTE,0.905092,0.489622,0.335886,0.790635,0.426236
GNB,2,ADASYN,0.902134,0.497561,0.347511,0.795840,0.435129
GNB,2,G-SMOTE,0.902216,0.540845,0.492551,0.689608,0.547266
GNB,2,CiFRUS (train),0.903426,0.505863,0.360404,0.798819,0.441993
GNB,2,CiFRUS (train/test),0.868089,0.489201,0.336380,0.787331,0.422345
GNB,2,CiFRUS (balanced-train/test),0.864783,0.459770,0.292394,0.767660,0.390018
GNB,3,Baseline,0.904647,0.522779,0.383681,0.812601,0.464388
GNB,3,ROS,0.905128,0.484976,0.329155,0.787245,0.420701
GNB,3,RUS,0.907845,0.485774,0.330157,0.788255,0.422150
GNB,3,SMOTE,0.903338,0.491979,0.339295,0.792330,0.429030
GNB,3,Borderline-SMOTE,0.902249,0.497297,0.346976,0.796097,0.435308
GNB,3,SVM-SMOTE,0.904749,0.490948,0.337649,0.792022,0.428303
GNB,3,ADASYN,0.903097,0.497022,0.346734,0.795463,0.434495
