classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.615827,0.647059,0.185327,0.598703,0.232417
GNB,0,ROS,0.613591,0.647154,0.182494,0.597305,0.231224
GNB,0,RUS,0.617225,0.644013,0.172140,0.591890,0.220439
GNB,0,SMOTE,0.612265,0.640264,0.175893,0.593463,0.216332
GNB,0,Borderline-SMOTE,0.626050,0.640523,0.170241,0.590668,0.213497
GNB,0,SVM-SMOTE,0.613742,0.644951,0.178412,0.595093,0.225272
GNB,0,ADASYN,0.615827,0.647059,0.185327,0.598703,0.232417
GNB,0,G-SMOTE,0.615971,0.642741,0.174328,0.592880,0.219363
GNB,0,CiFRUS (train),0.574103,0.609009,0.163318,0.585085,0.177953
GNB,0,CiFRUS (train/test),0.602313,0.612174,0.146855,0.577106,0.166433
GNB,0,CiFRUS (balanced-train/test),0.598863,0.603710,0.107179,0.556668,0.126928
GNB,1,Baseline,0.617888,0.642504,0.179988,0.595676,0.222067
GNB,1,ROS,0.621282,0.640523,0.170241,0.590668,0.213497
GNB,1,RUS,0.598128,0.617940,0.129194,0.568544,0.156963
GNB,1,SMOTE,0.614397,0.650165,0.198575,0.605516,0.244229
GNB,1,Borderline-SMOTE,0.617137,0.641447,0.176524,0.593871,0.218489
GNB,1,SVM-SMOTE,0.621873,0.636066,0.162057,0.586243,0.201888
GNB,1,ADASYN,0.617888,0.642504,0.179988,0.595676,0.222067
GNB,1,G-SMOTE,0.611698,0.635025,0.158604,0.584438,0.198240
GNB,1,CiFRUS (train),0.570389,0.595668,0.135991,0.570820,0.147920
GNB,1,CiFRUS (train/test),0.608319,0.606702,0.144199,0.575477,0.160695
GNB,1,CiFRUS (balanced-train/test),0.601179,0.619529,0.141703,0.574950,0.168269
GNB,2,Baseline,0.598367,0.629508,0.146959,0.578208,0.183079
GNB,2,ROS,0.610084,0.642741,0.174328,0.592880,0.219363
GNB,2,RUS,0.587274,0.637110,0.165512,0.588048,0.205520
GNB,2,SMOTE,0.602073,0.639073,0.175261,0.593056,0.214224
GNB,2,Borderline-SMOTE,0.607105,0.630542,0.150408,0.580013,0.186766
GNB,2,SVM-SMOTE,0.600093,0.625407,0.133187,0.570988,0.168169
GNB,2,ADASYN,0.598367,0.629508,0.146959,0.578208,0.183079
GNB,2,G-SMOTE,0.595173,0.630542,0.150408,0.580013,0.186766
GNB,2,CiFRUS (train),0.564575,0.595281,0.138837,0.572218,0.150251
GNB,2,CiFRUS (train/test),0.595876,0.592199,0.116304,0.560805,0.128843
GNB,2,CiFRUS (balanced-train/test),0.595652,0.600337,0.099581,0.552650,0.117929
GNB,3,Baseline,0.604190,0.621035,0.139562,0.573959,0.168070
GNB,3,ROS,0.606786,0.627258,0.142856,0.575996,0.177388
GNB,3,RUS,0.598272,0.613333,0.120947,0.564119,0.146077
GNB,3,SMOTE,0.609541,0.623116,0.146487,0.577569,0.175404
GNB,3,Borderline-SMOTE,0.612616,0.615385,0.127855,0.567729,0.153530
GNB,3,SVM-SMOTE,0.600268,0.624585,0.144339,0.576579,0.175363
GNB,3,ADASYN,0.604190,0.621035,0.139562,0.573959,0.168070
GNB,3,G-SMOTE,0.604989,0.626030,0.142199,0.575589,0.175444
GNB,3,CiFRUS (train),0.566619,0.591241,0.133958,0.569598,0.144263
GNB,3,CiFRUS (train/test),0.587984,0.590991,0.124761,0.564998,0.135941
GNB,3,CiFRUS (balanced-train/test),0.577985,0.584192,0.076672,0.540366,0.088299
GNB,4,Baseline,0.611386,0.639344,0.169606,0.590261,0.211292
GNB,4,ROS,0.612433,0.632091,0.145473,0.577625,0.185622
GNB,4,RUS,0.615739,0.638436,0.163337,0.587058,0.206237
GNB,4,SMOTE,0.607025,0.636964,0.168333,0.589446,0.207034
GNB,4,Borderline-SMOTE,0.609533,0.633117,0.148913,0.579430,0.189339
GNB,4,SVM-SMOTE,0.604278,0.635025,0.158604,0.584438,0.198240
GNB,4,ADASYN,0.611386,0.639344,0.169606,0.590261,0.211292
GNB,4,G-SMOTE,0.608367,0.623549,0.140883,0.574774,0.171680
GNB,4,CiFRUS (train),0.569966,0.606171,0.162008,0.584270,0.175327
GNB,4,CiFRUS (train/test),0.597249,0.604651,0.149226,0.577865,0.163764
GNB,4,CiFRUS (balanced-train/test),0.582202,0.592845,0.089879,0.547411,0.104786
GNB,5,Baseline,0.621546,0.638017,0.171795,0.591251,0.210636
GNB,5,ROS,0.619653,0.639610,0.163976,0.587465,0.208491
GNB,5,RUS,0.624389,0.637110,0.165512,0.588048,0.205520
GNB,5,SMOTE,0.620140,0.635607,0.170523,0.590436,0.206560
GNB,5,Borderline-SMOTE,0.625252,0.631933,0.168608,0.589214,0.200768
GNB,5,SVM-SMOTE,0.620859,0.635484,0.150211,0.580245,0.193768
GNB,5,ADASYN,0.621546,0.638017,0.171795,0.591251,0.210636
GNB,5,G-SMOTE,0.617728,0.623549,0.140883,0.574774,0.171680
GNB,5,CiFRUS (train),0.576986,0.600733,0.156495,0.581243,0.168001
GNB,5,CiFRUS (train/test),0.598304,0.598198,0.140184,0.573033,0.152746
GNB,5,CiFRUS (balanced-train/test),0.583112,0.596859,0.115562,0.560629,0.130400
GNB,6,Baseline,0.605763,0.628952,0.155373,0.582402,0.188208
GNB,6,ROS,0.601339,0.624183,0.132525,0.570581,0.166197
GNB,6,RUS,0.586738,0.595447,0.114875,0.560222,0.129074
GNB,6,SMOTE,0.607473,0.635762,0.167695,0.589039,0.204975
GNB,6,Borderline-SMOTE,0.614629,0.630000,0.158838,0.584207,0.191840
GNB,6,SVM-SMOTE,0.614677,0.632619,0.157315,0.583624,0.194093
