classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.810827,0.697917,0.505187,0.747829,0.523209
GNB,0,ROS,0.810221,0.703466,0.508172,0.749726,0.522987
GNB,0,RUS,0.810544,0.708601,0.516688,0.753911,0.531752
GNB,0,SMOTE,0.811319,0.717752,0.529759,0.760498,0.544047
GNB,0,Borderline-SMOTE,0.817041,0.713376,0.521398,0.756467,0.534911
GNB,0,SVM-SMOTE,0.816249,0.710997,0.519045,0.755189,0.533322
GNB,0,ADASYN,0.813143,0.699610,0.507397,0.748953,0.525181
GNB,0,G-SMOTE,0.803593,0.684211,0.487478,0.738840,0.507424
GNB,0,CiFRUS (train),0.752953,0.650485,0.391122,0.693565,0.394986
GNB,0,CiFRUS (train/test),0.761724,0.644501,0.408382,0.700782,0.419616
GNB,0,CiFRUS (balanced-train/test),0.760766,0.642409,0.394912,0.694617,0.402843
GNB,1,Baseline,0.807506,0.684142,0.485586,0.738026,0.504475
GNB,1,ROS,0.811691,0.710828,0.517144,0.754375,0.530546
GNB,1,RUS,0.808307,0.706480,0.508790,0.750344,0.521451
GNB,1,SMOTE,0.807715,0.707379,0.510840,0.751313,0.523814
GNB,1,Borderline-SMOTE,0.818446,0.705128,0.510378,0.750849,0.524974
GNB,1,SVM-SMOTE,0.806962,0.695312,0.500921,0.745736,0.518791
GNB,1,ADASYN,0.808042,0.687500,0.488124,0.739459,0.505538
GNB,1,G-SMOTE,0.807985,0.702427,0.504226,0.747942,0.517825
GNB,1,CiFRUS (train),0.749061,0.650367,0.394783,0.695194,0.399447
GNB,1,CiFRUS (train/test),0.756297,0.631443,0.390783,0.691948,0.402841
GNB,1,CiFRUS (balanced-train/test),0.753488,0.636364,0.373230,0.684422,0.378158
GNB,2,Baseline,0.811323,0.692105,0.500291,0.745118,0.520761
GNB,2,ROS,0.813866,0.700389,0.507552,0.749107,0.524717
GNB,2,RUS,0.813292,0.713736,0.525205,0.758096,0.540517
GNB,2,SMOTE,0.810348,0.716113,0.527557,0.759374,0.542069
GNB,2,Borderline-SMOTE,0.819058,0.708926,0.520494,0.755540,0.537470
GNB,2,SVM-SMOTE,0.810378,0.685940,0.489694,0.739964,0.509398
GNB,2,ADASYN,0.812669,0.695652,0.506620,0.748180,0.527696
GNB,2,G-SMOTE,0.810287,0.716113,0.527557,0.759374,0.542069
GNB,2,CiFRUS (train),0.751685,0.638142,0.373622,0.684731,0.378035
GNB,2,CiFRUS (train/test),0.758984,0.617188,0.372952,0.682959,0.386257
GNB,2,CiFRUS (balanced-train/test),0.759551,0.632911,0.383620,0.688845,0.392590
GNB,3,Baseline,0.812819,0.688312,0.488285,0.739613,0.505098
GNB,3,ROS,0.809827,0.699746,0.498079,0.745035,0.510729
GNB,3,RUS,0.812680,0.708122,0.510993,0.751468,0.523451
GNB,3,SMOTE,0.811817,0.707809,0.507206,0.749839,0.518091
GNB,3,Borderline-SMOTE,0.821368,0.710660,0.515246,0.753560,0.527806
GNB,3,SVM-SMOTE,0.818859,0.700767,0.502020,0.746819,0.515829
GNB,3,ADASYN,0.816678,0.699355,0.503601,0.747324,0.519433
GNB,3,G-SMOTE,0.812140,0.707809,0.507206,0.749839,0.518091
GNB,3,CiFRUS (train),0.753460,0.651387,0.389484,0.692906,0.392759
GNB,3,CiFRUS (train/test),0.758666,0.626598,0.378589,0.686134,0.389003
GNB,3,CiFRUS (balanced-train/test),0.756293,0.638191,0.388447,0.691401,0.396425
GNB,4,Baseline,0.810245,0.688228,0.486396,0.738799,0.502260
GNB,4,ROS,0.811909,0.705584,0.506741,0.749375,0.519095
GNB,4,RUS,0.811547,0.708122,0.510993,0.751468,0.523451
GNB,4,SMOTE,0.809831,0.709434,0.509407,0.750962,0.520103
GNB,4,Borderline-SMOTE,0.817035,0.707224,0.508944,0.750499,0.521097
GNB,4,SVM-SMOTE,0.808103,0.691613,0.490819,0.741046,0.506248
GNB,4,ADASYN,0.810790,0.689922,0.488608,0.739922,0.504254
GNB,4,G-SMOTE,0.809257,0.707809,0.507206,0.749839,0.518091
GNB,4,CiFRUS (train),0.751330,0.643819,0.384106,0.689885,0.388774
GNB,4,CiFRUS (train/test),0.755966,0.633894,0.396888,0.694855,0.409833
GNB,4,CiFRUS (balanced-train/test),0.751206,0.639606,0.379485,0.687484,0.384633
