classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,1.0,1.0,1.0,1.0,1.0
GNB,0,ROS,1.0,1.0,1.0,1.0,1.0
GNB,0,RUS,0.9934210526315789,0.9846153846153847,0.9779951100244498,0.993421052631579,0.978231976089037
GNB,0,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,0,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,0,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,0,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,0,G-SMOTE,0.9934210526315789,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,0,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,0,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,0,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,1,Organic,1.0,1.0,1.0,1.0,1.0
GNB,1,ROS,1.0,1.0,1.0,1.0,1.0
GNB,1,RUS,1.0,1.0,1.0,1.0,1.0
GNB,1,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,1,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,1,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,1,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,1,G-SMOTE,0.9934210526315789,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,1,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,1,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,1,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,2,Organic,1.0,1.0,1.0,1.0,1.0
GNB,2,ROS,1.0,1.0,1.0,1.0,1.0
GNB,2,RUS,1.0,1.0,1.0,1.0,1.0
GNB,2,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,2,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,2,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,2,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,2,G-SMOTE,0.9912280701754386,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,2,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,2,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,2,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,3,Organic,1.0,1.0,1.0,1.0,1.0
GNB,3,ROS,1.0,1.0,1.0,1.0,1.0
GNB,3,RUS,1.0,1.0,1.0,1.0,1.0
GNB,3,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,3,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,3,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,3,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,3,G-SMOTE,0.9956140350877193,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,3,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,3,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,3,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,4,Organic,1.0,1.0,1.0,1.0,1.0
GNB,4,ROS,1.0,1.0,1.0,1.0,1.0
GNB,4,RUS,1.0,1.0,1.0,1.0,1.0
GNB,4,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,4,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,4,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,4,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,4,G-SMOTE,0.9934210526315789,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,4,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,4,CiFRUS (train/test),1.0,0.9947643979057591,0.9925762991476491,0.9947916666666667,0.9926036513803606
GNB,4,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,5,Organic,1.0,1.0,1.0,1.0,1.0
GNB,5,ROS,1.0,1.0,1.0,1.0,1.0
GNB,5,RUS,0.9978070175438596,0.9948186528497409,0.992620934681607,0.9978070175438596,0.9926479601904797
GNB,5,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,5,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,5,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,5,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,5,G-SMOTE,0.9956140350877193,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,5,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,5,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,5,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,6,Organic,1.0,1.0,1.0,1.0,1.0
GNB,6,ROS,1.0,1.0,1.0,1.0,1.0
GNB,6,RUS,1.0,1.0,1.0,1.0,1.0
GNB,6,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,6,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,6,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,6,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,6,G-SMOTE,0.9956140350877193,0.955223880597015,0.9351481184947958,0.9802631578947368,0.937120850649373
GNB,6,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,6,CiFRUS (train/test),1.0,1.0,1.0,1.0,1.0
GNB,6,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,7,Organic,1.0,1.0,1.0,1.0,1.0
GNB,7,ROS,1.0,1.0,1.0,1.0,1.0
GNB,7,RUS,1.0,1.0,1.0,1.0,1.0
GNB,7,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,7,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,7,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,7,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,7,G-SMOTE,0.9934210526315789,0.9504950495049505,0.9281532730175626,0.9780701754385965,0.9305581287502238
GNB,7,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,7,CiFRUS (train/test),1.0,0.9894736842105264,0.9851075565361279,0.9895833333333333,0.9852168156873103
GNB,7,CiFRUS (balanced-train/test),1.0,0.9947643979057591,0.9925762991476491,0.9947916666666667,0.9926036513803606
GNB,8,Organic,1.0,1.0,1.0,1.0,1.0
GNB,8,ROS,1.0,1.0,1.0,1.0,1.0
GNB,8,RUS,0.9978070175438596,0.9948186528497409,0.992620934681607,0.9978070175438596,0.9926479601904797
GNB,8,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,8,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,8,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,8,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,8,G-SMOTE,0.9956140350877193,0.9458128078817734,0.9211992570973733,0.9758771929824561,0.9240727661431203
GNB,8,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,8,CiFRUS (train/test),1.0,0.9894736842105264,0.9851075565361279,0.9895833333333333,0.9852168156873103
GNB,8,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
GNB,9,Organic,1.0,1.0,1.0,1.0,1.0
GNB,9,ROS,1.0,1.0,1.0,1.0,1.0
GNB,9,RUS,1.0,1.0,1.0,1.0,1.0
GNB,9,SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,9,Borderline-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,9,SVM-SMOTE,1.0,1.0,1.0,1.0,1.0
GNB,9,ADASYN,1.0,1.0,1.0,1.0,1.0
GNB,9,G-SMOTE,0.9934210526315789,0.9504950495049505,0.9281532730175626,0.9780701754385965,0.9305581287502238
GNB,9,CiFRUS (train),1.0,1.0,1.0,1.0,1.0
GNB,9,CiFRUS (train/test),1.0,0.9947643979057591,0.9925762991476491,0.9947916666666667,0.9926036513803606
GNB,9,CiFRUS (balanced-train/test),1.0,1.0,1.0,1.0,1.0
KNN,0,Organic,0.9292077850877193,0.7532467532467533,0.6823529411764706,0.8020833333333333,0.7196229171289245
KNN,0,ROS,0.9066840277777778,0.751219512195122,0.6367713004484306,0.8308662280701755,0.6395183305448846
KNN,0,RUS,0.9353983918128654,0.7941176470588235,0.7,0.8626644736842105,0.7025856849785953
KNN,0,SMOTE,0.9247532894736843,0.7818181818181819,0.672396359959555,0.8645833333333334,0.6850211911014611
KNN,0,Borderline-SMOTE,0.9205729166666667,0.74235807860262,0.6071516646115906,0.8374451754385965,0.6264605895487446
KNN,0,SVM-SMOTE,0.9209612573099416,0.7685185185185186,0.6549079754601227,0.8511513157894737,0.6640818780181208
KNN,0,ADASYN,0.915889985380117,0.759825327510917,0.6337854500616522,0.8522478070175439,0.6539413952641241
KNN,0,G-SMOTE,0.9237481725146199,0.751592356687898,0.6772908366533865,0.8029057017543859,0.7076160783050217
KNN,0,CiFRUS (train),0.8828125000000001,0.6835443037974683,0.5876603543066585,0.7637061403508771,0.6122189774596981
KNN,0,CiFRUS (train/test),0.7163057383040936,0.48780487804878053,0.32095808383233526,0.6469298245614035,0.3295099678089404
KNN,0,CiFRUS (balanced-train/test),0.7488806652046784,0.5610859728506787,0.3398033778674061,0.6847587719298246,0.346622346430084
KNN,1,Organic,0.9265579312865497,0.72,0.6440677966101696,0.78125,0.6892024376045112
KNN,1,ROS,0.90234375,0.7298578199052133,0.6009852216748768,0.8177083333333334,0.6063726140217525
KNN,1,RUS,0.9236339546783625,0.8058252427184466,0.7159389794844818,0.8730811403508771,0.7195038165805386
KNN,1,SMOTE,0.9173062865497075,0.7579908675799086,0.6372623574144487,0.8445723684210527,0.6484297010131017
KNN,1,Borderline-SMOTE,0.9250730994152048,0.7532467532467533,0.6225165562913908,0.8478618421052632,0.6443799841008211
KNN,1,SVM-SMOTE,0.9307383040935672,0.7902439024390244,0.6937483513584806,0.8604714912280702,0.6967411803368047
KNN,1,ADASYN,0.9221034356725146,0.7142857142857142,0.5580163697640828,0.8177083333333333,0.5847655452564325
KNN,1,G-SMOTE,0.9191337719298245,0.7225806451612903,0.6417772292502314,0.7850877192982456,0.6746252663485056
KNN,1,CiFRUS (train),0.8987573099415205,0.6538461538461537,0.551660516605166,0.7458881578947368,0.5780868101313564
KNN,1,CiFRUS (train/test),0.7356770833333333,0.5,0.3371257485029939,0.6543311403508771,0.3461084176799131
KNN,1,CiFRUS (balanced-train/test),0.7562134502923977,0.5663716814159293,0.34211834908005967,0.6885964912280702,0.3513938069739067
KNN,2,Organic,0.9119837353801169,0.7547169811320755,0.6794520547945205,0.805921052631579,0.7059141253709525
KNN,2,ROS,0.8945540935672514,0.7522935779816513,0.6293848500254193,0.8393640350877193,0.6396512466619642
KNN,2,RUS,0.9010873538011697,0.7766990291262137,0.6733298264071541,0.8508771929824561,0.6766825020008005
KNN,2,SMOTE,0.9006076388888888,0.7304347826086957,0.5882931628135759,0.8278508771929824,0.6079672509910277
KNN,2,Borderline-SMOTE,0.911983735380117,0.7391304347826088,0.601574028529267,0.8352521929824561,0.6216922641822966
KNN,2,SVM-SMOTE,0.9198647660818713,0.7706422018348624,0.6568378240976105,0.8541666666666667,0.6675520280187865
KNN,2,ADASYN,0.9104532163742691,0.7226890756302521,0.5710158883004333,0.825109649122807,0.5983882111079628
KNN,2,G-SMOTE,0.9030062134502924,0.7590361445783134,0.6787626412849495,0.8127741228070176,0.6940615281732435
KNN,2,CiFRUS (train),0.8533214546783626,0.6455696202531646,0.5381795968234575,0.7415021929824561,0.5606703941184968
KNN,2,CiFRUS (train/test),0.723844115497076,0.4713375796178344,0.31320870364695064,0.6400767543859649,0.32723241268223174
KNN,2,CiFRUS (balanced-train/test),0.7601653874269005,0.5575221238938053,0.32869219293883645,0.6811951754385965,0.3376036430374307
KNN,3,Organic,0.923611111111111,0.7236842105263158,0.6465087281795512,0.784265350877193,0.6865869616872484
KNN,3,ROS,0.8933662280701754,0.7393364928909952,0.6149857402126004,0.825109649122807,0.6204986369540969
KNN,3,RUS,0.9413834064327486,0.8200000000000001,0.7398286937901499,0.8788377192982456,0.7410683047070916
KNN,3,SMOTE,0.9032574926900585,0.7354260089686098,0.6006517924291802,0.8283991228070176,0.614327632736176
KNN,3,Borderline-SMOTE,0.9245705409356726,0.7699115044247788,0.6509199403281949,0.8588267543859649,0.6685675775128544
KNN,3,SVM-SMOTE,0.9240451388888888,0.7830188679245284,0.6789038262668046,0.8599232456140351,0.6856180933422996
KNN,3,ADASYN,0.9265807748538012,0.735042735042735,0.5927007299270073,0.8338815789473684,0.616636856480664
KNN,3,G-SMOTE,0.9145193713450293,0.7388535031847132,0.6607416487894575,0.7955043859649122,0.6903259116858039
KNN,3,CiFRUS (train),0.867575840643275,0.7000000000000001,0.6067961165048543,0.7741228070175439,0.6287840910824483
