classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.657367,0.664435,0.215787,0.622125,0.229655
GNB,0,ROS,0.650575,0.631670,0.180982,0.604678,0.197283
GNB,0,RUS,0.648190,0.620087,0.176707,0.603338,0.195300
GNB,0,SMOTE,0.656802,0.647310,0.205024,0.617889,0.221953
GNB,0,Borderline-SMOTE,0.560068,0.425229,0.031752,0.520507,0.042425
GNB,0,SVM-SMOTE,0.649180,0.597496,0.162884,0.596911,0.184401
GNB,0,ADASYN,0.612879,0.457782,0.086591,0.555925,0.115696
GNB,0,G-SMOTE,0.653451,0.647458,0.194498,0.611176,0.209168
GNB,0,CiFRUS (train),0.653984,0.655434,0.204380,0.616286,0.218707
GNB,0,CiFRUS (train/test),0.655903,0.656040,0.199785,0.613295,0.213055
GNB,0,CiFRUS (balanced-train/test),0.655375,0.639033,0.202198,0.617254,0.221106
GNB,1,Baseline,0.661834,0.661642,0.210446,0.619182,0.224121
GNB,1,ROS,0.653705,0.635579,0.194563,0.612827,0.212758
GNB,1,RUS,0.664357,0.640760,0.206015,0.619468,0.225281
GNB,1,SMOTE,0.660452,0.637607,0.184385,0.606091,0.199760
GNB,1,Borderline-SMOTE,0.566540,0.424615,0.043074,0.527949,0.058292
GNB,1,SVM-SMOTE,0.650909,0.611848,0.176566,0.604187,0.197526
GNB,1,ADASYN,0.614861,0.460754,0.094503,0.561106,0.126666
GNB,1,G-SMOTE,0.657082,0.647458,0.194498,0.611176,0.209168
GNB,1,CiFRUS (train),0.657580,0.652649,0.195533,0.611105,0.208950
GNB,1,CiFRUS (train/test),0.659066,0.654882,0.201906,0.614802,0.215910
GNB,1,CiFRUS (balanced-train/test),0.658940,0.633936,0.187253,0.608376,0.204278
GNB,2,Baseline,0.655927,0.656642,0.195158,0.610303,0.207424
GNB,2,ROS,0.653672,0.635739,0.187578,0.608352,0.204155
GNB,2,RUS,0.653244,0.615114,0.174752,0.602655,0.194297
GNB,2,SMOTE,0.660642,0.634105,0.180225,0.603901,0.195699
GNB,2,Borderline-SMOTE,0.575217,0.479125,0.089798,0.557218,0.115908
GNB,2,SVM-SMOTE,0.656625,0.619298,0.181238,0.606329,0.201161
GNB,2,ADASYN,0.603767,0.476673,0.114174,0.573610,0.151836
GNB,2,G-SMOTE,0.655526,0.638298,0.179775,0.603099,0.194041
GNB,2,CiFRUS (train),0.653872,0.653782,0.196948,0.611835,0.210318
GNB,2,CiFRUS (train/test),0.656570,0.654362,0.195881,0.611081,0.208892
GNB,2,CiFRUS (balanced-train/test),0.657108,0.636207,0.193515,0.612073,0.211276
GNB,3,Baseline,0.656202,0.652101,0.193050,0.609621,0.206155
GNB,3,ROS,0.659126,0.636910,0.188965,0.609082,0.205505
GNB,3,RUS,0.650501,0.619669,0.170784,0.599617,0.188125
GNB,3,SMOTE,0.655819,0.629213,0.181735,0.605456,0.198888
GNB,3,Borderline-SMOTE,0.590697,0.481444,0.106713,0.568358,0.139563
GNB,3,SVM-SMOTE,0.652966,0.597333,0.153550,0.590953,0.172710
GNB,3,ADASYN,0.607087,0.461382,0.091202,0.558869,0.121666
GNB,3,G-SMOTE,0.652039,0.638699,0.189294,0.609058,0.205390
GNB,3,CiFRUS (train),0.652338,0.647555,0.187411,0.606701,0.200689
GNB,3,CiFRUS (train/test),0.651034,0.648101,0.189891,0.608185,0.203487
GNB,3,CiFRUS (balanced-train/test),0.651138,0.625862,0.170582,0.598791,0.186238
GNB,4,Baseline,0.653984,0.650847,0.202243,0.615604,0.217497
GNB,4,ROS,0.650125,0.634399,0.193179,0.612097,0.211413
GNB,4,RUS,0.652520,0.634315,0.196652,0.614334,0.215734
GNB,4,SMOTE,0.655630,0.635417,0.201494,0.617302,0.221406
GNB,4,Borderline-SMOTE,0.588572,0.469758,0.093828,0.560281,0.123636
GNB,4,SVM-SMOTE,0.658013,0.621359,0.194294,0.614501,0.216973
GNB,4,ADASYN,0.604226,0.476954,0.097543,0.562447,0.127381
GNB,4,G-SMOTE,0.652176,0.639316,0.188232,0.608304,0.203928
GNB,4,CiFRUS (train),0.650603,0.649703,0.200834,0.614874,0.216137
GNB,4,CiFRUS (train/test),0.650956,0.650296,0.199779,0.614120,0.214693
GNB,4,CiFRUS (balanced-train/test),0.651065,0.634866,0.199074,0.615818,0.218569
GNB,5,Baseline,0.659824,0.664435,0.215787,0.622125,0.229655
GNB,5,ROS,0.660127,0.643777,0.204304,0.617936,0.222186
GNB,5,RUS,0.653005,0.634866,0.199074,0.615818,0.218569
GNB,5,SMOTE,0.654766,0.633218,0.191797,0.611367,0.210068
GNB,5,Borderline-SMOTE,0.582607,0.457953,0.081019,0.552204,0.107578
GNB,5,SVM-SMOTE,0.656551,0.612645,0.188216,0.611629,0.212092
GNB,5,ADASYN,0.601347,0.464066,0.110115,0.571492,0.149261
GNB,5,G-SMOTE,0.653170,0.641445,0.201512,0.616476,0.219490
GNB,5,CiFRUS (train),0.655147,0.659396,0.207592,0.617722,0.221381
GNB,5,CiFRUS (train/test),0.655704,0.660535,0.205479,0.616214,0.218539
GNB,5,CiFRUS (balanced-train/test),0.657099,0.643164,0.205341,0.618690,0.223661
GNB,6,Baseline,0.658121,0.651515,0.194120,0.610375,0.207584
GNB,6,ROS,0.657651,0.640827,0.202552,0.617230,0.220968
GNB,6,RUS,0.653356,0.630303,0.186606,0.608423,0.204548
GNB,6,SMOTE,0.654331,0.628571,0.182796,0.606210,0.200372
GNB,6,Borderline-SMOTE,0.570396,0.421488,0.048648,0.531694,0.066597
GNB,6,SVM-SMOTE,0.652533,0.611848,0.176566,0.604187,0.197526
GNB,6,ADASYN,0.611913,0.462626,0.084566,0.554394,0.111771
GNB,6,G-SMOTE,0.653291,0.641379,0.204982,0.618714,0.223795
GNB,6,CiFRUS (train),0.651041,0.651477,0.197662,0.612612,0.211815
GNB,6,CiFRUS (train/test),0.651645,0.650338,0.196251,0.611882,0.210451
GNB,6,CiFRUS (balanced-train/test),0.652750,0.630849,0.189037,0.609907,0.207380
GNB,7,Baseline,0.661091,0.657095,0.211782,0.620737,0.227106
GNB,7,ROS,0.656949,0.627927,0.183855,0.606964,0.201859
GNB,7,RUS,0.652005,0.632759,0.185871,0.607646,0.202930
GNB,7,SMOTE,0.660720,0.633936,0.187253,0.608376,0.204278
GNB,7,Borderline-SMOTE,0.572165,0.458458,0.064144,0.541041,0.083641
GNB,7,SVM-SMOTE,0.654978,0.610320,0.182098,0.607932,0.205009
GNB,7,ADASYN,0.616548,0.479839,0.111056,0.571349,0.146337
GNB,7,G-SMOTE,0.655819,0.643225,0.201865,0.616453,0.219365
GNB,7,CiFRUS (train),0.659837,0.659933,0.213586,0.621443,0.228399
GNB,7,CiFRUS (train/test),0.661054,0.657095,0.211782,0.620737,0.227106
GNB,7,CiFRUS (balanced-train/test),0.661409,0.637931,0.197337,0.614287,0.215449
GNB,8,Baseline,0.660378,0.659950,0.210068,0.619206,0.224175
GNB,8,ROS,0.653555,0.640411,0.193137,0.611272,0.209559
GNB,8,RUS,0.661392,0.640411,0.193137,0.611272,0.209559
GNB,8,SMOTE,0.653867,0.632124,0.186929,0.608400,0.204409
GNB,8,Borderline-SMOTE,0.566263,0.456456,0.060684,0.538827,0.079130
GNB,8,SVM-SMOTE,0.652403,0.603033,0.170609,0.601315,0.192606
GNB,8,ADASYN,0.621932,0.469036,0.102681,0.566239,0.136765
GNB,8,G-SMOTE,0.653298,0.641026,0.192080,0.610518,0.208096
GNB,8,CiFRUS (train),0.654132,0.654882,0.201906,0.614802,0.215910
GNB,8,CiFRUS (train/test),0.656332,0.657119,0.208271,0.618499,0.222871
GNB,8,CiFRUS (balanced-train/test),0.658043,0.635579,0.194563,0.612827,0.212758
GNB,9,Baseline,0.661177,0.661629,0.213969,0.621419,0.228338
GNB,9,ROS,0.659261,0.636910,0.188965,0.609082,0.205505
GNB,9,RUS,0.656317,0.616197,0.179573,0.605623,0.200005
GNB,9,SMOTE,0.659969,0.634648,0.182679,0.605385,0.198516
GNB,9,Borderline-SMOTE,0.584771,0.470111,0.101631,0.565485,0.134948
GNB,9,SVM-SMOTE,0.657324,0.614020,0.186148,0.610122,0.208996
GNB,9,ADASYN,0.620169,0.478478,0.098741,0.563177,0.128755
GNB,9,G-SMOTE,0.658834,0.642123,0.196979,0.613485,0.213728
GNB,9,CiFRUS (train),0.656709,0.656591,0.202266,0.614778,0.215849
GNB,9,CiFRUS (train/test),0.657736,0.664992,0.218263,0.623609,0.232446
GNB,9,CiFRUS (balanced-train/test),0.657831,0.639725,0.197682,0.614263,0.215319
KNN,0,Baseline,0.772354,0.812635,0.412056,0.702456,0.412610
KNN,0,ROS,0.760233,0.736585,0.351251,0.694158,0.365922
KNN,0,RUS,0.764353,0.727874,0.350538,0.696539,0.369707
KNN,0,SMOTE,0.771011,0.739903,0.351720,0.693357,0.364839
KNN,0,Borderline-SMOTE,0.767136,0.718777,0.360349,0.706385,0.388372
KNN,0,SVM-SMOTE,0.772258,0.727874,0.350538,0.696539,0.369707
KNN,0,ADASYN,0.770809,0.728033,0.364416,0.706242,0.387836
KNN,0,G-SMOTE,0.768882,0.793078,0.409507,0.711081,0.411103
KNN,0,CiFRUS (train),0.711521,0.770615,0.340531,0.674886,0.341561
KNN,0,CiFRUS (train/test),0.739095,0.781250,0.361709,0.684399,0.362286
KNN,0,CiFRUS (balanced-train/test),0.742243,0.753467,0.328110,0.672958,0.331924
KNN,1,Baseline,0.776980,0.819813,0.434583,0.713524,0.435167
KNN,1,ROS,0.766224,0.753017,0.379793,0.708075,0.392946
KNN,1,RUS,0.754612,0.705683,0.328546,0.687923,0.353581
KNN,1,SMOTE,0.765139,0.742718,0.360649,0.698538,0.374496
KNN,1,Borderline-SMOTE,0.775510,0.720203,0.357814,0.704124,0.383976
KNN,1,SVM-SMOTE,0.766376,0.731627,0.357571,0.700212,0.376658
KNN,1,ADASYN,0.762971,0.724252,0.346811,0.695103,0.366932
KNN,1,G-SMOTE,0.775767,0.803571,0.426840,0.717603,0.427522
KNN,1,CiFRUS (train),0.711425,0.780343,0.360011,0.683669,0.360630
KNN,1,CiFRUS (train/test),0.736317,0.786982,0.371015,0.688024,0.371302
KNN,1,CiFRUS (balanced-train/test),0.739091,0.766667,0.342971,0.677948,0.344939
KNN,2,Baseline,0.763185,0.806867,0.389440,0.690611,0.390223
KNN,2,ROS,0.765732,0.754777,0.372158,0.702068,0.382633
KNN,2,RUS,0.750930,0.723651,0.344405,0.693619,0.364154
KNN,2,SMOTE,0.762979,0.752586,0.365603,0.698371,0.375720
KNN,2,Borderline-SMOTE,0.778174,0.729549,0.365103,0.706218,0.387793
KNN,2,SVM-SMOTE,0.777860,0.740984,0.371554,0.706782,0.389279
KNN,2,ADASYN,0.761420,0.719735,0.334115,0.687708,0.353050
KNN,2,G-SMOTE,0.759258,0.782674,0.370548,0.689603,0.371384
KNN,2,CiFRUS (train),0.720934,0.780597,0.363591,0.685906,0.364360
KNN,2,CiFRUS (train/test),0.740118,0.779336,0.345531,0.674719,0.345718
KNN,2,CiFRUS (balanced-train/test),0.736486,0.761758,0.351669,0.685510,0.355868
KNN,3,Baseline,0.775466,0.814070,0.416561,0.704670,0.417121
KNN,3,ROS,0.760905,0.755805,0.381280,0.708027,0.393312
KNN,3,RUS,0.770829,0.729080,0.355353,0.699506,0.375255
KNN,3,SMOTE,0.774827,0.761218,0.395897,0.716152,0.408590
KNN,3,Borderline-SMOTE,0.760268,0.718724,0.346600,0.696682,0.369874
