classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.6599324773897829,0.4342105263157895,0.1237392132064763,0.5682348012518791,0.15454634954421548
GNB,0,ROS,0.6598388328938614,0.45454545454545453,0.14139308434091424,0.5777224672860347,0.1736585022661708
GNB,0,RUS,0.6506222430321101,0.42105263157894735,0.1310157339706287,0.572682914808152,0.169419503851365
GNB,0,SMOTE,0.6634022523965599,0.42536327608982827,0.11439312087578468,0.5631410335395155,0.1436220922596866
GNB,0,Borderline-SMOTE,0.6456393701175485,0.4060773480662983,0.13363525903015583,0.5745336257670224,0.17890883284700285
GNB,0,SVM-SMOTE,0.6537174400552009,0.41369863013698627,0.13603867214994303,0.575731289583282,0.17983320472305234
GNB,0,ADASYN,0.6540920180388872,0.41961852861035426,0.1389934179908252,0.5772788880948274,0.18224129865246003
GNB,0,G-SMOTE,0.6651814978190689,0.42627345844504017,0.1316720278693556,0.5729318120209961,0.16865297141681582
GNB,0,CiFRUS (train),0.6580127652233914,0.39499304589707934,0.12493382742191628,0.5697897927499446,0.16909887336684304
GNB,0,CiFRUS (train/test),0.6600162645703443,0.4362680683311432,0.12549955743904717,0.5691835678552947,0.1564753197103629
GNB,0,CiFRUS (balanced-train/test),0.6560240518494788,0.42189586114819766,0.12069472277889115,0.5667882402227753,0.153732126991314
GNB,1,Organic,0.6685970575913649,0.43363994743758216,0.12142263229890293,0.5669360999531778,0.15139212915768602
GNB,1,ROS,0.6664703418024102,0.4513618677042803,0.1349848422336628,0.5741762980852165,0.16551893330190512
GNB,1,RUS,0.6508391039700337,0.4081081081081081,0.1130650253786819,0.5627442765962689,0.14649115222046238
GNB,1,SMOTE,0.6664481628428498,0.4321475625823452,0.12197998570407431,0.5672860346484635,0.15261321945378545
GNB,1,Borderline-SMOTE,0.6483846324453535,0.4237516869095816,0.13506694267006636,0.5749303827102689,0.17465821638653978
GNB,1,SVM-SMOTE,0.658897459276966,0.3988995873452545,0.11870223606000563,0.5661425860666847,0.15790353201169097
GNB,1,ADASYN,0.6544271667611326,0.3944827586206897,0.11522448221909887,0.5642450528598536,0.15393013766829117
GNB,1,G-SMOTE,0.6655215751989946,0.41711229946524064,0.11488240191255505,0.563592005717243,0.14659968276602514
GNB,1,CiFRUS (train),0.6592572512876118,0.3972602739726027,0.11181545735040876,0.5622464821705808,0.1478118811005037
GNB,1,CiFRUS (train/test),0.6597969393035806,0.42614379084967324,0.10397736936807911,0.5572463589541389,0.1287641930873946
GNB,1,CiFRUS (balanced-train/test),0.6602109465487075,0.40745672436751,0.09575416206195864,0.5529534981147884,0.12151841455699364
GNB,2,Organic,0.6617166514699722,0.4380704041720991,0.11974631839191663,0.5658862958673205,0.147798662113962
GNB,2,ROS,0.6621577663323395,0.44814340588988477,0.11580993170714149,0.5634367530003204,0.13979022647702705
GNB,2,RUS,0.6562901993642032,0.41565452091767885,0.12291331657175353,0.5681879790039183,0.15894207878101546
GNB,2,SMOTE,0.6608812439931984,0.43328929986789966,0.12660838817404962,0.5698834372458661,0.1589585236242367
GNB,2,Borderline-SMOTE,0.6572981098597797,0.4054794520547945,0.1239270647501759,0.5689888858769314,0.163822542911778
GNB,2,SVM-SMOTE,0.6631262475664753,0.40990371389270974,0.1348358335692046,0.5751324576751522,0.17936523412713987
GNB,2,ADASYN,0.6615342911358093,0.418032786885246,0.13953498673352316,0.5776288227901131,0.183696986090158
