classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.8585600907029478,0.7572016460905351,0.39956160951933617,0.7712585034013606,0.46745459074294216
GNB,0,ROS,0.8591269841269841,0.7572016460905351,0.39956160951933617,0.7712585034013606,0.46745459074294216
GNB,0,RUS,0.8587018140589568,0.7540983606557377,0.3862134088762984,0.7608418367346939,0.4494564595020228
GNB,0,SMOTE,0.8483560090702947,0.7560975609756098,0.3797709923664122,0.7538265306122449,0.4374144054444145
GNB,0,Borderline-SMOTE,0.8584183673469388,0.723404255319149,0.36475717937152297,0.7578656462585034,0.4464466254390415
GNB,0,SVM-SMOTE,0.8479308390022675,0.7468879668049793,0.3855571052223772,0.7644557823129252,0.4559715387526759
GNB,0,ADASYN,0.8577097505668934,0.7341772151898733,0.3781321184510251,0.7646683673469388,0.45739921595905814
GNB,0,G-SMOTE,0.8566468253968254,0.7341772151898733,0.3781321184510251,0.7646683673469388,0.45739921595905814
GNB,0,CiFRUS (train),0.8622448979591837,0.7520661157024794,0.39252336448598135,0.7678571428571428,0.46169025843831935
GNB,0,CiFRUS (train/test),0.8596938775510203,0.748971193415638,0.3792077657742289,0.7574404761904763,0.4436422487380117
GNB,0,CiFRUS (balanced-train/test),0.8601190476190476,0.7520661157024794,0.39252336448598135,0.7678571428571428,0.46169025843831935
GNB,1,Organic,0.8577097505668935,0.7520661157024794,0.39252336448598135,0.7678571428571428,0.46169025843831935
GNB,1,ROS,0.8579931972789115,0.7468879668049793,0.3855571052223772,0.7644557823129252,0.4559715387526759
GNB,1,RUS,0.8473639455782312,0.7572016460905351,0.39956160951933617,0.7712585034013606,0.46745459074294216
GNB,1,SMOTE,0.8465136054421768,0.7510204081632654,0.3727258345198544,0.7504251700680272,0.43150750553657935
GNB,1,Borderline-SMOTE,0.8547335600907029,0.7372881355932203,0.39105469930492587,0.7750850340136055,0.4758042413366539
GNB,1,SVM-SMOTE,0.8507653061224489,0.7551867219917012,0.40570277390361076,0.7782738095238095,0.4797964181891099
GNB,1,ADASYN,0.8554421768707483,0.7341772151898733,0.3781321184510251,0.7646683673469388,0.45739921595905814
GNB,1,G-SMOTE,0.8660714285714286,0.7394957983193278,0.384920634920635,0.7680697278911565,0.4629346511697351
GNB,1,CiFRUS (train),0.860969387755102,0.7468879668049793,0.3855571052223772,0.7644557823129252,0.4559715387526759
