classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.8173619418735307,0.6407982261640799,0.46471527336606167,0.7510286774599908,0.47243874802202696
GNB,0,ROS,0.8173701990372808,0.6141176470588235,0.38949597128621805,0.7334395975260216,0.42523762441666724
GNB,0,RUS,0.8165462992382931,0.6139731827805222,0.3892176223415569,0.7333086389089446,0.42499688453678164
GNB,0,SMOTE,0.816539198077468,0.614010343206394,0.38912714825839967,0.7333619801867705,0.42508784937664107
GNB,0,Borderline-SMOTE,0.8096254748694872,0.6060606060606061,0.3666490543296965,0.7266728518327932,0.41366121370216474
GNB,0,SVM-SMOTE,0.8113459375084635,0.6072892938496582,0.3717496044310199,0.7275994707488322,0.41485384381077894
GNB,0,ADASYN,0.8119771151055233,0.6066350710900474,0.3687213754987674,0.7271385558683002,0.4142992347502934
GNB,0,G-SMOTE,0.8173520332770305,0.6150952268986598,0.39089370266977186,0.7343853730619612,0.4269540607314654
GNB,0,CiFRUS (train),0.8175072679555329,0.6419274439213514,0.4662275303455685,0.7519744529959302,0.4740776164358692
GNB,0,CiFRUS (train/test),0.8167778301098467,0.6400222037191229,0.4638449261544374,0.7503448191582053,0.47138700937502076
GNB,0,CiFRUS (balanced-train/test),0.8167748575308968,0.6131147540983607,0.38691414415834935,0.7326052937007088,0.4236853385892564
GNB,1,Organic,0.817260709045954,0.6402877697841727,0.46361218088696543,0.7506891428865856,0.4715197414327858
GNB,1,ROS,0.8173403081045053,0.6146638557039119,0.38941837463596896,0.7340749037049563,0.42636328077362995
GNB,1,RUS,0.8169208441859988,0.6127140511376965,0.3866271299607419,0.7321833526330774,0.42292550110841726
GNB,1,SMOTE,0.8165246654692678,0.6148791363529688,0.3901551328405407,0.7342301383834586,0.42665679155605385
GNB,1,Borderline-SMOTE,0.8103963636771991,0.6066308243727598,0.36713715217107146,0.7272790927953274,0.41485561108172964
GNB,1,SVM-SMOTE,0.8116038913040176,0.6082004555808657,0.37320726196134235,0.7284919050069459,0.41648051623276994
GNB,1,ADASYN,0.8118020632340206,0.6086760054225034,0.37223581225120095,0.7291320003408557,0.417894942579093
GNB,1,G-SMOTE,0.8173571527185556,0.6155289702087732,0.3910853216266844,0.7348606554074184,0.4278022487503832
GNB,1,CiFRUS (train),0.8174796890286075,0.6400665004156275,0.46356769941800746,0.7504515017138569,0.47130566778459526
GNB,1,CiFRUS (train/test),0.8167783255396717,0.6398222715912247,0.4636617799021504,0.7501605192633025,0.4711346101487066
GNB,1,CiFRUS (balanced-train/test),0.8167431500220962,0.6138011695906432,0.3877544914453105,0.7332891520024943,0.42492646030153935
GNB,2,Organic,0.8173842362156558,0.641749723145072,0.4659057788814228,0.7518434943788532,0.4737843845260101
GNB,2,ROS,0.8176859529790856,0.6147695202257761,0.39042793543478604,0.7340701145499813,0.42638186259197103
GNB,2,RUS,0.8171555127797774,0.6152398871119473,0.39117222366990845,0.7345163316790382,0.42719469122228754
GNB,2,SMOTE,0.8166318434547446,0.6132895045785396,0.387737396195057,0.7327071871013855,0.42388594462560647
