classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.810754,0.622309,0.434691,0.712642,0.435861
GNB,0,ROS,0.813201,0.648936,0.446025,0.728418,0.447400
GNB,0,RUS,0.804933,0.649819,0.452590,0.729821,0.453174
GNB,0,SMOTE,0.813269,0.654611,0.460595,0.733687,0.461127
GNB,0,Borderline-SMOTE,0.803657,0.636986,0.416714,0.717015,0.420397
GNB,0,SVM-SMOTE,0.808545,0.650089,0.448356,0.729418,0.449643
GNB,0,ADASYN,0.805910,0.647788,0.443697,0.727418,0.445162
GNB,0,G-SMOTE,0.797410,0.451282,0.298025,0.630179,0.339490
GNB,0,CiFRUS (train),0.809985,0.623016,0.440010,0.713910,0.441980
GNB,0,CiFRUS (train/test),0.810187,0.615079,0.428221,0.708179,0.430138
GNB,0,CiFRUS (balanced-train/test),0.810537,0.654930,0.453468,0.733015,0.455284
GNB,1,Baseline,0.815254,0.635478,0.453233,0.722104,0.454261
GNB,1,ROS,0.814955,0.649030,0.444635,0.728284,0.446308
GNB,1,RUS,0.810933,0.658363,0.461902,0.736149,0.463133
GNB,1,SMOTE,0.817739,0.661947,0.466061,0.738881,0.467600
GNB,1,Borderline-SMOTE,0.811381,0.649573,0.436442,0.727478,0.440457
GNB,1,SVM-SMOTE,0.812627,0.654930,0.453468,0.733015,0.455284
GNB,1,ADASYN,0.812910,0.649123,0.443252,0.728149,0.445251
GNB,1,G-SMOTE,0.801306,0.437018,0.280911,0.622582,0.320748
GNB,1,CiFRUS (train),0.813194,0.623016,0.440010,0.713910,0.441980
GNB,1,CiFRUS (train/test),0.813179,0.615385,0.426804,0.708045,0.428363
GNB,1,CiFRUS (balanced-train/test),0.814373,0.654991,0.452064,0.732881,0.454222
GNB,2,Baseline,0.814157,0.642023,0.462479,0.726836,0.463438
GNB,2,ROS,0.814022,0.645390,0.440429,0.725552,0.441787
GNB,2,RUS,0.809993,0.654741,0.457722,0.733418,0.458681
GNB,2,SMOTE,0.817246,0.659574,0.462812,0.737015,0.464239
GNB,2,Borderline-SMOTE,0.805619,0.647458,0.430560,0.725343,0.435343
GNB,2,SVM-SMOTE,0.811455,0.647687,0.445087,0.727552,0.446273
GNB,2,ADASYN,0.810672,0.645724,0.436323,0.725149,0.438644
GNB,2,G-SMOTE,0.798216,0.443299,0.290058,0.626448,0.331983
GNB,2,CiFRUS (train),0.812209,0.629703,0.449342,0.718642,0.451226
GNB,2,CiFRUS (train/test),0.814104,0.628906,0.443970,0.717373,0.445069
GNB,2,CiFRUS (balanced-train/test),0.815112,0.650264,0.445570,0.729149,0.447465
GNB,3,Baseline,0.812784,0.631373,0.448849,0.719373,0.450158
GNB,3,ROS,0.814985,0.642984,0.437155,0.723687,0.438410
GNB,3,RUS,0.808194,0.655914,0.460074,0.734418,0.460957
GNB,3,SMOTE,0.815299,0.657194,0.459557,0.735149,0.460876
GNB,3,Borderline-SMOTE,0.804030,0.641766,0.421868,0.720612,0.426388
GNB,3,SVM-SMOTE,0.809366,0.653641,0.453957,0.732284,0.455260
GNB,3,ADASYN,0.808321,0.645503,0.439053,0.725418,0.440706
GNB,3,G-SMOTE,0.798187,0.446154,0.291464,0.627313,0.332017
GNB,3,CiFRUS (train),0.811903,0.625498,0.444916,0.715910,0.447175
GNB,3,CiFRUS (train/test),0.809590,0.605941,0.414006,0.701448,0.415742
GNB,3,CiFRUS (balanced-train/test),0.810806,0.648936,0.446025,0.728418,0.447400
GNB,4,Baseline,0.814634,0.618110,0.430250,0.709910,0.431712
GNB,4,ROS,0.812522,0.635879,0.425955,0.717955,0.427177
GNB,4,RUS,0.814530,0.649910,0.451171,0.729687,0.451961
GNB,4,SMOTE,0.821090,0.664286,0.472219,0.741015,0.473294
GNB,4,Borderline-SMOTE,0.807343,0.653266,0.436559,0.729806,0.442704
GNB,4,SVM-SMOTE,0.815269,0.650177,0.446960,0.729284,0.448537
GNB,4,ADASYN,0.814843,0.653913,0.448356,0.731746,0.450999
GNB,4,G-SMOTE,0.798500,0.435897,0.278343,0.621582,0.317070
GNB,4,CiFRUS (train),0.813560,0.625984,0.441997,0.715642,0.443499
GNB,4,CiFRUS (train/test),0.813075,0.618110,0.430250,0.709910,0.431712
GNB,4,CiFRUS (balanced-train/test),0.814739,0.644366,0.436738,0.724418,0.438487
GNB,5,Baseline,0.813090,0.636719,0.455676,0.723104,0.456804
GNB,5,ROS,0.811470,0.655971,0.458641,0.734284,0.459773
GNB,5,RUS,0.810709,0.654741,0.457722,0.733418,0.458681
GNB,5,SMOTE,0.815940,0.656028,0.457216,0.734149,0.458626
GNB,5,Borderline-SMOTE,0.804769,0.642978,0.422824,0.721478,0.427692
GNB,5,SVM-SMOTE,0.811873,0.652406,0.453031,0.731418,0.454149
GNB,5,ADASYN,0.809791,0.642234,0.430770,0.722284,0.433061
GNB,5,G-SMOTE,0.799769,0.433673,0.273223,0.619582,0.309810
GNB,5,CiFRUS (train),0.811067,0.627451,0.442985,0.716507,0.444278
GNB,5,CiFRUS (train/test),0.814104,0.628458,0.446889,0.717642,0.448640
GNB,5,CiFRUS (balanced-train/test),0.814978,0.657194,0.459557,0.735149,0.460876
GNB,6,Baseline,0.812403,0.628684,0.445426,0.717507,0.446830
GNB,6,ROS,0.810172,0.645390,0.440429,0.725552,0.441787
