classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.8107462686567164,0.6223091976516633,0.4346910755148742,0.7126417910447761,0.43586121780281556
GNB,0,ROS,0.8132014925373134,0.648936170212766,0.44602471438563773,0.7284179104477613,0.4473997059441001
GNB,0,RUS,0.8049477611940299,0.6498194945848375,0.4525895009111751,0.7298208955223882,0.4531744034812862
GNB,0,SMOTE,0.8122388059701493,0.6476868327402134,0.4450867052023122,0.7275522388059701,0.44627306082028434
GNB,0,Borderline-SMOTE,0.8113656716417911,0.6404109589041096,0.4222171271351599,0.7198805970149253,0.42594796098309856
GNB,0,SVM-SMOTE,0.8120447761194028,0.6441281138790036,0.4394815204063759,0.7246865671641791,0.4406529356938581
GNB,0,ADASYN,0.8105447761194029,0.6513274336283185,0.44928802306281124,0.7302835820895522,0.45077175218077276
GNB,0,G-SMOTE,0.8079925373134329,0.6512455516014235,0.4506918899982484,0.7304179104477613,0.4518931859467106
GNB,0,CiFRUS (train),0.8099925373134328,0.6230158730158729,0.4400098243890458,0.713910447761194,0.44197995566567866
GNB,0,CiFRUS (train/test),0.8101940298507463,0.6150793650793651,0.4282205575340784,0.7081791044776119,0.43013790270896496
GNB,0,CiFRUS (balanced-train/test),0.8105223880597016,0.6549295774647887,0.45346810735447896,0.7330149253731344,0.4552842019597785
GNB,1,Organic,0.8152537313432836,0.6354775828460039,0.45323302774647456,0.7221044776119403,0.4542613865932709
GNB,1,ROS,0.814955223880597,0.6490299823633157,0.444635018459839,0.7282835820895522,0.44630839706478664
GNB,1,RUS,0.8109253731343282,0.6583629893238434,0.4619022595901209,0.7361492537313433,0.4631334361995631
GNB,1,SMOTE,0.817179104477612,0.6714031971580816,0.4819589884199166,0.7466119402985074,0.48334242497882585
GNB,1,Borderline-SMOTE,0.8171194029850746,0.6632653061224489,0.4570383912248629,0.7388059701492538,0.4617570965396101
GNB,1,SVM-SMOTE,0.8144402985074627,0.6515679442508711,0.4451187792613144,0.7298805970149254,0.44761332873271836
GNB,1,ADASYN,0.8159701492537313,0.6560846560846562,0.45579813366667643,0.7340149253731343,0.4575135245229676
GNB,1,G-SMOTE,0.8128358208955224,0.6526315789473683,0.4488198109377719,0.7310149253731344,0.4508436993114617
GNB,1,CiFRUS (train),0.8131940298507463,0.6230158730158729,0.4400098243890458,0.713910447761194,0.44197995566567866
GNB,1,CiFRUS (train/test),0.8131791044776119,0.6153846153846154,0.4268042499770355,0.708044776119403,0.4283634658481415
GNB,1,CiFRUS (balanced-train/test),0.814365671641791,0.6549912434325744,0.45206431986093,0.7328805970149254,0.454221733016523
GNB,2,Organic,0.8141567164179104,0.642023346303502,0.4624794595581523,0.7268358208955223,0.46343755821956284
GNB,2,ROS,0.8140149253731344,0.6453900709219857,0.44042900442993704,0.7255522388059701,0.44178674570225046
GNB,2,RUS,0.8099925373134329,0.6547406082289803,0.4577223636842568,0.7334179104477612,0.4586811448078594
GNB,2,SMOTE,0.8163805970149254,0.6571936056838367,0.4595572149461832,0.7351492537313433,0.4608763484561763
GNB,2,Borderline-SMOTE,0.8132238805970149,0.6575342465753424,0.4497305972715808,0.7342089552238806,0.45370454817721845
GNB,2,SVM-SMOTE,0.8135522388059702,0.6440071556350627,0.4408639915708139,0.724820895522388,0.44178745982740497
GNB,2,ADASYN,0.8137164179104477,0.6515679442508711,0.4451187792613144,0.7298805970149254,0.44761332873271836
GNB,2,G-SMOTE,0.8138283582089552,0.6477876106194691,0.4436970385253778,0.7274179104477612,0.44516230397164
GNB,2,CiFRUS (train),0.8122089552238805,0.6297029702970298,0.44934204472255457,0.7186417910447761,0.4512260223535649
GNB,2,CiFRUS (train/test),0.8140970149253731,0.62890625,0.44397024753078884,0.7173731343283583,0.44506936887229726
GNB,2,CiFRUS (balanced-train/test),0.8151119402985074,0.6502636203866433,0.44556984067098115,0.7291492537313433,0.44746508534046553
GNB,3,Organic,0.8127835820895521,0.6313725490196079,0.4488487143467905,0.7193731343283583,0.45015831872400824
GNB,3,ROS,0.8149850746268655,0.6429840142095915,0.4371554414724499,0.7236865671641791,0.4384102719335268
GNB,3,RUS,0.8081865671641791,0.6559139784946236,0.4600738180326909,0.7344179104477613,0.46095681270223143
GNB,3,SMOTE,0.8139776119402984,0.657243816254417,0.45813209194064586,0.7350149253731344,0.4597489840872861
GNB,3,Borderline-SMOTE,0.8117835820895523,0.6484641638225256,0.4341630901287553,0.7264776119402985,0.43831653576519813
GNB,3,SVM-SMOTE,0.811768656716418,0.648936170212766,0.44602471438563773,0.7284179104477613,0.4473997059441001
GNB,3,ADASYN,0.8128059701492538,0.650088809946714,0.4483563282093166,0.7294179104477612,0.44964331019485154
GNB,3,G-SMOTE,0.8103955223880599,0.6404293381037568,0.43524453419966636,0.7219552238805971,0.4361562315005868
GNB,3,CiFRUS (train),0.8118955223880597,0.6254980079681274,0.44491603616903486,0.715910447761194,0.4471749794328445
GNB,3,CiFRUS (train/test),0.8095970149253732,0.605940594059406,0.41400570534646175,0.7014477611940299,0.41574152663704456
GNB,3,CiFRUS (balanced-train/test),0.8107910447761194,0.648936170212766,0.44602471438563773,0.7284179104477613,0.4473997059441001
GNB,4,Organic,0.814634328358209,0.6181102362204725,0.4302496328928047,0.7099104477611939,0.4317117486486818
GNB,4,ROS,0.8125223880597017,0.635879218472469,0.4259545547355832,0.7179552238805971,0.427177233672202
GNB,4,RUS,0.8145223880597016,0.6499102333931778,0.4511712451259198,0.7296865671641791,0.4519613671795475
GNB,4,SMOTE,0.8197388059701493,0.6595365418894831,0.4642512783053324,0.7371492537313433,0.46539696007754866
GNB,4,Borderline-SMOTE,0.8177985074626867,0.6504347826086957,0.44281135398920035,0.7288805970149254,0.44542205990266015
GNB,4,SVM-SMOTE,0.8139776119402985,0.6476868327402134,0.4450867052023122,0.7275522388059701,0.44627306082028434
GNB,4,ADASYN,0.8177611940298507,0.6596491228070175,0.4599547642521603,0.7367462686567164,0.46202886409603344
