classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,ROS,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,RUS,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,SMOTE,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,Borderline-SMOTE,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,SVM-SMOTE,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,ADASYN,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,G-SMOTE,0.989592,0.942029,0.885714,0.942857,0.886076
GNB,0,CiFRUS (train),0.989796,0.942029,0.885714,0.942857,0.886076
GNB,0,CiFRUS (train/test),0.988163,0.942029,0.885714,0.942857,0.886076
GNB,0,CiFRUS (balanced-train/test),0.988163,0.942029,0.885714,0.942857,0.886076
GNB,1,Baseline,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,ROS,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,RUS,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,SMOTE,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,Borderline-SMOTE,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,SVM-SMOTE,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,ADASYN,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,G-SMOTE,0.988980,0.942029,0.885714,0.942857,0.886076
GNB,1,CiFRUS (train),0.989184,0.935252,0.871429,0.935714,0.871518
GNB,1,CiFRUS (train/test),0.988367,0.935252,0.871429,0.935714,0.871518
GNB,1,CiFRUS (balanced-train/test),0.987347,0.935252,0.871429,0.935714,0.871518
GNB,2,Baseline,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,ROS,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,RUS,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,SMOTE,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,Borderline-SMOTE,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,SVM-SMOTE,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,ADASYN,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,G-SMOTE,0.988571,0.942029,0.885714,0.942857,0.886076
GNB,2,CiFRUS (train),0.988776,0.942029,0.885714,0.942857,0.886076
GNB,2,CiFRUS (train/test),0.988367,0.935252,0.871429,0.935714,0.871518
GNB,2,CiFRUS (balanced-train/test),0.988163,0.935252,0.871429,0.935714,0.871518
GNB,3,Baseline,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,ROS,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,RUS,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,SMOTE,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,Borderline-SMOTE,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,SVM-SMOTE,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,ADASYN,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,G-SMOTE,0.989388,0.942029,0.885714,0.942857,0.886076
GNB,3,CiFRUS (train),0.989184,0.942029,0.885714,0.942857,0.886076
GNB,3,CiFRUS (train/test),0.988367,0.935252,0.871429,0.935714,0.871518
GNB,3,CiFRUS (balanced-train/test),0.988571,0.942029,0.885714,0.942857,0.886076
GNB,4,Baseline,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,ROS,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,RUS,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,SMOTE,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,Borderline-SMOTE,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,SVM-SMOTE,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,ADASYN,0.989184,0.942857,0.885714,0.942857,0.885714
GNB,4,G-SMOTE,0.989184,0.942857,0.885714,0.942857,0.885714
