classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.732976,0.631579,0.357658,0.680776,0.358330
GNB,0,ROS,0.731413,0.646552,0.376310,0.691228,0.377888
GNB,0,RUS,0.731355,0.646809,0.371230,0.689404,0.373650
GNB,0,SMOTE,0.742009,0.652361,0.384740,0.695773,0.386630
GNB,0,Borderline-SMOTE,0.734424,0.666667,0.387786,0.700753,0.395305
GNB,0,SVM-SMOTE,0.728633,0.644351,0.359495,0.684395,0.363238
GNB,0,ADASYN,0.735119,0.633333,0.337768,0.673480,0.341660
GNB,0,G-SMOTE,0.730313,0.640693,0.367858,0.686682,0.369156
GNB,0,CiFRUS (train),0.710481,0.638298,0.272868,0.647944,0.304193
GNB,0,CiFRUS (train/test),0.707354,0.552995,0.247100,0.623046,0.247167
GNB,0,CiFRUS (balanced-train/test),0.715055,0.579186,0.282071,0.641228,0.282080
GNB,1,Baseline,0.740127,0.622222,0.347376,0.674870,0.347632
GNB,1,ROS,0.738680,0.640351,0.372952,0.688506,0.373652
GNB,1,RUS,0.736074,0.643478,0.374636,0.689867,0.375730
GNB,1,SMOTE,0.745281,0.646552,0.376310,0.691228,0.377888
GNB,1,Borderline-SMOTE,0.748292,0.649573,0.377976,0.692588,0.380126
GNB,1,SVM-SMOTE,0.744586,0.640693,0.367858,0.686682,0.369156
GNB,1,ADASYN,0.744876,0.649573,0.377976,0.692588,0.380126
GNB,1,G-SMOTE,0.739548,0.625551,0.349135,0.676230,0.349638
GNB,1,CiFRUS (train),0.719977,0.643357,0.276500,0.650666,0.312906
GNB,1,CiFRUS (train/test),0.732195,0.599078,0.324719,0.661697,0.324807
GNB,1,CiFRUS (balanced-train/test),0.737580,0.597285,0.312950,0.656688,0.312959
GNB,2,Baseline,0.744876,0.622807,0.342365,0.673046,0.343007
GNB,2,ROS,0.743717,0.649573,0.377976,0.692588,0.380126
GNB,2,RUS,0.735611,0.623377,0.337393,0.671222,0.338584
GNB,2,SMOTE,0.755704,0.661017,0.394764,0.701679,0.397688
GNB,2,Borderline-SMOTE,0.749218,0.663934,0.386172,0.699392,0.392560
GNB,2,SVM-SMOTE,0.744239,0.646552,0.376310,0.691228,0.377888
GNB,2,ADASYN,0.750087,0.675000,0.413021,0.712131,0.417780
GNB,2,G-SMOTE,0.745455,0.649573,0.377976,0.692588,0.380126
GNB,2,CiFRUS (train),0.725594,0.638298,0.272868,0.647944,0.304193
GNB,2,CiFRUS (train/test),0.731442,0.609091,0.335206,0.667603,0.335206
