classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.842753,0.843188,0.434774,0.768611,0.459615
GNB,0,ROS,0.845712,0.834197,0.416513,0.761535,0.444011
GNB,0,RUS,0.843353,0.840206,0.428621,0.766252,0.454355
GNB,0,SMOTE,0.840137,0.852041,0.453641,0.775686,0.475771
GNB,0,Borderline-SMOTE,0.787221,0.742690,0.350832,0.772256,0.440579
GNB,0,SVM-SMOTE,0.840137,0.802168,0.390049,0.767238,0.439169
GNB,0,ADASYN,0.831046,0.786704,0.380958,0.771269,0.441820
GNB,0,G-SMOTE,0.845326,0.829396,0.422866,0.772642,0.457525
GNB,0,CiFRUS (train),0.846913,0.822281,0.417277,0.774657,0.457223
GNB,0,CiFRUS (train/test),0.844082,0.838542,0.440743,0.779717,0.472576
GNB,0,CiFRUS (balanced-train/test),0.844383,0.840731,0.452667,0.788808,0.486805
GNB,1,Baseline,0.848628,0.846154,0.440994,0.770969,0.464937
GNB,1,ROS,0.859305,0.837209,0.422534,0.763894,0.449154
GNB,1,RUS,0.850086,0.846154,0.440994,0.770969,0.464937
GNB,1,SMOTE,0.841852,0.846154,0.440994,0.770969,0.464937
GNB,1,Borderline-SMOTE,0.774828,0.742690,0.350832,0.772256,0.440579
GNB,1,SVM-SMOTE,0.841895,0.796748,0.373338,0.755789,0.420354
GNB,1,ADASYN,0.853259,0.802198,0.412828,0.789794,0.473367
GNB,1,G-SMOTE,0.849400,0.832461,0.428762,0.775000,0.462489
GNB,1,CiFRUS (train),0.854974,0.815013,0.411913,0.776672,0.457382
GNB,1,CiFRUS (train/test),0.854717,0.847545,0.459199,0.786792,0.488128
GNB,1,CiFRUS (balanced-train/test),0.854202,0.844560,0.452981,0.784434,0.482886
GNB,2,Baseline,0.831046,0.851282,0.459627,0.782419,0.484582
GNB,2,ROS,0.835292,0.842377,0.440866,0.775343,0.468641
GNB,2,RUS,0.832419,0.851282,0.459627,0.782419,0.484582
GNB,2,SMOTE,0.830875,0.852041,0.453641,0.775686,0.475771
GNB,2,Borderline-SMOTE,0.807290,0.742690,0.350832,0.772256,0.440579
GNB,2,SVM-SMOTE,0.853859,0.800000,0.378640,0.758148,0.424820
GNB,2,ADASYN,0.835506,0.778711,0.376666,0.773285,0.443742
GNB,2,G-SMOTE,0.841681,0.834646,0.440624,0.784091,0.476738
GNB,2,CiFRUS (train),0.842067,0.811828,0.406365,0.774314,0.452767
GNB,2,CiFRUS (train/test),0.842238,0.836364,0.428693,0.770626,0.458313
GNB,2,CiFRUS (balanced-train/test),0.841981,0.835509,0.434721,0.777358,0.467506
GNB,3,Baseline,0.850986,0.860051,0.479015,0.789494,0.501107
GNB,3,ROS,0.859648,0.833333,0.422703,0.768268,0.453233
