classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.508066,0.663774,-0.012611,0.493590,-0.012625
GNB,0,ROS,0.517152,0.343499,0.009059,0.506208,0.013898
GNB,0,RUS,0.527826,0.409786,0.039053,0.526045,0.054839
GNB,0,SMOTE,0.517296,0.286195,-0.002179,0.498470,-0.003701
GNB,0,Borderline-SMOTE,0.511579,0.311987,-0.003039,0.497892,-0.004884
GNB,0,SVM-SMOTE,0.527961,0.355769,0.025177,0.517238,0.038503
GNB,0,ADASYN,0.519529,0.305141,0.002071,0.501444,0.003400
GNB,0,G-SMOTE,0.513562,0.380805,0.011220,0.507536,0.016093
GNB,0,CiFRUS (train),0.545161,0.707596,0.038444,0.518653,0.038586
GNB,0,CiFRUS (train/test),0.543322,0.756027,0.045784,0.520155,0.049517
GNB,0,CiFRUS (balanced-train/test),0.534477,0.433083,0.052205,0.534477,0.071318
GNB,1,Baseline,0.510929,0.654945,-0.011541,0.494052,-0.011582
GNB,1,ROS,0.523952,0.310000,0.016485,0.511521,0.027367
GNB,1,RUS,0.518591,0.473759,0.032605,0.520761,0.040847
GNB,1,SMOTE,0.516911,0.299320,0.031084,0.521945,0.054093
GNB,1,Borderline-SMOTE,0.508186,0.318408,0.021125,0.514726,0.034682
GNB,1,SVM-SMOTE,0.546580,0.326733,0.025788,0.517931,0.041883
GNB,1,ADASYN,0.515737,0.301003,0.008662,0.506064,0.014488
GNB,1,G-SMOTE,0.511550,0.363067,0.000085,0.500058,0.000125
GNB,1,CiFRUS (train),0.554670,0.718266,0.056612,0.527200,0.056984
GNB,1,CiFRUS (train/test),0.540906,0.733728,0.012216,0.505544,0.012746
GNB,1,CiFRUS (balanced-train/test),0.523042,0.437690,0.075603,0.550243,0.105085
GNB,2,Baseline,0.507652,0.649724,-0.015375,0.492030,-0.015451
GNB,2,ROS,0.506906,0.337621,0.002652,0.501819,0.004082
GNB,2,RUS,0.504245,0.369906,0.013234,0.508951,0.019408
GNB,2,SMOTE,0.502835,0.295416,0.023210,0.516372,0.040224
GNB,2,Borderline-SMOTE,0.504187,0.307947,0.003607,0.502512,0.005900
GNB,2,SVM-SMOTE,0.524505,0.294915,0.020034,0.514120,0.034579
GNB,2,ADASYN,0.513552,0.299160,0.013535,0.509500,0.022903
GNB,2,G-SMOTE,0.501323,0.348950,0.026958,0.518538,0.041889
GNB,2,CiFRUS (train),0.532889,0.697228,0.054703,0.527287,0.054705
GNB,2,CiFRUS (train/test),0.535824,0.716751,0.016491,0.507767,0.016743
GNB,2,CiFRUS (balanced-train/test),0.526661,0.433846,0.087105,0.558299,0.123601
GNB,3,Baseline,0.508066,0.661622,-0.025995,0.486833,-0.026012
GNB,3,ROS,0.518961,0.382582,0.021224,0.514293,0.030693
GNB,3,RUS,0.504168,0.419162,0.021920,0.514438,0.029731
GNB,3,SMOTE,0.516805,0.307179,0.014944,0.510453,0.024901
GNB,3,Borderline-SMOTE,0.503484,0.331148,0.022459,0.515564,0.035967
GNB,3,SVM-SMOTE,0.521512,0.339257,0.012471,0.508576,0.019379
GNB,3,ADASYN,0.514110,0.328407,0.020900,0.514495,0.033586
GNB,3,G-SMOTE,0.508124,0.355556,0.010344,0.507046,0.015530
GNB,3,CiFRUS (train),0.528981,0.710744,0.033613,0.516170,0.033820
GNB,3,CiFRUS (train/test),0.534958,0.745292,0.065868,0.530088,0.068317
GNB,3,CiFRUS (balanced-train/test),0.523966,0.416667,0.063953,0.542879,0.091234
GNB,4,Baseline,0.522402,0.676026,0.015467,0.507825,0.015475
GNB,4,ROS,0.524910,0.347967,0.035110,0.524226,0.055278
GNB,4,RUS,0.527874,0.465714,0.029295,0.518740,0.037061
GNB,4,SMOTE,0.529982,0.296296,0.012003,0.508432,0.020390
GNB,4,Borderline-SMOTE,0.517566,0.350081,0.033451,0.523042,0.052319
GNB,4,SVM-SMOTE,0.543842,0.347826,0.020443,0.514033,0.031561
GNB,4,ADASYN,0.525723,0.301508,0.011869,0.508316,0.019928
GNB,4,G-SMOTE,0.523302,0.396369,0.000479,0.500318,0.000661
GNB,4,CiFRUS (train),0.546585,0.719335,0.074957,0.536325,0.075256
GNB,4,CiFRUS (train/test),0.555065,0.744828,0.051222,0.523216,0.053511
GNB,4,CiFRUS (balanced-train/test),0.536373,0.442073,0.087222,0.558068,0.121852
GNB,5,Baseline,0.503316,0.663793,-0.026316,0.486717,-0.026325
GNB,5,ROS,0.507835,0.352000,0.017053,0.511666,0.025997
GNB,5,RUS,0.489523,0.312812,0.018029,0.512590,0.029818
GNB,5,SMOTE,0.517527,0.294416,0.016852,0.511868,0.028970
GNB,5,Borderline-SMOTE,0.502661,0.351220,0.039922,0.527547,0.062855
GNB,5,SVM-SMOTE,0.529866,0.333333,0.035339,0.524573,0.057395
GNB,5,ADASYN,0.506622,0.311037,0.022891,0.516026,0.038289
GNB,5,G-SMOTE,0.512354,0.363344,0.041384,0.528384,0.063689
GNB,5,CiFRUS (train),0.557702,0.738000,0.058673,0.527114,0.060288
GNB,5,CiFRUS (train/test),0.547817,0.753595,0.022814,0.509962,0.024974
GNB,5,CiFRUS (balanced-train/test),0.534929,0.430303,0.058936,0.539097,0.081509
GNB,6,Baseline,0.521469,0.676056,0.022181,0.511261,0.022201
GNB,6,ROS,0.521935,0.320132,0.016237,0.511290,0.026371
GNB,6,RUS,0.528216,0.470756,0.036189,0.523129,0.045693
GNB,6,SMOTE,0.537249,0.303333,0.006982,0.504880,0.011591
GNB,6,Borderline-SMOTE,0.524164,0.308458,0.006834,0.504764,0.011221
GNB,6,SVM-SMOTE,0.555060,0.336601,0.025586,0.517700,0.040694
GNB,6,ADASYN,0.514721,0.303840,0.010196,0.507132,0.016991
GNB,6,G-SMOTE,0.528355,0.371069,0.019859,0.513456,0.029292
GNB,6,CiFRUS (train),0.569560,0.731405,0.102641,0.549376,0.103273
GNB,6,CiFRUS (train/test),0.564314,0.754902,0.078171,0.535199,0.082214
GNB,6,CiFRUS (balanced-train/test),0.546036,0.411215,0.068886,0.546431,0.099894
GNB,7,Baseline,0.531897,0.678186,0.022031,0.511146,0.022043
GNB,7,ROS,0.527778,0.292517,0.021677,0.515304,0.037722
GNB,7,RUS,0.498489,0.449502,-0.007242,0.495380,-0.009108
GNB,7,SMOTE,0.525824,0.305085,0.034168,0.524082,0.058974
GNB,7,Borderline-SMOTE,0.513947,0.361290,0.043036,0.529568,0.066656
GNB,7,SVM-SMOTE,0.558279,0.355049,0.047958,0.533120,0.075760
GNB,7,ADASYN,0.521060,0.322795,0.032295,0.522551,0.053413
GNB,7,G-SMOTE,0.535738,0.400000,0.020757,0.513831,0.029073
GNB,7,CiFRUS (train),0.562052,0.716823,0.077167,0.537624,0.077365
GNB,7,CiFRUS (train/test),0.558231,0.733728,0.012216,0.505544,0.012746
GNB,7,CiFRUS (balanced-train/test),0.554632,0.435459,0.105049,0.570744,0.151913
GNB,8,Baseline,0.514567,0.652031,-0.022380,0.488479,-0.022453
GNB,8,ROS,0.528899,0.363057,0.026661,0.518191,0.040271
GNB,8,RUS,0.531041,0.331148,0.022459,0.515564,0.035967
GNB,8,SMOTE,0.514341,0.323967,0.024231,0.516863,0.039495
GNB,8,Borderline-SMOTE,0.501227,0.326123,0.037050,0.525872,0.061278
GNB,8,SVM-SMOTE,0.528273,0.394410,0.037636,0.525323,0.054277
GNB,8,ADASYN,0.506901,0.306397,0.026185,0.518393,0.044480
GNB,8,G-SMOTE,0.521854,0.451895,0.036585,0.523706,0.047643
GNB,8,CiFRUS (train),0.552832,0.719008,0.061224,0.529453,0.061601
GNB,8,CiFRUS (train/test),0.556961,0.750487,0.048542,0.521685,0.051510
GNB,8,CiFRUS (balanced-train/test),0.526806,0.451420,0.074025,0.548712,0.100165
GNB,9,Baseline,0.509452,0.681034,0.026316,0.513283,0.026325
GNB,9,ROS,0.517364,0.346840,0.028631,0.519722,0.044780
GNB,9,RUS,0.500592,0.430014,-0.018612,0.488017,-0.023883
GNB,9,SMOTE,0.518846,0.322368,0.014559,0.510106,0.023479
GNB,9,Borderline-SMOTE,0.519606,0.324059,0.009634,0.506670,0.015375
GNB,9,SVM-SMOTE,0.527234,0.362205,0.008473,0.505746,0.012534
GNB,9,ADASYN,0.512460,0.313333,0.021236,0.514842,0.035254
GNB,9,G-SMOTE,0.507787,0.387970,-0.023217,0.484667,-0.031717
GNB,9,CiFRUS (train),0.542831,0.706986,0.040785,0.519837,0.040911
GNB,9,CiFRUS (train/test),0.534044,0.737978,0.016779,0.507565,0.017623
GNB,9,CiFRUS (balanced-train/test),0.527836,0.439098,0.062261,0.541118,0.085056
KNN,0,Baseline,0.499244,0.749027,0.038561,0.517181,0.041049
KNN,0,ROS,0.500308,0.630485,0.018719,0.510135,0.019166
KNN,0,RUS,0.528630,0.607443,0.032171,0.518047,0.033779
KNN,0,SMOTE,0.515357,0.624413,0.033512,0.518422,0.034645
