classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.662614,0.450512,0.222973,0.610000,0.223100
GNB,0,ROS,0.655133,0.481383,0.188852,0.608095,0.199061
GNB,0,RUS,0.663786,0.486264,0.206282,0.615714,0.214342
GNB,0,SMOTE,0.661533,0.496718,0.156891,0.601905,0.191848
GNB,0,Borderline-SMOTE,0.656171,0.500528,0.153543,0.602143,0.195888
GNB,0,SVM-SMOTE,0.650290,0.490082,0.164116,0.602143,0.188460
GNB,0,ADASYN,0.666214,0.505423,0.169096,0.610476,0.208818
GNB,0,G-SMOTE,0.669314,0.482370,0.208369,0.615000,0.214379
GNB,0,CiFRUS (train),0.645310,0.449612,0.189498,0.598810,0.190506
GNB,0,CiFRUS (train/test),0.665681,0.447552,0.227006,0.610476,0.227540
GNB,0,CiFRUS (balanced-train/test),0.657357,0.483940,0.129335,0.585238,0.162177
GNB,1,Baseline,0.652371,0.437288,0.201923,0.600000,0.201981
GNB,1,ROS,0.652171,0.493639,0.194984,0.614762,0.210445
GNB,1,RUS,0.650157,0.494354,0.192061,0.614048,0.209057
GNB,1,SMOTE,0.649605,0.489035,0.144640,0.593810,0.176439
GNB,1,Borderline-SMOTE,0.645943,0.485923,0.125266,0.584048,0.162497
GNB,1,SVM-SMOTE,0.640214,0.483645,0.153905,0.595714,0.176558
GNB,1,ADASYN,0.650000,0.490196,0.144737,0.594286,0.177852
GNB,1,G-SMOTE,0.654086,0.491713,0.216354,0.620952,0.224316
GNB,1,CiFRUS (train),0.639067,0.469173,0.208520,0.610714,0.210771
GNB,1,CiFRUS (train/test),0.663033,0.446809,0.230769,0.611429,0.231684
GNB,1,CiFRUS (balanced-train/test),0.650038,0.488273,0.135447,0.589524,0.170731
GNB,2,Baseline,0.666400,0.467005,0.243516,0.620714,0.243573
GNB,2,ROS,0.659433,0.475943,0.173503,0.600714,0.184968
GNB,2,RUS,0.657300,0.485679,0.175978,0.605000,0.192472
GNB,2,SMOTE,0.662314,0.494357,0.161677,0.602857,0.191393
GNB,2,Borderline-SMOTE,0.648624,0.472505,0.095670,0.565238,0.128391
GNB,2,SVM-SMOTE,0.655938,0.497110,0.173004,0.608333,0.200278
GNB,2,ADASYN,0.668329,0.508108,0.172727,0.613095,0.214106
GNB,2,G-SMOTE,0.671105,0.489209,0.224891,0.622619,0.229891
GNB,2,CiFRUS (train),0.649662,0.466667,0.207207,0.609524,0.209125
GNB,2,CiFRUS (train/test),0.669281,0.442509,0.218750,0.606667,0.219192
GNB,2,CiFRUS (balanced-train/test),0.650271,0.477644,0.123994,0.580714,0.152177
GNB,3,Baseline,0.665967,0.441026,0.210145,0.603571,0.210283
GNB,3,ROS,0.661657,0.485906,0.198745,0.613095,0.208573
GNB,3,RUS,0.671219,0.507343,0.230609,0.631667,0.242614
GNB,3,SMOTE,0.663505,0.505774,0.186930,0.617143,0.216622
GNB,3,Borderline-SMOTE,0.635924,0.487552,0.126591,0.585238,0.165394
GNB,3,SVM-SMOTE,0.640776,0.482840,0.156371,0.596429,0.177477
GNB,3,ADASYN,0.657676,0.504875,0.167881,0.609762,0.207576
GNB,3,G-SMOTE,0.665329,0.483965,0.220951,0.619524,0.225017
GNB,3,CiFRUS (train),0.642995,0.458084,0.190519,0.601429,0.192760
GNB,3,CiFRUS (train/test),0.663505,0.417699,0.189655,0.591667,0.190364
GNB,3,CiFRUS (balanced-train/test),0.642343,0.474758,0.114772,0.575476,0.143358
GNB,4,Baseline,0.663862,0.447863,0.219807,0.608333,0.219951
GNB,4,ROS,0.664605,0.501377,0.230442,0.629048,0.239182
GNB,4,RUS,0.654114,0.491844,0.188051,0.611667,0.204692
GNB,4,SMOTE,0.664629,0.509670,0.189240,0.619762,0.222320
GNB,4,Borderline-SMOTE,0.663338,0.500528,0.153543,0.602143,0.195888
GNB,4,SVM-SMOTE,0.655810,0.492647,0.182464,0.610000,0.201737
GNB,4,ADASYN,0.658229,0.498353,0.160544,0.604048,0.195603
GNB,4,G-SMOTE,0.668443,0.500000,0.235751,0.630000,0.242433
GNB,4,CiFRUS (train),0.644738,0.465465,0.202509,0.607619,0.204759
GNB,4,CiFRUS (train/test),0.670590,0.458904,0.235977,0.616190,0.236154
GNB,4,CiFRUS (balanced-train/test),0.655386,0.489572,0.145849,0.594524,0.177699
GNB,5,Baseline,0.669076,0.452830,0.227977,0.612143,0.228170
GNB,5,ROS,0.667752,0.499322,0.222831,0.625952,0.232729
GNB,5,RUS,0.660014,0.489583,0.195402,0.613333,0.208170
GNB,5,SMOTE,0.662381,0.505568,0.176558,0.613333,0.211853
GNB,5,Borderline-SMOTE,0.652481,0.491192,0.132509,0.589286,0.173376
GNB,5,SVM-SMOTE,0.647748,0.496018,0.166667,0.605476,0.195800
GNB,5,ADASYN,0.663633,0.504329,0.166667,0.609048,0.206333
GNB,5,G-SMOTE,0.671505,0.495105,0.225322,0.625000,0.232513
GNB,5,CiFRUS (train),0.650719,0.475610,0.222423,0.617143,0.224227
GNB,5,CiFRUS (train/test),0.675662,0.450704,0.233792,0.613333,0.234517
GNB,5,CiFRUS (balanced-train/test),0.654086,0.484591,0.128325,0.585000,0.162399
GNB,6,Baseline,0.662557,0.447504,0.221629,0.608810,0.221865
GNB,6,ROS,0.659962,0.493438,0.203795,0.617619,0.216225
