classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.688584,0.541667,0.230097,0.631419,0.247670
GNB,0,ROS,0.679100,0.564246,0.247950,0.646860,0.279707
GNB,0,RUS,0.684970,0.559557,0.237202,0.641178,0.269543
GNB,0,SMOTE,0.684594,0.533742,0.227085,0.627516,0.240159
GNB,0,Borderline-SMOTE,0.661635,0.513274,0.179249,0.602894,0.194047
GNB,0,SVM-SMOTE,0.672247,0.516717,0.195622,0.610412,0.207931
GNB,0,ADASYN,0.686560,0.551320,0.241481,0.639082,0.262447
GNB,0,G-SMOTE,0.682483,0.000000,0.000000,0.500000,0.000000
GNB,0,CiFRUS (train),0.684652,0.525952,0.256243,0.634773,0.259041
GNB,0,CiFRUS (train/test),0.686965,0.543624,0.273622,0.646282,0.278825
GNB,0,CiFRUS (balanced-train/test),0.681471,0.539326,0.206808,0.622094,0.232192
GNB,1,Baseline,0.706844,0.561404,0.257593,0.648609,0.280520
GNB,1,ROS,0.705659,0.590426,0.278667,0.669876,0.329588
GNB,1,RUS,0.703808,0.581522,0.269450,0.662185,0.311727
GNB,1,SMOTE,0.703027,0.565476,0.270092,0.654262,0.290719
GNB,1,Borderline-SMOTE,0.705659,0.573913,0.276061,0.660060,0.302484
GNB,1,SVM-SMOTE,0.709996,0.574018,0.289106,0.663732,0.308367
GNB,1,ADASYN,0.709273,0.574648,0.268492,0.658252,0.300743
GNB,1,G-SMOTE,0.690319,0.000000,0.000000,0.500000,0.000000
GNB,1,CiFRUS (train),0.686040,0.525597,0.250863,0.632908,0.254439
GNB,1,CiFRUS (train/test),0.686849,0.544262,0.266829,0.644445,0.273968
GNB,1,CiFRUS (balanced-train/test),0.695032,0.545961,0.215477,0.627834,0.243662
GNB,2,Baseline,0.709172,0.584071,0.298631,0.671423,0.323284
GNB,2,ROS,0.706801,0.581006,0.276875,0.663992,0.312337
GNB,2,RUS,0.712815,0.599440,0.309500,0.683018,0.348309
GNB,2,SMOTE,0.709750,0.573134,0.283885,0.661867,0.304996
GNB,2,Borderline-SMOTE,0.698242,0.584527,0.290615,0.669616,0.321159
GNB,2,SVM-SMOTE,0.706396,0.579104,0.293901,0.667577,0.315756
GNB,2,ADASYN,0.707003,0.576369,0.278454,0.661982,0.306395
GNB,2,G-SMOTE,0.690811,0.000000,0.000000,0.500000,0.000000
