classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.9152886664219412,0.351063829787234,0.26652109928637724,0.8301764673576685,0.3710104099853163
GNB,0,ROS,0.9147491375102355,0.2840435324056527,0.18504865118882396,0.7942476222719913,0.30818633781542615
GNB,0,RUS,0.9131615996124796,0.2907223400692196,0.19325476246047246,0.7982849689274395,0.31427408615695324
GNB,0,SMOTE,0.9093116252324793,0.3169331440212359,0.2251092334278666,0.8150162552550628,0.34014648085155014
GNB,0,Borderline-SMOTE,0.8590188518521754,0.28592095745380414,0.19137614839271833,0.7518603593837507,0.2771364260887269
GNB,0,SVM-SMOTE,0.9116677529432555,0.2808391908568975,0.18122293711577753,0.7907222276218724,0.304003124594019
GNB,0,ADASYN,0.8759336312596294,0.29635248751501364,0.20228797790463393,0.776622079538416,0.300727278902864
GNB,0,G-SMOTE,0.8720317917287771,0.0,-0.0024566408415627183,0.4993287464339654,-0.009793152479264227
GNB,0,CiFRUS (train),0.899030193968537,0.40435788661781724,0.3345491156850102,0.8043830797103021,0.3931983710872058
GNB,0,CiFRUS (train/test),0.92405976698069,0.4344524380495604,0.36913951666543854,0.8245655112548701,0.4271400376032256
GNB,0,CiFRUS (balanced-train/test),0.9176739542803503,0.35215899342293394,0.26824559391311387,0.8255517483779006,0.36861777697730247
GNB,1,Organic,0.9155378716501034,0.3523969722455845,0.26805973716830056,0.8316321635125141,0.37283118093604184
GNB,1,ROS,0.9145595252793127,0.2837801245599783,0.1847530886446056,0.793715556484662,0.30764119898520736
GNB,1,RUS,0.914035024432518,0.28487358326068,0.18611882734043328,0.7941197920857038,0.3084140815818038
GNB,1,SMOTE,0.9100498432855878,0.3191581553698545,0.22769109379161312,0.8177875841670905,0.3433999873485575
GNB,1,Borderline-SMOTE,0.859992173595572,0.2876530069185737,0.19361155268722974,0.7519556236719227,0.27827545720994695
GNB,1,SVM-SMOTE,0.9110698681006293,0.2803275156216332,0.18071753384556455,0.7888030744977221,0.3022049536841118
GNB,1,ADASYN,0.8763459765176508,0.2963994178320572,0.2023638686894339,0.7764538283374283,0.3006339017940374
GNB,1,G-SMOTE,0.872241940278755,0.0,-0.0024566408415627183,0.4993287464339654,-0.009793152479264227
GNB,1,CiFRUS (train),0.8996923298976285,0.40405209840810424,0.3342264738240932,0.8038929672708499,0.3927010550753816
GNB,1,CiFRUS (train/test),0.9241961191793968,0.4333167082294265,0.3678257882799725,0.8239357732272335,0.4259290035385903
GNB,1,CiFRUS (balanced-train/test),0.9185044788622427,0.35396972066244936,0.2701578558084585,0.8297110402457077,0.3725433544791704
GNB,2,Organic,0.9155833529278529,0.35179472798653955,0.2673854420413275,0.8307080953355188,0.37182931096148963
GNB,2,ROS,0.914647382441995,0.2852168235486152,0.18648041483101374,0.7951142203186402,0.3093719392833602
GNB,2,RUS,0.9141678843370075,0.2856052760669319,0.18695694889924586,0.7953657215011636,0.30973637610631705
GNB,2,SMOTE,0.9092431284122287,0.31615289765721327,0.2241965263883049,0.8141345782354237,0.339072180434977
GNB,2,Borderline-SMOTE,0.8600936944866489,0.28765946196047326,0.19346621042429502,0.753343148818223,0.2792268229029795
GNB,2,SVM-SMOTE,0.9113856814593123,0.2811625403659849,0.18165119442488054,0.7905393352573736,0.3039753547401395
GNB,2,ADASYN,0.8761589809619871,0.2975112405800773,0.20364130295088967,0.7779936500927678,0.3023761359068995
GNB,2,G-SMOTE,0.872012660472701,0.0,-0.0024566408415627183,0.4993287464339654,-0.009793152479264227
GNB,2,CiFRUS (train),0.8988075373035568,0.4022635718396317,0.33206328102599214,0.8036279194485132,0.3911835693612551
GNB,2,CiFRUS (train/test),0.9242661126971692,0.4336939102564103,0.3683597283663669,0.8231371272843906,0.4258012633877088
GNB,2,CiFRUS (balanced-train/test),0.9184788975525615,0.35308326229042347,0.2691449536380712,0.828633143126496,0.37125850581258807
GNB,3,Organic,0.9153776995612477,0.35192832645061944,0.26749981152769997,0.8313664589759587,0.372356798437256
GNB,3,ROS,0.9143211125638917,0.2821827602957845,0.18286879075371198,0.7916725134595362,0.3053162553113168
GNB,3,RUS,0.913908441494165,0.28279129872926984,0.18351387516389916,0.7933952275793743,0.3069867315739682
GNB,3,SMOTE,0.9102692876507854,0.31647434323594403,0.2244672294851544,0.8158717146140335,0.34053000750315593
