classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.918218,0.427095,0.407778,0.838238,0.448550
GNB,0,ROS,0.918124,0.201407,0.167106,0.858676,0.281319
GNB,0,RUS,0.913139,0.202873,0.168730,0.854875,0.280869
GNB,0,SMOTE,0.917833,0.189641,0.154600,0.849246,0.267868
GNB,0,Borderline-SMOTE,0.908762,0.158895,0.121723,0.832219,0.235933
GNB,0,SVM-SMOTE,0.913418,0.212064,0.178547,0.857759,0.289439
GNB,0,ADASYN,0.915310,0.143256,0.104994,0.819082,0.217869
GNB,0,G-SMOTE,0.920403,0.225616,0.192893,0.869845,0.305392
GNB,0,CiFRUS (train),0.917248,0.434053,0.415342,0.830087,0.450841
GNB,0,CiFRUS (train/test),0.917214,0.426384,0.407263,0.829401,0.444452
GNB,0,CiFRUS (balanced-train/test),0.917105,0.214822,0.181400,0.865176,0.294808
GNB,1,Baseline,0.918328,0.426117,0.406747,0.838146,0.447739
GNB,1,ROS,0.918789,0.201049,0.166705,0.860004,0.281600
GNB,1,RUS,0.915030,0.200698,0.166331,0.859821,0.281241
GNB,1,SMOTE,0.916694,0.191472,0.156513,0.853275,0.271056
GNB,1,Borderline-SMOTE,0.905254,0.157529,0.120315,0.826907,0.232559
GNB,1,SVM-SMOTE,0.911760,0.208566,0.174841,0.854600,0.285299
GNB,1,ADASYN,0.916583,0.144279,0.106072,0.821463,0.219708
GNB,1,G-SMOTE,0.918167,0.230769,0.198334,0.875065,0.311717
GNB,1,CiFRUS (train),0.917322,0.434994,0.416431,0.826653,0.450255
GNB,1,CiFRUS (train/test),0.917074,0.427208,0.408228,0.825967,0.443753
GNB,1,CiFRUS (balanced-train/test),0.917602,0.215327,0.181937,0.865405,0.295308
GNB,2,Baseline,0.918274,0.430206,0.410964,0.842038,0.452544
GNB,2,ROS,0.919043,0.201585,0.167295,0.858768,0.281500
GNB,2,RUS,0.915910,0.212471,0.178875,0.865635,0.293130
GNB,2,SMOTE,0.918098,0.191195,0.156238,0.851626,0.270130
GNB,2,Borderline-SMOTE,0.905438,0.157931,0.120710,0.830021,0.234219
GNB,2,SVM-SMOTE,0.915563,0.208469,0.174738,0.854554,0.285202
GNB,2,ADASYN,0.916617,0.143921,0.105690,0.821097,0.219268
GNB,2,G-SMOTE,0.918681,0.230230,0.197782,0.873279,0.310524
GNB,2,CiFRUS (train),0.917688,0.440719,0.422218,0.835948,0.458468
GNB,2,CiFRUS (train/test),0.917753,0.437574,0.418907,0.835673,0.455851
GNB,2,CiFRUS (balanced-train/test),0.917682,0.213084,0.179570,0.862841,0.292425
GNB,3,Baseline,0.917021,0.431015,0.411772,0.843870,0.453925
GNB,3,ROS,0.916921,0.202277,0.167993,0.862156,0.283501
GNB,3,RUS,0.920530,0.208428,0.174567,0.863712,0.289082
GNB,3,SMOTE,0.916989,0.190992,0.156002,0.853000,0.270554
GNB,3,Borderline-SMOTE,0.905475,0.156985,0.119733,0.826450,0.231928
GNB,3,SVM-SMOTE,0.910593,0.211022,0.177459,0.855744,0.287747
GNB,3,ADASYN,0.917656,0.143298,0.105024,0.820456,0.218501
GNB,3,G-SMOTE,0.919168,0.227811,0.195185,0.873875,0.308860
GNB,3,CiFRUS (train),0.915997,0.436451,0.417819,0.832056,0.453530
GNB,3,CiFRUS (train/test),0.915786,0.429752,0.410764,0.831461,0.447951
GNB,3,CiFRUS (balanced-train/test),0.916034,0.214053,0.180560,0.866367,0.294704
GNB,4,Baseline,0.915888,0.430380,0.411192,0.840298,0.451980
GNB,4,ROS,0.916115,0.199738,0.165328,0.857807,0.279613
GNB,4,RUS,0.914113,0.214652,0.181198,0.866642,0.295300
GNB,4,SMOTE,0.917511,0.193057,0.158223,0.852679,0.272072
GNB,4,Borderline-SMOTE,0.908646,0.159415,0.122296,0.831257,0.235935
GNB,4,SVM-SMOTE,0.914751,0.209738,0.176090,0.855149,0.286469
GNB,4,ADASYN,0.918003,0.144496,0.106290,0.823020,0.220557
GNB,4,G-SMOTE,0.918587,0.230115,0.197659,0.873233,0.310413
GNB,4,CiFRUS (train),0.914770,0.438257,0.419769,0.830454,0.454348
GNB,4,CiFRUS (train/test),0.915199,0.431466,0.412617,0.829858,0.448685
GNB,4,CiFRUS (balanced-train/test),0.915310,0.212985,0.179464,0.862796,0.292326
GNB,5,Baseline,0.917608,0.427095,0.407778,0.838238,0.448550
GNB,5,ROS,0.917253,0.200611,0.166237,0.859775,0.281151
GNB,5,RUS,0.914864,0.201325,0.167039,0.857119,0.280589
GNB,5,SMOTE,0.917393,0.190917,0.155961,0.849978,0.269204
