classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.8326981707317074,0.4132231404958678,0.37718715185785034,0.7741860844947734,0.40140791719931496
GNB,0,ROS,0.8383057491289199,0.17435897435897435,0.10420650095602302,0.7388528963414633,0.20211803356021343
GNB,0,RUS,0.8279072299651569,0.17464788732394368,0.10540035908982781,0.7201246733449478,0.19078130097091214
GNB,0,SMOTE,0.7552537020905923,0.11130434782608695,0.03268772715243029,0.6101099738675958,0.09098701906839116
GNB,0,Borderline-SMOTE,0.7765951655052264,0.24267782426778242,0.18347961310885041,0.7593505008710801,0.2599011526542908
GNB,0,SVM-SMOTE,0.7764046167247387,0.2947368421052632,0.2427689190167177,0.7739410932055749,0.3064621686172567
GNB,0,ADASYN,0.7722942073170731,0.11870503597122302,0.040965697599124495,0.6334658101045296,0.1097453469234686
GNB,0,G-SMOTE,0.6442726480836237,0.0,-0.009603672819263664,0.49720982142857145,-0.0156680507474415
GNB,0,CiFRUS (train),0.8352025261324042,0.2058823529411765,0.17729504731553436,0.5742051393728222,0.18147104316775875
GNB,0,CiFRUS (train/test),0.8300032665505226,0.3063063063063063,0.26578607263883103,0.6777411803135889,0.2765702230453214
GNB,0,CiFRUS (balanced-train/test),0.842252831010453,0.3414634146341463,0.30066250794733107,0.7220573824041812,0.3214779286225988
GNB,1,Organic,0.8058580139372822,0.36065573770491804,0.32121628649974,0.7353685757839721,0.34264548733932987
GNB,1,ROS,0.8117105836236934,0.17553191489361702,0.10581144063883363,0.7339122386759582,0.1996678884310181
GNB,1,RUS,0.8086073606271778,0.2450592885375494,0.18531753438002163,0.7770443162020906,0.27088704755806287
GNB,1,SMOTE,0.7400097996515679,0.11398963730569948,0.03556531108110428,0.6206309886759582,0.09980613330141597
GNB,1,Borderline-SMOTE,0.7733558362369337,0.20216606498194944,0.13788681790363744,0.7253919860627178,0.21242194878363999
GNB,1,SVM-SMOTE,0.7820121951219513,0.22978723404255316,0.16981012007616736,0.7360763283972125,0.23835984763486542
GNB,1,ADASYN,0.7316528745644599,0.1124780316344464,0.03403442229058673,0.6134581881533101,0.09359079955139273
GNB,1,G-SMOTE,0.6095655487804879,0.0,-0.009603672819263664,0.49720982142857145,-0.0156680507474415
GNB,1,CiFRUS (train),0.8422800522648084,0.1846153846153846,0.15738839778068103,0.5631260888501742,0.16347216014337493
GNB,1,CiFRUS (train/test),0.834168118466899,0.31858407079646023,0.27834401912439866,0.6893782665505227,0.290891990804479
