classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Organic,0.7489895684976327,0.750994431185362,0.2760542161402627,0.6375389737865199,0.2760726778268333
GNB,0,ROS,0.7458716655760422,0.7280405405405406,0.29192757588556106,0.6529841410369914,0.29524701899779004
GNB,0,RUS,0.750870895723469,0.7303465765004227,0.2989975914669114,0.6567949112744909,0.3024951277514562
GNB,0,SMOTE,0.7441731783363487,0.7319932998324958,0.291544569648453,0.6517523769198199,0.2939782734727201
GNB,0,Borderline-SMOTE,0.6975730397628854,0.7666399358460304,0.3316823850369425,0.6664276915970592,0.3317042553606719
GNB,0,SVM-SMOTE,0.751982370376073,0.75,0.35697064893791897,0.6880797952192155,0.3620069605530256
GNB,0,ADASYN,0.6808961083952423,0.7396593673965935,0.26998694362017794,0.6368076138419493,0.27023933808174666
GNB,0,G-SMOTE,0.7505196504869318,0.7330543933054394,0.29327832533959886,0.6525510989645482,0.29564504924285967
GNB,0,CiFRUS (train),0.7477193117517996,0.7398373983739839,0.2737816607127628,0.6390209399899919,0.27412353548847235
GNB,0,CiFRUS (train/test),0.7479935717310134,0.7440758293838863,0.24579392926220023,0.621680010777936,0.24592455638356514
GNB,0,CiFRUS (balanced-train/test),0.739621424997113,0.7005163511187608,0.24594910025241778,0.6308027637707379,0.2507636047396856
GNB,1,Organic,0.7463480118557295,0.7472,0.27272901992062504,0.6365574117556487,0.2727319091804612
GNB,1,ROS,0.7462710265984064,0.728956228956229,0.2900110476891917,0.6515695369336773,0.2929424956869237
GNB,1,RUS,0.75149640093922,0.7263513513513514,0.28752961051839065,0.6506793948958774,0.2907990453509921
GNB,1,SMOTE,0.7376342430424574,0.726210350584307,0.27185428928952127,0.6411187882520497,0.2738289594035192
GNB,1,Borderline-SMOTE,0.7230359136225413,0.7549342105263158,0.33023967267881604,0.6693242619038454,0.3313259715485502
GNB,1,SVM-SMOTE,0.7686881712152123,0.7446626814688301,0.3482222090753121,0.6840861849955734,0.35378069001364426
GNB,1,ADASYN,0.7030630509257477,0.7510072522159549,0.2933315508787342,0.6478068824820047,0.2934244121851668
GNB,1,G-SMOTE,0.7416230416875167,0.7338842975206612,0.2792818892928235,0.643789214365449,0.2805241727209803
