classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.879238,0.716667,0.545690,0.801429,0.566286
GNB,0,ROS,0.875571,0.718367,0.544409,0.804286,0.570158
GNB,0,RUS,0.883143,0.722892,0.548639,0.809524,0.579199
GNB,0,SMOTE,0.881762,0.721311,0.549957,0.806667,0.574872
GNB,0,Borderline-SMOTE,0.860190,0.728000,0.556211,0.814524,0.588420
GNB,0,SVM-SMOTE,0.866476,0.730159,0.558256,0.817143,0.593122
GNB,0,ADASYN,0.866381,0.736000,0.569263,0.821905,0.602229
GNB,0,G-SMOTE,0.869762,0.708661,0.521485,0.797619,0.556516
GNB,0,CiFRUS (train),0.877429,0.722222,0.545264,0.809762,0.579318
GNB,0,CiFRUS (train/test),0.872429,0.720000,0.543158,0.807143,0.574612
GNB,0,CiFRUS (balanced-train/test),0.871190,0.721569,0.541935,0.810000,0.579655
GNB,1,Baseline,0.878333,0.710744,0.534535,0.796667,0.556685
GNB,1,ROS,0.871714,0.715447,0.538887,0.801905,0.565472
GNB,1,RUS,0.883429,0.728745,0.559678,0.814286,0.588453
GNB,1,SMOTE,0.880286,0.724280,0.555532,0.809048,0.579614
GNB,1,Borderline-SMOTE,0.858476,0.725100,0.550725,0.812143,0.583856
GNB,1,SVM-SMOTE,0.869143,0.720000,0.543158,0.807143,0.574612
GNB,1,ADASYN,0.866190,0.722892,0.548639,0.809524,0.579199
GNB,1,G-SMOTE,0.867381,0.711462,0.526866,0.800000,0.561003
GNB,1,CiFRUS (train),0.877190,0.722222,0.545264,0.809762,0.579318
GNB,1,CiFRUS (train/test),0.869333,0.722892,0.548639,0.809524,0.579199
GNB,1,CiFRUS (balanced-train/test),0.868286,0.713725,0.529032,0.802619,0.565854
GNB,2,Baseline,0.876190,0.716049,0.542264,0.801667,0.565771
GNB,2,ROS,0.873048,0.723577,0.552061,0.809286,0.579297
GNB,2,RUS,0.881667,0.720648,0.546534,0.806905,0.574633
GNB,2,SMOTE,0.879143,0.712551,0.533390,0.799524,0.560814
GNB,2,Borderline-SMOTE,0.853905,0.733068,0.563747,0.819524,0.597662
GNB,2,SVM-SMOTE,0.866143,0.733068,0.563747,0.819524,0.597662
GNB,2,ADASYN,0.867190,0.730924,0.561722,0.816905,0.593010
GNB,2,G-SMOTE,0.868000,0.714286,0.532272,0.802381,0.565514
GNB,2,CiFRUS (train),0.875048,0.717131,0.537702,0.804762,0.570050
GNB,2,CiFRUS (train/test),0.870286,0.715447,0.538887,0.801905,0.565472
GNB,2,CiFRUS (balanced-train/test),0.869667,0.721569,0.541935,0.810000,0.579655
GNB,3,Baseline,0.876286,0.710744,0.534535,0.796667,0.556685
GNB,3,ROS,0.874524,0.718367,0.544409,0.804286,0.570158
GNB,3,RUS,0.883238,0.730924,0.561722,0.816905,0.593010
GNB,3,SMOTE,0.876952,0.718367,0.544409,0.804286,0.570158
GNB,3,Borderline-SMOTE,0.846952,0.736000,0.569263,0.821905,0.602229
GNB,3,SVM-SMOTE,0.861143,0.728000,0.556211,0.814524,0.588420
GNB,3,ADASYN,0.866143,0.728000,0.556211,0.814524,0.588420
GNB,3,G-SMOTE,0.865476,0.711462,0.526866,0.800000,0.561003
GNB,3,CiFRUS (train),0.873429,0.728000,0.556211,0.814524,0.588420
GNB,3,CiFRUS (train/test),0.865762,0.712000,0.530105,0.799762,0.560803
GNB,3,CiFRUS (balanced-train/test),0.864857,0.718750,0.536545,0.807619,0.575215
GNB,4,Baseline,0.876619,0.705394,0.526768,0.791667,0.547613
GNB,4,ROS,0.873190,0.723577,0.552061,0.809286,0.579297
GNB,4,RUS,0.878190,0.717742,0.541032,0.804524,0.569997
GNB,4,SMOTE,0.880095,0.707819,0.528996,0.794286,0.551928
GNB,4,Borderline-SMOTE,0.851714,0.736000,0.569263,0.821905,0.602229
GNB,4,SVM-SMOTE,0.863190,0.725806,0.554146,0.811905,0.583812
GNB,4,ADASYN,0.868905,0.720000,0.543158,0.807143,0.574612
GNB,4,G-SMOTE,0.864810,0.706349,0.519279,0.795000,0.551711
GNB,4,CiFRUS (train),0.874333,0.717742,0.541032,0.804524,0.569997
GNB,4,CiFRUS (train/test),0.869000,0.706827,0.522473,0.794762,0.551575
GNB,4,CiFRUS (balanced-train/test),0.867429,0.724409,0.547351,0.812381,0.584119
GNB,5,Baseline,0.871381,0.721311,0.549957,0.806667,0.574872
GNB,5,ROS,0.868619,0.715447,0.538887,0.801905,0.565472
GNB,5,RUS,0.884714,0.720648,0.546534,0.806905,0.574633
GNB,5,SMOTE,0.871905,0.718367,0.544409,0.804286,0.570158
GNB,5,Borderline-SMOTE,0.841857,0.717742,0.541032,0.804524,0.569997
