classifier,iter,augmentation,AUC,F1-score,Kappa,balanced-accuracy,MCC
GNB,0,Baseline,0.993682,0.941176,0.904927,0.946031,0.907237
GNB,0,ROS,0.990523,0.941176,0.904927,0.946031,0.907237
GNB,0,RUS,0.992234,0.942029,0.905382,0.948401,0.906397
GNB,0,SMOTE,0.992102,0.941176,0.904927,0.946031,0.907237
GNB,0,Borderline-SMOTE,0.988153,0.949640,0.917407,0.955443,0.917982
GNB,0,SVM-SMOTE,0.992102,0.956522,0.929037,0.960116,0.930078
GNB,0,ADASYN,0.991181,0.956522,0.929037,0.960116,0.930078
GNB,0,G-SMOTE,0.994735,0.971429,0.952916,0.974200,0.953180
GNB,0,CiFRUS (train),0.992760,0.941176,0.904927,0.946031,0.907237
GNB,0,CiFRUS (train/test),0.994735,0.941176,0.904927,0.946031,0.907237
GNB,0,CiFRUS (balanced-train/test),0.994208,0.948905,0.917011,0.953074,0.918626
GNB,1,Baseline,0.991707,0.941176,0.904927,0.946031,0.907237
GNB,1,ROS,0.989470,0.942029,0.905382,0.948401,0.906397
GNB,1,RUS,0.989733,0.949640,0.917407,0.955443,0.917982
GNB,1,SMOTE,0.988153,0.941176,0.904927,0.946031,0.907237
GNB,1,Borderline-SMOTE,0.987627,0.949640,0.917407,0.955443,0.917982
GNB,1,SVM-SMOTE,0.990786,0.949640,0.917407,0.955443,0.917982
GNB,1,ADASYN,0.988022,0.949640,0.917407,0.955443,0.917982
GNB,1,G-SMOTE,0.994866,0.957746,0.929709,0.964855,0.929709
GNB,1,CiFRUS (train),0.992234,0.948905,0.917011,0.953074,0.918626
GNB,1,CiFRUS (train/test),0.993682,0.956522,0.929037,0.960116,0.930078
GNB,1,CiFRUS (balanced-train/test),0.993945,0.956522,0.929037,0.960116,0.930078
GNB,2,Baseline,0.992234,0.941176,0.904927,0.946031,0.907237
GNB,2,ROS,0.992234,0.941176,0.904927,0.946031,0.907237
GNB,2,RUS,0.991971,0.948905,0.917011,0.953074,0.918626
GNB,2,SMOTE,0.989206,0.941176,0.904927,0.946031,0.907237
GNB,2,Borderline-SMOTE,0.989338,0.956522,0.929037,0.960116,0.930078
GNB,2,SVM-SMOTE,0.990917,0.964539,0.941285,0.969527,0.941350
GNB,2,ADASYN,0.990523,0.948905,0.917011,0.953074,0.918626
GNB,2,G-SMOTE,0.996051,0.978723,0.964771,0.981243,0.964838
GNB,2,CiFRUS (train),0.991839,0.948905,0.917011,0.953074,0.918626
GNB,2,CiFRUS (train/test),0.995130,0.942029,0.905382,0.948401,0.906397
GNB,2,CiFRUS (balanced-train/test),0.993550,0.942029,0.905382,0.948401,0.906397
GNB,3,Baseline,0.993024,0.948905,0.917011,0.953074,0.918626
GNB,3,ROS,0.992102,0.948905,0.917011,0.953074,0.918626
GNB,3,RUS,0.989996,0.956522,0.929037,0.960116,0.930078
GNB,3,SMOTE,0.990523,0.941176,0.904927,0.946031,0.907237
GNB,3,Borderline-SMOTE,0.988416,0.941176,0.904927,0.946031,0.907237
GNB,3,SVM-SMOTE,0.993550,0.957143,0.929374,0.962485,0.929632
GNB,3,ADASYN,0.988943,0.942029,0.905382,0.948401,0.906397
GNB,3,G-SMOTE,0.995261,0.971831,0.953139,0.976570,0.953139
GNB,3,CiFRUS (train),0.991576,0.948905,0.917011,0.953074,0.918626
GNB,3,CiFRUS (train/test),0.993550,0.948905,0.917011,0.953074,0.918626
GNB,3,CiFRUS (balanced-train/test),0.993418,0.956522,0.929037,0.960116,0.930078
GNB,4,Baseline,0.993945,0.941176,0.904927,0.946031,0.907237
GNB,4,ROS,0.993024,0.948905,0.917011,0.953074,0.918626
GNB,4,RUS,0.992365,0.948905,0.917011,0.953074,0.918626
GNB,4,SMOTE,0.989470,0.933333,0.892785,0.938989,0.895906
GNB,4,Borderline-SMOTE,0.987758,0.941176,0.904927,0.946031,0.907237
GNB,4,SVM-SMOTE,0.992497,0.949640,0.917407,0.955443,0.917982
GNB,4,ADASYN,0.991971,0.948905,0.917011,0.953074,0.918626
GNB,4,G-SMOTE,0.994735,0.964539,0.941285,0.969527,0.941350
GNB,4,CiFRUS (train),0.992760,0.941176,0.904927,0.946031,0.907237
GNB,4,CiFRUS (train/test),0.992497,0.948905,0.917011,0.953074,0.918626
GNB,4,CiFRUS (balanced-train/test),0.993418,0.948905,0.917011,0.953074,0.918626
GNB,5,Baseline,0.991049,0.933333,0.892785,0.938989,0.895906
GNB,5,ROS,0.990259,0.948905,0.917011,0.953074,0.918626
GNB,5,RUS,0.988548,0.941176,0.904927,0.946031,0.907237
GNB,5,SMOTE,0.990128,0.933333,0.892785,0.938989,0.895906
GNB,5,Borderline-SMOTE,0.987890,0.926471,0.881159,0.934316,0.883408
GNB,5,SVM-SMOTE,0.990523,0.949640,0.917407,0.955443,0.917982
GNB,5,ADASYN,0.989206,0.948905,0.917011,0.953074,0.918626
GNB,5,G-SMOTE,0.992365,0.971429,0.952916,0.974200,0.953180
GNB,5,CiFRUS (train),0.990654,0.941176,0.904927,0.946031,0.907237
GNB,5,CiFRUS (train/test),0.992892,0.948905,0.917011,0.953074,0.918626
GNB,5,CiFRUS (balanced-train/test),0.992497,0.964029,0.941005,0.967158,0.941595
GNB,6,Baseline,0.993945,0.941176,0.904927,0.946031,0.907237
GNB,6,ROS,0.992760,0.948905,0.917011,0.953074,0.918626
GNB,6,RUS,0.992497,0.948905,0.917011,0.953074,0.918626
GNB,6,SMOTE,0.989470,0.941176,0.904927,0.946031,0.907237
GNB,6,Borderline-SMOTE,0.990391,0.948905,0.917011,0.953074,0.918626
GNB,6,SVM-SMOTE,0.992760,0.964029,0.941005,0.967158,0.941595
GNB,6,ADASYN,0.992102,0.964029,0.941005,0.967158,0.941595
GNB,6,G-SMOTE,0.994603,0.964539,0.941285,0.969527,0.941350
GNB,6,CiFRUS (train),0.992234,0.948905,0.917011,0.953074,0.918626
GNB,6,CiFRUS (train/test),0.993813,0.948905,0.917011,0.953074,0.918626
GNB,6,CiFRUS (balanced-train/test),0.993813,0.956522,0.929037,0.960116,0.930078
GNB,7,Baseline,0.990786,0.948905,0.917011,0.953074,0.918626
GNB,7,ROS,0.989338,0.948905,0.917011,0.953074,0.918626
GNB,7,RUS,0.992892,0.956522,0.929037,0.960116,0.930078
GNB,7,SMOTE,0.990391,0.941176,0.904927,0.946031,0.907237
GNB,7,Borderline-SMOTE,0.987495,0.949640,0.917407,0.955443,0.917982
GNB,7,SVM-SMOTE,0.990391,0.964539,0.941285,0.969527,0.941350
GNB,7,ADASYN,0.989206,0.949640,0.917407,0.955443,0.917982
GNB,7,G-SMOTE,0.994735,0.949640,0.917407,0.955443,0.917982
GNB,7,CiFRUS (train),0.990654,0.948905,0.917011,0.953074,0.918626
GNB,7,CiFRUS (train/test),0.992497,0.948905,0.917011,0.953074,0.918626
GNB,7,CiFRUS (balanced-train/test),0.993418,0.948905,0.917011,0.953074,0.918626
GNB,8,Baseline,0.990391,0.948905,0.917011,0.953074,0.918626
GNB,8,ROS,0.989864,0.948905,0.917011,0.953074,0.918626
GNB,8,RUS,0.990523,0.941176,0.904927,0.946031,0.907237
GNB,8,SMOTE,0.989470,0.941176,0.904927,0.946031,0.907237
GNB,8,Borderline-SMOTE,0.988153,0.942029,0.905382,0.948401,0.906397
GNB,8,SVM-SMOTE,0.989075,0.942029,0.905382,0.948401,0.906397
GNB,8,ADASYN,0.987758,0.948905,0.917011,0.953074,0.918626
GNB,8,G-SMOTE,0.993945,0.964539,0.941285,0.969527,0.941350
GNB,8,CiFRUS (train),0.988548,0.948905,0.917011,0.953074,0.918626
GNB,8,CiFRUS (train/test),0.991971,0.948905,0.917011,0.953074,0.918626
GNB,8,CiFRUS (balanced-train/test),0.991707,0.956522,0.929037,0.960116,0.930078
GNB,9,Baseline,0.992760,0.941176,0.904927,0.946031,0.907237
GNB,9,ROS,0.989996,0.948905,0.917011,0.953074,0.918626
GNB,9,RUS,0.990128,0.948905,0.917011,0.953074,0.918626
GNB,9,SMOTE,0.990523,0.941176,0.904927,0.946031,0.907237
GNB,9,Borderline-SMOTE,0.989075,0.942029,0.905382,0.948401,0.906397
GNB,9,SVM-SMOTE,0.994340,0.948905,0.917011,0.953074,0.918626
GNB,9,ADASYN,0.989206,0.948905,0.917011,0.953074,0.918626
GNB,9,G-SMOTE,0.996578,0.979021,0.964938,0.983612,0.965004
GNB,9,CiFRUS (train),0.992365,0.933333,0.892785,0.938989,0.895906
GNB,9,CiFRUS (train/test),0.996051,0.941176,0.904927,0.946031,0.907237
GNB,9,CiFRUS (balanced-train/test),0.995130,0.941176,0.904927,0.946031,0.907237
KNN,0,Baseline,0.983941,0.963504,0.940722,0.964789,0.942379
KNN,0,ROS,0.983744,0.963504,0.940722,0.964789,0.942379
KNN,0,RUS,0.990654,0.956522,0.929037,0.960116,0.930078
KNN,0,SMOTE,0.990654,0.963504,0.940722,0.964789,0.942379
KNN,0,Borderline-SMOTE,0.989864,0.956522,0.929037,0.960116,0.930078
KNN,0,SVM-SMOTE,0.983217,0.964029,0.941005,0.967158,0.941595
KNN,0,ADASYN,0.996709,0.957143,0.929374,0.962485,0.929632
KNN,0,G-SMOTE,0.990259,0.963504,0.940722,0.964789,0.942379
KNN,0,CiFRUS (train),0.950704,0.940299,0.904468,0.943662,0.908624
KNN,0,CiFRUS (train/test),0.984468,0.940299,0.904468,0.943662,0.908624
KNN,0,CiFRUS (balanced-train/test),0.991115,0.955882,0.928695,0.957746,0.931065
KNN,1,Baseline,0.984073,0.955882,0.928695,0.957746,0.931065
KNN,1,ROS,0.983941,0.963504,0.940722,0.964789,0.942379
KNN,1,RUS,0.991247,0.971014,0.952691,0.971831,0.953759
KNN,1,SMOTE,0.990654,0.963504,0.940722,0.964789,0.942379
KNN,1,Borderline-SMOTE,0.995919,0.949640,0.917407,0.955443,0.917982
